example,label
"I just can't believe the number of articles written on such a simple topic. No need for books or secrets folks, it's easy as pie. As a father of two, both are physically fit. How?  I pay attention to them. I feed them healthy food with snacks in moderation. I put them in sports activities using funds from their Canada Child Benefits. I go outside and play with them.  We go for walks with the dog, hiking, and go to the park.  It's not rocket science folks. It's just not. Pay attention to your kids, feed them healthy food, and go outside and your kids will not be obese. If they still are, go to the doctors cause it's something health related. Their, no charge. Your answer in one short paragraph. And if you're trying to make health excuses not to go outside with your kids. Well, I have a disability from my military days, and I still go outside. It just hurts, and I deal with it. That's being a parent.",not toxic
"as over diligent as the state has been regarding the  new marijuana laws - this is something they need get a grip on ASAP.  butane and fire are no play things - too many people who think they know this process - or worse yet, they know a ""short-cut"" - don't.  property of others has been damaged ...so far no people, but it is inevitable if left unchecked.  and the worse thing is ...you have no idea if your neighbor has got some cooking going on, or not.  and we've seen you can't judge a book by it's cover... this is dangerous business and needs to reigned in.  somehow...",not toxic
"Sneaking? With the RCMP standing there?

The panic and hysteria caused by a few brown skinned children is really amazing.",toxic
"“In any case, France will be led by a woman: Either me or Mrs. Merkel,” Le Pen says.

“The euro is the currency of the bankers. It is not the currency of the people,” Le Pen says

That's some good zingers.",not toxic
"i am sensitive to plight of the homeless..but am also sensitive to low income people who have found housing -they are often close neighbors and the ""victims"" of the petty yet dangerous crime that accompanies many NIMBYs.  it's time to spread NIMBY love...and lower home values equally  . my home in a non-nimby impacted neighborhood..?  add another digit or 2 to the asking price.  i just want fair - these projects do need to have a place to be , as unpopular as they are, but let's spread the good all around.  i think the folks up on crescent and game farm area need to feel better about themselves beyond the 10% they tithe to their church (if applicable).  there is a ton of room for camps  -  stores, SSA, vet's hospital, riverbend medical care, bus service all right there and the ""campers"" stand on the corners with signs, so the work commute isn't bad.. same with the south hills. i'm tired of the obvious biases on the table when these things are decided.",not toxic
"Mr. Chin says "" He believes the vast majority of Hawaii's population is behind him"", but he never polled any  segment of the community. Instead his interview and comments are filled with ""I this, I that"". All about himself and his personal opinions.
He should have asked the public first before 'strutting his stuff' at their expense.",not toxic
"What the heck is the rush?
First of all, 16 months to introduce this legislation isn't a rush, you should be asking what's taking so long. It's not a complicated problem no matter what some people say, there are numerous jurisdictions including several US states we can copy from. 

""To legalize it to make it harder for young people to acquire the drug seems counterintuitive. ""
Of course it is - that is NOT the purpose. We are NOT legalizing to make it harder to get, we're legalizing because prohibition and criminalization are stupid, inefficient, expensive, unjustifiable policies. 

""This is all about ""revenue generation"" trumping public safety.""
No, it's not, because there's no public safety issue to speak of, and if they were sacrificing it for revenue generation this would have been in place long before the budget instead of afterward. On the contrary, your attempt to label it as nothing more than revenue generation is not only wrong but partisan fakery to distract from policy.",not toxic
"Kunia said, ""...there is no basis nor justification to even think that a Trump administration is akin to a Nazi administration.""  Not yet, anyway.  Hitler became the leader of the Nazi Party in 1921, and it took him a while to take control of Germany.  By then, nothing could stop him except for a world war.  Racism was central to the Nazi Party.",not toxic
"So judgemental!  Women are told it is vital to smell fresh.  Talc is a mineral.  I doubt anyone would place an entire dispenser of JandJ into their panties by their genitals.  The public is in the dark until someone dies or is harmed.  Tobacco anyone?  Same idea.

My turn.  Viagra is a placebo.  That little blue pill you fellows believe makes your johnson into a JOHNSON is a fake.  I cannot believe you strong, superior dudes believe this blue pill is what turns you into ""what every woman desires"".  Use some common sense fellows.  If it's time for your pal to retire as he just can't stand for what he believes in, consider yourself lucky....it's womenopause (the male version of menopause).  No more issues with johnson rising when he shouldn't.  Failing to rise when he should.  Frankly, how you deal with such a disrespectful body part....you really are tolerant.  My compliments. Gone are the days of a full frontal salute.  Now, it's a head nod as he watches you tie your shoes.",not toxic
"The solution to illegal immigration is deportation. We must identify, arrest and deport every last illegal in this country. That includes the 'DACA' illegals.
Trump should keep DACA but change it a bit to ""Deportation Action for Criminal Aliens"". This would be a DACA program that benefits Americans.",not toxic
"Naomi Klein, would you care to comment.",not toxic
"""What should happen when the asset being passed down is not MONEY ($s)? Suppose it's a business (privately held) or a large ranch/farm? With insufficient cash to pay the tax bill?""
.
The same thing businesses (including farms) have done for centuries when faced with the need to make such a payment without having sufficient liquid assets: take out a loan. No extra capital gains tax, no negative effect on all those people, no reduction in capacity, and (if you do it right) years of tax deductions on the interest.",not toxic
"They can do that. I would prefer that they do that. Costs of all goods will go way up but oh well. Traffic will go down.  Vail Associates will pitch a large legal costly fit I bet.

 Personally I greatly prefer going to Grand Junction anyway -",not toxic
"If children are eventually going to pay this kind of agonizing price for their parents' illegal immigration, it doesn't seem wise or compassionate to offer sanctuary and ""don't ask, don't tell"".",not toxic
Why even have a fee.We can carry our deli and other food in our open hands.,not toxic
"If Trump wants to totally reinvent the world political and economic order, I think he owes the American public some specific plans and proposed policies. Having ""lots of meetings"", and telling everyone what a great negotiator he is, is not a plan. The USA is already a great nation with great influence in the world, and we need to honor our long term alliances and commitments, or risk losing much financial and political power and influence. For Pete's sake, we owe these countries trillions of dollars of our national debit. What happens if they ask for their money back? But then Trump is unquestionably experienced in bankruptcies.",not toxic
"Who knows about the RCMP checking people on the bridge when coming off international flights.
Don't let them.  walk quickly into the Canadian airport or you can be detained for hours
If they decide you look suspicious.",not toxic
"He was taken overseas when he was nine or ten- he was taken prisoner, refused a trial, and sent to Guantanamo .
That is why he was 'out of the country""; he had no choice.
There is a huge distinstion between children who are taken away and brainwashed, and adults who willingly leave the counrty to fight against it.
There is no legal reason for the widow of the man killed, and the other person injured, to sue  in another country. There was no proper trial, and the 'confession"" was the only way he could get out of Guantanamo and back to prison in Canada.
The Americans changed the law retroactively to use 'murder"" as a crime in war- they do not use the term when their soldiers kill others.",not toxic
"Maybe CNN needs to start to do actual journalism again, instead of political commentary.  That's the change they need to get them through this Presidency.",not toxic
"bycatch, You just never know. You may have to stand for something that ends up costing you your life. But maybe nothing is that important to you. Hopefully you live a long life and promote freedom the whole way.",not toxic
"Actually I was appalled by Wilson-Raybould's remark. 
---------

all fits in with Trudeau government
he himself said Canada has ""no core identity"" and we are ""post national""",not toxic
"its called facts lefty and there are none, only accusations, thus is false liberal news",not toxic
Citizens finally coming to their senses.   Thank goodness!!!,not toxic
"Ms., Lange if you want to salvage your career move on and make a mark of contribution and excellence in your new environment. Sometimes taking a loss is tough but still offers answers to how things went off the track. You had your ""day in court"" and are unhappy with the outcome. I live near Page school, not that I have any special insight into your career there, but one of your biggest hurdles was there were a great many staff who were not in your corner...not your biggest fans let's say. If you want to be successful and not fail again look into what the inter-personal issues were and learn from those. 
Continuing your ""suit"" will only find you in a deeper hole....as your case has been already tried. A failure in leadership..use it to do better next time.",not toxic
"Potential??

Ridiculous.  Tell me.  Where do you draw the line?  Are you out there with me protecting the lives in the nesting areas of piping plovers?  Had that very discussion today with someone I was working with...she had no problem protesting development of that area because of the eggs of the wee birds...and then proceeded to tell me unborn children aren't life.

wth????",toxic
Canada had atomic weapons up until Trudeau senior got rid of them in 1984. Our Starfighters in Germany were outfitted to carry nuclear bombs and we had them at both German bases in our weapons arsenals. The same with the Canadian Navy. The RCAF under Pearson armed our BCIM-10 BOMARC with nuclear tips too.,not toxic
"This statement is ot that differernt from my own proposals to icrease the Chilt Tax Credit and make it refundable and preserve the charitable contributions deduction, although I would feature both as part of a subtraction value added tax rather than the income tax.",not toxic
I think you mean Lendl and McEnroe.,not toxic
Hick better not be pledging any state tax money to some foreign government to clean up their mess.,not toxic
"Very innovative! I am not confused, and I would enjoy any of these sandwiches....if I ever ate fast food. ""Triple Double"" is way different from ""Double Double"" and ""Triple Triple"".",not toxic
"maker, I don't always agree with you but here you are spot on.",not toxic
There's no respect in your twisted comment.,not toxic
"Do you have a citation for that statement or did you just make it up yourself? BTW, this thread is about the unhealthy liar the Democrats have nominated.",not toxic
they take their turns as assigned. Called 'tag-teaming.'  Been around since before there were printing presses,not toxic
What are Muslims afraid might be found out?,not toxic
"What exactly is your computer made of Green Jeans? Plastics produced from fossil fuels or a mix of granola and bamboo? I suppose you do not fly on planes but prefer to ride your mule?Get off your high pedestal and realize that Canada is a world leader in environmental stewardship AND and an energy producer/resource nation.  Our environmental standards far exceed most nations and there has to be some economic balance or this country is going bankrupt.  Our wealth of resources are the reason we have such a high standard of living. People like you would rather our country import our energy in emissions spewing tankers, trucks and trains from despot nations. Crazy",toxic
"I would like to know why the religion of ""peace"" promotes child predators? Muhammad even had interests in girls as young as 5 yet people worship him as a God. They even promote the killings of gay and lesbian people. Where in America do you see people doing this? Nowhere, Christians may not agree with homosexuality but at least they aren't cutting off heads.",toxic
Raise your hand if poaching near Native villages surprises you.  Anyone?  Anyone?  Didn't think so.  Idiots like this dolt don't give the bison herd a chance for long term survival.,toxic
"Mean, spiteful, liars, power abusers, willing to pervert justice for political power---all those traits Nixon is accused of having are now resident in the Democrat Party and leftwing journalists. Carl, YOU are Nixon. YOU are despicable.",toxic
"Are they going to Vancouver for the event? Graham is and therefore the article is focused on him.
Did you have an actual point to make or is it just deflection that motivates your comment?",not toxic
"Civil discourse has long be absent in Canada, it is nothing new and the left and its allies in the media are just as guilty. The G&M has an almost daily opinion piece that is hurtful to ""whites"" and would be considered hate speech if aimed at any other segment in society. This hurtful language is bound to stir up extremists on the right. If anyone has a legitimate question, they are shouted down and called ""racist""  ""denier"" ""misogynist"" ""econut""  ""leftard"" or whatever and not met with rational discourse or rhetorical debate.
Just because I may have  questions regarding the effectiveness and economic cost of the carbon tax does not mean I should be called a ""denier"" and told to sit down and shut up.
The more the left tells people to sit down and shut up, the more it feeds the extremists.
If 5 people hold a rally against a pipeline our media falls over itself trying to mainstream the protesters, though they represent an extreme view. The lesson to the right is ""be extreme"" or be ignored",not toxic
"During all of these discussions about the budget crisis in Alaska, Walker and the legislature have allowed the oil companies to go unaudited.  

The few audits that were completed should have brought the state $488 Million but the state is not bothering to collect on it.

""The first wave of net tax audits from 2006 and 2007— completed from five to nearly six years later — resulted in $488 million in additional tax assessments. But whether the money will be collected ""is unknown at this time""

The statute of limitations is running out on these audits, but if they were completed, the state stands to gain billions. See ""Statute of limitations running out on state oil tax audits, report warns""",not toxic
The Civil War.,not toxic
"I'm not disagreeing one bit that the parents could make better choices - starting with using condoms from the get-go. The list of bad choices is endless.  Unfortunately, it's the children who suffer the effects of the parent's bad choices.",not toxic
"Could not agree more. Explosion in the run game, and the ability to get into the defensive backfield would go a long way to curing whatever ails our offense.",not toxic
"Take some time and review this proposal if you have not already done so. This is the solution done the Bellevue way. This is our shelter, let's keep it on the Bellevue land.",not toxic
"Whoops, I thought we fixed that! Thanks, Cairn. The meeting is at 6 p.m. Tuesday, June 6.",not toxic
"Interesting lots of Canadian seniors are apparently loosing their homes in Ontario cause of the high cost of living...imagieg , getting old, no more jobs, on  a fix income and then reading this compensation package.  And still, we accept this as the norm....cause nothing will happen....they still will live in their castle while we heat up our barns if we can.....Our leaders keeps on doing the same thing over and over again and yet are we suppose to be surprised...after all they like all go to the same golf club...",not toxic
"Kumar Jha was the chief manager, when did he become the CEO of Bank of Baroda.",not toxic
"There'll be a lot of men wearing kilts in Brussels, and Strasbourg   ;)",not toxic
"Here's a PARTIAL list of 26 bird species, 8 rodent species, 5 marsupial species, 4 lizard species and 1 lagomorph (rabbit/coney/pika) species rendered extinct by feral cats.  Four of them (indicated by *) were extirpated EXCLUSIVELY by feral cats:

Aukland Islands Merganser (NZ); Bunker's Wood Rat* (Mexico); Bonin Grosbeak (Japan); Aldabra Brush Warbler (Seychelles); Black-Fronted Parakeet (Tahiti); Canary Is. Oystercatcher (Spain); Stead's Bushwren (NZ); Chatham Rail (NZ); Choisul Pigeon (Sol. Isl.); Bonin Wood Pigeon (Japan); Darling Downs Hopping Mouse (AU); Cape Verde Giant Skink (Cabo Verde Is.); Gould's Mouse (AU); Eastern Hare-Wallaby (AU); Desert Rat-Kangaroo (AU); Hawaiian Rail (US); Jamaican Wood Rail (Jamaica); Laughing Owl (NZ); Lake Mackay Hare-Wallaby (AU); Lesser Bilby (AU); Macquarie Parakeet (AU); NZ Quail (NZ); Norfolk Pigeon (AU); N. Is. PioPio (NZ); Paradise Parrot (AU); Pig-footed Bandicoot (AU); Reunion Is. Pink Pigeon & Rodrigues Is. Giant Day Gecko (Madagascar)",not toxic
Yikes! is it all about the English Language now? lol,not toxic
"Ok, then.",not toxic
Hold the government's feet to the fire on this issue Ontarians! Don't let them stop with just collecting data.,not toxic
"Sweltering humidity in DC, cool ocean breezes with celebrities at Martha's Vineyard, rubbing wallets with millionaires in goofy outfits at private golf course in New Jersey, or clearing bushwhacking while riding a bike in Texas? Hmmmm, I hear they have great bike trails in Texas.",not toxic
"I like 5 Guys, but lately we've stopped by Red Robin on our way home from the lake, and they've added some pretty wild (and good) burgers. 

Ever try almond (or peanut) butter and jelly on a burger?  Works pretty darn good...",not toxic
"I think you're lost. Not on topic at all. Btw, you're wrong about why we are celebrating Ms Manual's achievements. She is the first black woman to win gold in the Olympics as a swimmer. Did you know Joyce Dandridge, a black actress, once dipped her toes into a swimming pool and the owner had all the water drained because Ms. Dandridge dared to put her little black foot into it? We've come a long way, baby. Well, some of us anyway.",not toxic
Maybe.  Odd though that the Saudis didn't give Trump a head's up on what they were doing.  You think if they were all so sympatico and the Saudis were acting to make Trump happy after his visit .... the US would not have been caught by surprise.,not toxic
She's preparing for the one in June.,not toxic
"I remember when the Beatles, and other bands, used to dress like that.",not toxic
"No new income tax, no raiding the PFD or CBR, no increasing oil taxes until our state government cuts the entire state budget across the board to reflect the state budget of 2006 when oil averaged $80 a barrel. What changes in population, infrastructure or anything else could justify the increase we have seen in state spending of the last ten years. If we followed our state governments logic if oil had reached $200 a barrel the budget today would be in the neighborhood of twelve billion dollars and some change, for what? We would still be driving on the same substandard roads, state school testing would still be at the same level, we would still have the same number of poor and malnourished residents with poor healthcare . I would have no problem if we had a reasonable income tax, our PFD did not pay out earnings to state residents and we had equitable oil and gas taxes. I would just like to see some fiscal responsibility from the people we elect when passing budget legislation.",not toxic
"Well, the Bible is of extremely compelling interest because of its profound impact on the course of history and culture.",not toxic
Republicanos tickle my tummy and make giggle. Te he. They have been trained to speak a form of English. Te he!,toxic
"What a giant phony this guy is.  You got lucky once, dude.  Trump ain't Nixon.  And you are no journalist.",not toxic
"When you're travelling, stuff happens.  Anyone who doesn't stuff a couple of energy bars and an extra bottle of water into their carry-on is not an experienced traveller.",not toxic
"The Justice Department should have moved for dismissal of Hawaii's case in the lower courts because the latter have no jurisdiction over disputes between states and the federal government. Article III, Section 2 of the Constitution confers ""original"" (i.e., first tribunal with authority) jurisdiction of such disputes on the Supreme Court. Federalist 81 provides the rationale for this jurisdictional assignment.",not toxic
"Shysters , but damned dangerous ones at that. I do believe the current number of political killings , has surpassed the pre `94 murders of municipal officials in KZN.",not toxic
"Trump has tarnished yet another man of integrity

Kelly let himself get sucked into the wrong fight",not toxic
And the Circus headed by the Clown goes on....,toxic
"Maybe because riding a bus is about 60 times safer than riding in a passenger car.

http://usa.streetsblog.org/2014/12/19/heres-how-much-safer-transit-is-compared-to-driving/",not toxic
"You are being unfair to all hard working drama teachers out there. As for the bare chest, well he and Vlad",not toxic
"And all those companies you complain about are struggling to remove substantial barriers to supply crucially-needed housing, to counter your complaints of lack of affordability and high costs. You an NDP strategist? They can't figure it out either.",not toxic
"Trump Tweeted that the White House complained about hacking only after Hillary lost:

""Here is the first sentence of Ellen Nakashima’s October 7 Washington Post report: “The Obama administration on Friday officially accused Russia of attempting to interfere in the 2016 elections, including by hacking the computers of the Democratic National Committee and other political organizations.” Trump was even presented with this information onstage at a presidential debate, where he dismissed it. What’s astonishing is that Trump is not only denying the substance of the accusation, he’s denying that the accusation was even made. Let this sink in: The president-elect of the United States is insisting that something that was witnessed on national television by more than 66 million people never happened.""

http://nymag.com/daily/intelligencer/2016/12/trump-denies-thing-that-66-million-people-saw-happen.html",not toxic
"Joe! My man! The whole story is about how the council hit pause on upzoning the Ave, giving local merchants a chance to make their case.",not toxic
"No, people are simply wary of unsupported accusations coming from the same people who lied about Iraqi WMD, Libya, Syria, Ukraine, etc. and challenged by those within the US intelligence agencies who contradicted their past lies. Not only have the past 15 years been bad for US government credibility, but they've taken a toll on that of our mass media as well.

""now the revelation that""

You mean the as of yet unsupported allegation ...

Reporting on Russia’s Troll Army, Western Media Forget West’s Much Bigger, Sophisticated Troll Army
http://fair.org/home/reporting-on-russias-troll-army-western-media-forget-wests-much-bigger-sophisticated-troll-army/

Childish name-calling isn't the same thing as providing evidence.",not toxic
"Monkey see, monkey do.",not toxic
"""A rally planned Thursday in Iowa was postponed due to “an unforeseen change” in Trump’s schedule.""....Didn't he just get into office this past January? ... and he starting to campaign? the man is very insecure.
""After maintaining a limited social media presence throughout his trip, Trump unleashed a furious flurry of tweets today, lashing out at what he called the “fake news” media. He focused heavily on leaks — both those coming out of the White House and an intelligence leak blamed on Americans about this week’s deadly bombing at a concert in England.""
What! fake news coming from the WH? Is he the source of the WH leaks?
Still trying to figure out the problem with leaking the name of the Manchester bombing. It was a name compared to Israeli intelligence info.
My suggestion to Trump..just HIRE A TRANSLATOR! Someone to follow you like a tail 24-7 and put your words into what you actually meant to say. Currently you have 3-4 people doing this for you. Downsize, you just need one!",not toxic
"I am, and one thing libertarians have in common is we are fiscally conservative. This is part of what separates us from democrats and republicans but also gives us something in common with real republicans. I could have been more clear on the fiscal part, sorry for the confusion.",not toxic
"Maybe the individual was simply upset at the type of person that they encountered in Pa'ia and decided to vacate an undesirable area.

In any event how could you tell that the person that you supposedly eavesdropped on was a tourist?  Was the individual wearing a sign?",not toxic
you do not know shi@t.  quit commenting on every frickin article and keep your pie hole shut,toxic
"All violence should be denounced unless it is in self-defense. I hope you expressed the same about the violence incited by BLM.  (Dead cops, and what's up with burning down your city --- Black-owned businesses?)",not toxic
The DUMBEST BUFFOON EXCUSE FOR A PRESIDENT THIS COUNTRY HAS EVER SEEN!,toxic
"37emrob, I'm impressed that you voted for Johnson.  It shows integrity.  But I just could not pull the lever for him.  I knew about his spending increases and deficits when he was NM Gov and just couldn't go that far.  He was libertarian lite.

Re: the Union of Soviet Socialist Republics.  A few weeks ago I finished 'Scorched Earth: Stalin's Reign of Terror' by German scholar Jörg Baberowski (2016).  It goes into great detail about how citizens were murdered when they didn't wholeheartedly embrace the seizure of their small farms by the state, the collectivization of agriculture.  We're talking tens of millions of people, and not all that different from the  Khmer Rouge reign of terror you mentioned.

Probably the best book I've read on the evils of socialism is Joshua Muravchik's 'Heaven on Earth: The Rise and Fall of Socialism' (2002).  DPL has it and Roger Kimball has an outstanding review here:

https://www.newcriterion.com/issues/2002/4/the-death-of-socialism",not toxic
"Not if the Trump cabinet has anything to do with it.  Note, Obama said ""generations from now . . ."".",not toxic
"The longer Der Fuhrer Trump is office, the more police brutality WILL return !!!",not toxic
"this analysis is ludicrous.  if you live in Hawaii and you $100 is worth only $85, there is really nothing you can do.  can one go to missisippi and buy food there and ship it to Hawaii?  can someone buy house missmissippi  and ship it to Hawaii.  obviously not.  your $100 in Hawaii buy $100 worth of good and services in Hawaii.   if you want to live in Hawaii, then you grin and bear it.  if not, then go to somewhere else where your dollar goes further.",not toxic
"Nothing to see here folks, just a display of greed driven urban development.",not toxic
"Nope.  MSM has zero credibility, this columnist included.",not toxic
"Facts are completely ignored in your thinking, aren't they? The facts.

The Federal Reserve Act was passed in December 1913 and signed by Woodrow Wilson, a democrat. It was passed in the house by a vote of 298 to 60 and in the senate by a vote of 43 to 25. Almost every democrat was in favor of the bill and most republicans opposed the bill. There were three competing versions of the idea with one coming from the republicans called the Aldrich plan. The final bill had some of Aldrich's features but most were from two competing democrat plans. Especially the idea that the Fed be completely controlled by the government. A democratic idea, not republican. The Federal Reserve System was a republican invention? Not hardly. History proves otherwise. There were republican ideas in the final bill but the main bill was and is largely democratic. Maybe we could agree to call it bipartisan with the main tenets of the bill being democratic.",not toxic
"The media isn't blaming Trump for N. Korea having nukes, they, and most people who aren't blind Trump supporters are blaming Trump for how he is behaving.  Tweeting out threats or just threatening them in general isn't really a solution.  It may be a solution on a playground, but not in the adult world.",not toxic
"A woman was just convicted for manslaughter for telling her boyfriend to kill himself. It makes me wonder if ADN and Eagle Wolf will face charges if someone does arm themselves and start a revolt. Your call for violence must stop. ADN, must either enforce some rules of civility or they too can be held accountable.",not toxic
"Just a couple of minor points. The flooding you note was hundreds of miles from Gatlinburg, at the opposite end of the state. And it was several months ago.",not toxic
"Wait, wait...oh, please tell me this Neanderthal, knuckle-dragging comment is a joke here in 2016... except you are probably serious... maybe you could take your opinion to some alternate universe where you white males will be the only inhabitants...'course, you all won't be there too long unless you can reproduce by asexual reproduction...but at least you'll be happy while you are!",not toxic
