Institution,Count,City,State,District,Representative,Notes,llm_state,llm_labeled_successfully,llm_city,llm_zip,Unnamed: 11,llm_label
Intel Corporation,7,,CA,,,,CA,yes,Santa Clara,95052,,Ro Khanna
Kansas State University,7,,KS,,,,KS,yes,Manhattan,66506,,Tracey Mann
Mosaic Materials,7,,,,,,CA,yes,Redwood City,94063,,Kevin Mullin
Saratoga Energy Corporation /  Saratoga Energy Research Partners,7,Berkeley,CA,CA-12,Barbara Lee,,CA,yes,Santa Clara,95054,,Ro Khanna
SLAC National Accelerator Laboratory,7,,CA,,,,CA,yes,Menlo Park,94025,,"Kevin Mullin, Anna G. Eshoo"
University of Chicago,7,,IL,,,,IL,no,Chicago,60637,,NO_ANSWER
University of Connecticut,7,,CT,,,,CT,yes,Storrs,06269,,Joe Courtney
University of Nevada Las Vegas,7,,NV,,,,NV,yes,Las Vegas,89154,,Dina Titus
University of Pittsburgh,7,,PA,,,,PA,yes,Pittsburgh,15260,,Summer L. Lee
University of Southern Mississippi,7,,MS,,,,MS,yes,Hattiesburg,39406,,Mike Ezell
VIDA Products Inc.,7,,,,,,CA,yes,San Diego,92121,,"Scott H. Peters, Sara Jacobs"
"HighRI Optics, Inc.",6,,,,,,RI,yes,Providence,02908,,"David N. Cicilline, Seth Magaziner"
Medical College of Wisconsin,6,,WI,,,,WI,yes,Milwaukee,53226,,"Gwen Moore, Scott Fitzgerald"
"Mekonos, Inc.",6,,,,,,CA,yes,San Jose,95134,,Ro Khanna
National Institute of Standards and Technology,6,,,,,,MD,yes,Gaithersburg,20899,,David J. Trone
Nutcracker Therapeutics,6,,,,,,CA,yes,South San Francisco,94080,,"Nancy Pelosi, Kevin Mullin"
Oregon State University,6,,OR,,,,OR,yes,Corvallis,97331,,Val T. Hoyle
Rigetti Inc.,6,,,,,,CA,yes,Berkeley,94704,,Barbara Lee
San Francisco State University,6,San Francisco,CA,,,,CA,yes,San Francisco,94132,,"Nancy Pelosi, Kevin Mullin"
Stony Brook University,6,Stony Brook,NY,,,,NY,yes,Stony Brook,11794,,Nick LaLota
University of the Pacific,6,,,,,,CA,yes,Stockton,95211,,Josh Harder
Vanderbilt University,6,,,,,,TN,yes,Nashville,37240,,Mark E. Green
Washington State University,6,,WA,,,,WA,yes,Pullman,99164,,Cathy McMorris Rodgers
Alveo Energy,5,,,,,,CA,yes,San Francisco,94107,,Nancy Pelosi
Argonne National Laboratory (ANL),5,,IL,,,,IL,yes,Lemont,60439,,"Jonathan L. Jackson, Bill Foster, Lauren Underwood"
Boston University,5,Boston,MA,,,,MA,yes,Boston,02215,,"Jake Auchincloss, Ayanna Pressley"
"Magic Leap, Inc.",5,,,,,,FL,yes,Plantation,33322,,"Sheila Cherfilus-McCormick, Debbie Wasserman Schultz"
"NanoCore Technologies, Inc.",5,,,,,,TX,yes,Austin,78759,,Lloyd Doggett
Princeton University,5,Princeton,NJ,,,,NJ,yes,Princeton,08544,,Bonnie Watson Coleman
"Rutgers, The State University of New Jersey",5,New Brunswick,NJ,,,,NJ,yes,New Brunswick,08901,,"Frank Pallone Jr., Bonnie Watson Coleman"
Touro University,5,New York,NY,,,,NV,yes,Henderson,89014,,"Dina Titus, Susie Lee"
"UES, Inc.",5,,,,,,OH,yes,Dayton,45432,,Michael R. Turner
University of Illinois-Chicago,5,Chicago,IL,,,,IL,yes,Chicago,60607,,Danny K. Davis
University of Nebraska-Lincoln,5,Lincoln,NE,,,,NE,yes,Lincoln,68588,,Mike Flood
University of Utah,5,,UT,,,,UT,yes,Salt Lake City,84112,,"Blake D. Moore, Chris Stewart"
Ansa Biotechnologies,4,,,,,,CA,yes,Berkeley,94710,,Barbara Lee
Barry University,4,,,,,,FL,yes,Miami Shores,33161,,Frederica S. Wilson
Bikanta Corporation,4,Berkeley,CA,CA-12,Barbara Lee,,CA,yes,Emeryville,94608,,Barbara Lee
"Cypris Materials, Inc.",4,,,,,,MA,yes,Cambridge,02139,,"Katherine M. Clark, Ayanna Pressley"
Dow Chemical Company,4,,,,,,MI,yes,Midland,48674,,Daniel T. Kildee
Florida State University,4,,FL,,,,FL,yes,Tallahassee,32306,,Neal P. Dunn
HGST,4,San Jose,CA,,,,CA,yes,San Jose,95135,,"Zoe Lofgren, Jimmy Panetta"
Indiana University,4,,IN,,,,IN,yes,Bloomington,47405,,Erin Houchin
Marquette University,4,Milwaukee,WI,,,,WI,yes,Milwaukee,53233,,Gwen Moore
Naval Research Laboratory,4,,,,,,DC,yes,Washington,20375,,Eleanor Holmes Norton
Novartis Vaccines and Diagnostics,4,Cambridge,MA,,,,MA,yes,Cambridge,02139,,"Katherine M. Clark, Ayanna Pressley"
"polySpectra, Inc.",4,,,,,,CA,yes,Berkeley,94710,,Barbara Lee
Rice University,4,,TX,,,,TX,yes,Houston,77005,,"Lizzie Fletcher, Al Green, Sheila Jackson Lee"
University of Central Florida,4,,FL,,,,FL,yes,Orlando,32816,,Maxwell Frost
University of Kentucky,4,,KY,,,,KY,yes,Lexington,40506,,Andy Barr
University of Minnesota,4,,MN,,,,MN,yes,Minneapolis,55455,,Ilhan Omar
"Air Force Research Laboratory (AFRL), Rocket Propulsion Division (Edwards AFB)",3,Edwards,CA,,,,CA,yes,Edwards,93524,,Kevin McCarthy
Albert Einstein College of Medicine,3,New York,NY,,,,NY,yes,Bronx,10461,,"Alexandria Ocasio-Cortez, Ritchie Torres"
Astrileux Corporation,3,,,,,,CA,yes,San Diego,92121,,"Scott H. Peters, Sara Jacobs"
Cal Poly State University,3,,CA,,,,CA,yes,San Luis Obispo,93407,,Salud O. Carbajal
Dartmouth College,3,Hanover,NH,,,,NH,yes,Hanover,03755,,Ann M. Kuster
"EpiBiome, Inc.",3,,,,,,CA,yes,South San Francisco,94080,,"Nancy Pelosi, Kevin Mullin"
IBM Almaden Research Center,3,,,,,,CA,yes,San Jose,95120,,"Anna G. Eshoo, Jimmy Panetta"
Johns Hopkins University,3,,,,,,MD,yes,Baltimore,21218,,Kweisi Mfume
Louisiana State University,3,,,,,,LA,yes,Baton Rouge,70803,,Garret Graves
Macalester College,3,,,,,,MN,yes,Saint Paul,55105,,Betty McCollum
Missouri University of Science & Technology,3,,,,,,MO,yes,Rolla,65409,,Jason Smith
National Renewable Energy Laboratory (NREL),3,Golden,CO,,,,CO,yes,Golden,80401,,Brittany Pettersen
"Newomics, Inc.",3,,,,,,CA,yes,Berkeley,94720,,Barbara Lee
NJIT,3,,NJ,,,,NJ,yes,Newark,07102,,"Robert Menendez, Donald M. Payne Jr."
Pacific Light Technologies,3,,,,,,WA,yes,Seattle,98103,,Pramila Jayapal
Perfect Day Inc.,3,,,,,,CA,yes,Berkeley,94710,,Barbara Lee
State University of New York at Binghamton University (SUNY Binghamton),6,Binghamton,NY,,,,NY,yes,Binghamton,13902,,Marcus J. Molinaro
State University of New York at Buffalo,3,Buffalo,NY,,,,NY,yes,Buffalo,14260,,Brian Higgins
Toyota Research Institute of North America,3,,,,,,MI,yes,Ann Arbor,48105,,Debbie Dingell
University of Delaware,3,,DE,,,,DE,yes,Newark,19716,,Lisa Blunt Rochester
"University of Maryland, College Park",3,College Park,MD,,,,MD,yes,College Park,20742,,Glenn Ivey
University of Pennsylvania,3,,PA,,,,PA,yes,Philadelphia,19104,,"Brendan F. Boyle, Dwight Evans"
University of Rochester,3,,NY,,,,NY,yes,Rochester,14627,,Joseph D. Morelle
University of Texas at San Antonio,3,,,,,,TX,yes,San Antonio,78249,,"Joaquin Castro, Tony Gonzales"
University of Texas Southwestern Medical Center at Dallas,3,Dallas,TX,,,,TX,yes,Dallas,75390,,Jasmine Crockett
University of Wisconsin - Madison,3,Madison,WI,,,,WI,yes,Madison,53706,,Mark Pocan
Univesity of Pennsylvania,3,,,,,,PA,yes,Philadelphia,19104,,"Brendan F. Boyle, Dwight Evans"
Western Digital,3,,,,,,CA,yes,San Jose,95138,,"Zoe Lofgren, Jimmy Panetta"
Yale University,3,,,,,,CT,yes,New Haven,06520,,Rosa L. DeLauro
Air Force Research Laboratory,2,,,,,,OH,yes,Dayton,45433,,Michael R. Turner
"Alion, Inc (SunPrint, Inc)",2,,,,,,VA,yes,McLean,22102,,"Donald S. Beyer Jr., Gerald E. Connolly"
Arizona State University,2,,,,,,AZ,yes,Tempe,85281,,Greg Stanton
Bechtel Nevada,2,,,,,,NV,yes,North Las Vegas,89030,,"Dina Titus, Steven Horsford"
Biodesy LLC,2,,,,,,CA,yes,South San Francisco,94080,,"Nancy Pelosi, Kevin Mullin"
Boise State University,2,,,,,,ID,yes,Boise,83725,,Michael K. Simpson
Boston College,2,,,,,,MA,yes,Chestnut Hill,02467,,"Jake Auchincloss, Ayanna Pressley, Stephen F. Lynch"
"Brewer Science, Inc.",2,,,,,,MO,yes,Rolla,65401,,"Blaine Luetkemeyer, Jason Smith"
"California State University, East Bay",2,,,,,,CA,yes,Hayward,94542,,Eric Swalwell
Case Western Reserve University,2,,,,,,OH,yes,Cleveland,44106,,Shontel M. Brown
Clark Atlanta University,2,,,,,,GA,yes,Atlanta,30314,,Nikema Williams
Clemson University,2,,,,,,SC,yes,Clemson,29634,,Jeff Duncan
"Colorado School of Mines, The",2,,,,,,CO,yes,Golden,80401,,Brittany Pettersen
Colorado State University,2,,,,,,CO,yes,Fort Collins,80523,,Joe Neguse
Fairfield University,2,,,,,,CT,yes,Fairfield,06824,,James A. Himes
"FLO Materials, Inc.",2,,,,,,MA,yes,Somerville,02143,,Ayanna Pressley
"Fluigence, LLC",2,,,,,,MA,yes,Cambridge,02138,,"Katherine M. Clark, Ayanna Pressley"
Gaea Nanolabs LLC,2,,,,,,CA,yes,San Diego,92121,,"Scott H. Peters, Sara Jacobs"
Harvard Medical School,2,,,,,,MA,yes,Boston,02115,,"Ayanna Pressley, Stephen F. Lynch"
Hewlett-Packard Laboratories,2,,,,,,CA,yes,Palo Alto,94304,,Anna G. Eshoo
IBM T. J. Watson Research Center,2,,,,,,NY,yes,Yorktown Heights,10598,,Michael Lawler
Idaho National Laboratory (INL),2,,,,,,ID,yes,Idaho Falls,83415,,Michael K. Simpson
Inpria Corporation,2,,,,,,OR,yes,Corvallis,97333,,"Val T. Hoyle, Lori Chavez-DeRemer"
Kent State University,2,,,,,,OH,yes,Kent,44242,,David P. Joyce
Laney College,2,,,,,,CA,yes,Oakland,94607,,Barbara Lee
Medical University of South Carolina,2,,,,,,SC,yes,Charleston,29425,,James E. Clyburn
Michigan State University,2,,,,,,MI,yes,East Lansing,48824,,Elissa Slotkin
"NanoElectronic Imaging, Inc.",2,,,,,,CA,yes,Fremont,94539,,"Eric Swalwell, Ro Khanna"
National Center for Electron Microscopy,2,,,,,,CA,yes,Berkeley,94720,,Barbara Lee
National Research Council,2,,,,,,DC,yes,Washington,20418,,Eleanor Holmes Norton
NC State,2,,,,,,NC,yes,Raleigh,27695,,Deborah K. Ross
"Nelumbo, Inc.",2,,,,,,MA,yes,Boston,02116,,"Ayanna Pressley, Stephen F. Lynch"
Neuralink Corp,2,,,,,,CA,yes,Fremont,94538,,"Eric Swalwell, Ro Khanna"
New England Biolabs,2,,,,,,MA,yes,Ipswich,01938,,Seth Moulton
Oak Ridge National Laboratory (ORNL),2,,,,,,TN,yes,Oak Ridge,37831,,"Charles J. ""Chuck"" Fleischmann"
PepsiCo Inc.,2,,,,,,NY,yes,Purchase,10577,,Jamaal Bowman
"SBA Materials, Inc.",2,,,,,,CA,yes,Santa Barbara,93101,,Salud O. Carbajal
"Sila Nanotechnologies, Inc.",2,,,,,,GA,yes,Atlanta,30318,,Nikema Williams
The Rockefeller University,2,,,,,,NY,yes,New York,10065,,"Daniel S. Goldman, Jerrold Nadler"
"Ubiquitous Energy, Inc.",2,,,,,,CA,yes,Redwood City,94063,,Kevin Mullin
Union College,2,,,,,,NY,yes,Schenectady,12308,,Paul Tonko
University of Alabama,2,,,,,,AL,yes,Tuscaloosa,35487,,Terri A. Sewell
University of California Riverside (UCR),2,,,,,,CA,yes,Riverside,92521,,Mark Takano
University of Florida,2,,,,,,FL,yes,Gainesville,32611,,Kat Cammack
University of Missouri-Columbia,2,,,,,,MO,yes,Columbia,65211,,"Blaine Luetkemeyer, Mark Alford"
University of New Mexico,2,,,,,,NM,yes,Albuquerque,87131,,Melanie A. Stansbury
University of North Carolina at Chapel Hill,2,,,,,,NC,yes,Chapel Hill,27599,,Valerie P. Foushee
University of Oklahoma,2,,,,,,OK,yes,Norman,73019,,Tom Cole
University of South Florida,2,,,,,,FL,yes,Tampa,33620,,Laurel M. Lee
University of Wisconsin - Milwaukee,2,,,,,,WI,yes,Milwaukee,53211,,Gwen Moore
Utah State University,2,,,,,,UT,yes,Logan,84322,,Blake D. Moore
Visolis Inc.,2,,,,,,CA,yes,Berkeley,94710,,Barbara Lee
Washington University in St. Louis,2,,,,,,MO,yes,St. Louis,63130,,Cori Bush
Wayne State University,2,,,,,,MI,yes,Detroit,48202,,Shri Thanedar
Western Regional Research Center (USDA ARS),2,,,,,,CA,yes,Albany,94710,,Barbara Lee
3DIcon Corporation,1,,,,,,OK,yes,Tulsa,74103,,"Kevin Hern, Frank D. Lucas"
"Aerospace Corporation, The",1,,,,,,CA,yes,El Segundo,90245,,"Ted Lieu, Maxine Waters"
AesculaTech,1,,,,,,CA,yes,San Francisco,94107,,Nancy Pelosi
AmberGen Inc.,1,,,,,,NJ,yes,Bedminster,07921,,Thomas H. Kean Jr.
Amgen Inc,1,,,,,,CA,yes,Thousand Oaks,91320,,Julia Brownley
Applied Materials,1,,,,,,CA,yes,Santa Clara,95054,,Ro Khanna
Array Bridge Inc.,1,,,,,,MA,yes,Cambridge,02138,,"Katherine M. Clark, Ayanna Pressley"
"Automat Solutions, Inc",1,,,,,,PA,yes,Pittsburgh,15222,,Summer L. Lee
Baylor College of Medicine,1,,,,,,TX,yes,Houston,77030,,"Lizzie Fletcher, Al Green"
"BlueDot Photonics, Inc.",1,,,,,,WA,yes,Seattle,98103,,Pramila Jayapal
Brown University,1,,,,,,RI,yes,Providence,02912,,David N. Cicilline
California State University Maritime Academy,1,,,,,,CA,yes,Vallejo,94590,,John Garamendi
"California State University, Fresno",1,,,,,,CA,yes,Fresno,93740,,Kevin McCarthy
CalMed,1,,,,,,CA,yes,San Bernardino,92408,,Pete Aguilar
Carbonitum Energy Corporation,1,,,,,,TX,yes,Houston,77002,,"Lizzie Fletcher, Sheila Jackson Lee, Sylvia R. Garcia"
"Carestream Health, Inc.",1,,,,,,NY,yes,Rochester,14608,,Joseph D. Morelle
Carnegie Mellon University,1,,,,,,PA,yes,Pittsburgh,15213,,Summer L. Lee
Catamaran Labs LLC,1,,,,,,CA,yes,San Diego,92121,,"Scott H. Peters, Sara Jacobs"
CEA,1,,,,,,VA,yes,Arlington,22201,,Donald S. Beyer Jr.
Chembirly Analytical Sciences,1,,,,,,MA,yes,Northborough,01532,,James P. McGovern
Chevron,1,,,,,,CA,yes,San Ramon,94583,,Mark DeSaulnier
Chiron,1,,,,,,CA,yes,Emeryville,94608,,Barbara Lee
City College of New York,1,,,,,,NY,yes,New York,10031,,Adriano Espaillat
Clairity Technology Inc.,1,,,,,,CA,yes,San Francisco,94107,,Nancy Pelosi
Claremont Graduate University,1,,,,,,CA,yes,Claremont,91711,,"Judy Chu, Norma J. Torres"
Claremont McKenna College,1,,,,,,CA,yes,Claremont,91711,,"Judy Chu, Norma J. Torres"
Corning Inc. (Retiree),1,,,,,,NY,yes,Corning,14831,,Nicholas A. Langworthy
CSUEB,1,,,,,,CA,yes,Hayward,94542,,Eric Swalwell
"Cuberg, Inc.",1,,,,,,CA,yes,Berkeley,94710,,Barbara Lee
Cumulus Energy Storage,1,,,,,,NY,yes,New York City,10018,,"Daniel S. Goldman, Jerrold Nadler"
Drexel University,1,,,,,,PA,yes,Philadelphia,19104,,"Brendan F. Boyle, Dwight Evans"
Duke University,1,,,,,,NC,yes,Durham,27708,,Valerie P. Foushee
Duke University Medical Center,1,,,,,,NC,yes,Durham,27710,,Valerie P. Foushee
DuPont,1,,,,,,DE,yes,Wilmington,19805,,Lisa Blunt Rochester
Dupont Company,1,,,,,,DE,yes,Wilmington,19898,,Lisa Blunt Rochester
E. I. du Pont de Nemours & Co.,1,,,,,,DE,yes,Wilmington,19898,,Lisa Blunt Rochester
Emory University,1,,,,,,GA,yes,Atlanta,30322,,Nikema Williams
"Evolutionary Solutions, Inc.",1,,,,,,OH,yes,Cincinnati,45242,,Greg Landsman
"Exponent, Inc.",1,,,,,,CA,yes,Menlo Park,94025,,"Kevin Mullin, Anna G. Eshoo"
ExxonMobil Research and Engineering Company,1,,,,,,NJ,yes,Clinton,08809,,Thomas H. Kean Jr.
FivePrime Therapeutics,1,,,,,,CA,yes,South San Francisco,94080,,"Nancy Pelosi, Kevin Mullin"
Gallop Semiconductor Inc.,1,,,,,,AZ,yes,Chandler,85226,,"Elijah Crane, Greg Stanton"
Georgetown University,1,,,,,,DC,yes,Washington,20057,,Eleanor Holmes Norton
Gladstone Institutes/UCSF,1,,,,,,CA,yes,San Francisco,94158,,Nancy Pelosi
Haverford College,1,,,,,,PA,yes,Haverford,19041,,Mary Gay Scanlon
Hewlett-Packard Co.,1,,,,,,CA,yes,Palo Alto,94304,,Anna G. Eshoo
Hewlett-Packard Company,1,,,,,,CA,yes,Palo Alto,94304,,Anna G. Eshoo
Hitachi Global Storage Technologies,1,,,,,,CA,yes,San Jose,95135,,"Zoe Lofgren, Jimmy Panetta"
Hummingbird Scientific,1,,,,,,WA,yes,Lacey,98503,,Marilyn Strickland
"Hysitron, Inc.",1,,,,,,MN,yes,Eden Prairie,55344,,Dean Phillips
IBM Almaden research,1,,,,,,CA,yes,San Jose,95120,,"Anna G. Eshoo, Jimmy Panetta"
Icahn School of Medicine at Mount Sinai,1,,,,,,NY,yes,New York City,10029,,"Jerrold Nadler, Adriano Espaillat"
Illinois Institute of Technology,1,,,,,,IL,yes,Chicago,60616,,"Jonathan L. Jackson, Jesus G. ""Chuy"" Garcia, Danny K. Davis"
Indiana University Purdue University Indianapolis,1,,,,,,IN,yes,Indianapolis,46202,,Andre Carson
Industrial Technology Research Institute,1,,,,,,CA,yes,San Jose,95134,,Ro Khanna
InterMune,1,,,,,,CA,yes,Brisbane,94005,,Kevin Mullin
Iowa State University,1,,,,,,IA,yes,Ames,50011,,Randy Feenstra
"Iris Photovoltaics, Inc.",1,,,,,,CA,yes,Pasadena,91106,,Judy Chu
Kalamazoo College,1,,,,,,MI,yes,Kalamazoo,49006,,Bill Huizenga
Kinestral Research,1,,,,,,CA,yes,Hayward,94545,,Eric Swalwell
"Kitware, Inc.",1,,,,,,NY,yes,Clifton Park,12065,,Paul Tonko
"Kiverdi, Inc.",1,,,,,,CA,yes,Hayward,94545,,Eric Swalwell
KLA-Tencor,1,,,,,,CA,yes,Milpitas,95035,,"Ro Khanna, Zoe Lofgren"
La Jolla Bioengineering Institute,1,,,,,,CA,yes,La Jolla,92037,,"Scott H. Peters, Sara Jacobs"
Li Clean Energy Technologies,1,,,,,,CA,yes,Berkeley,94710,,Barbara Lee
Loyola University Maryland,1,,,,,,MD,yes,Baltimore,21210,,"C. A. Dutch Ruppersberger, Kweisi Mfume"
LSU Health Science Center,1,,,,,,LA,yes,New Orleans,70112,,"Steve Scalise, Troy A. Carter"
"Matrix Industries, Inc.",1,,,,,,CA,yes,Fremont,94539,,"Eric Swalwell, Ro Khanna"
"Maxwell Biosciences, Inc.",1,,,,,,MA,yes,Cambridge,02139,,"Katherine M. Clark, Ayanna Pressley"
Mayo Clinic,1,,,,,,MN,yes,Rochester,55905,,Brad Finstad
Mercer University,1,,,,,,GA,yes,Macon,31207,,Sanford D. Bishop Jr.
Merritt College,1,,,,,,CA,yes,Oakland,94619,,"Mark DeSaulnier, Barbara Lee, Eric Swalwell"
Microfab Technologies,1,,,,,,TX,yes,Plano,75074,,"Keith Self, Pat Fallon, Colin Z. Allred"
Molecular Biology Consortium,1,,,,,,IL,yes,Evanston,60208,,Janice D. Schakowsky
"Molecular Imprints, Inc.",1,,,,,,TX,yes,Austin,78727,,Lloyd Doggett
Montana State University,1,,,,,,MT,yes,Bozeman,59717,,Ryan K. Zinke
Nanoasis Inc.,1,,,,,,CA,yes,San Diego,92121,,"Scott H. Peters, Sara Jacobs"
nanoPrecision Products Inc.,1,,,,,,CA,yes,Carlsbad,92008,,Mike Levin
Nanosolar,1,,,,,,CA,yes,San Jose,95134,,Ro Khanna
"Nanospan, Inc",1,,,,,,MA,yes,Waltham,02451,,Katherine M. Clark
"NanoVasc, inc",1,,,,,,MA,yes,Woburn,01801,,"Katherine M. Clark, Seth Moulton"
NASA,1,,,,,,DC,yes,Washington,20546,,Eleanor Holmes Norton
NASA Ames Research Center,1,,,,,,CA,yes,Mountain View,94035,,Anna G. Eshoo
National Institutes of Health,1,,,,,,MD,yes,Bethesda,20892,,Jamie Raskin
Naval PostGraduate School,1,,,,,,CA,yes,Monterey,93943,,Jimmy Panetta
"NexTint, Inc.",1,,,,,,TX,yes,Austin,78758,,Lloyd Doggett
North Dakota State University,1,,,,,,ND,yes,Fargo,58102,,Kelly Armstrong
North Dakota State University - Surface Chemistry,1,,,,,,ND,yes,Fargo,58108,,Kelly Armstrong
Northwestern Polytechnic University,1,,,,,,CA,yes,Fremont,94539,,"Eric Swalwell, Ro Khanna"
Novartis Institutes for Biomedical Research,1,,,,,,MA,yes,Cambridge,02139,,"Katherine M. Clark, Ayanna Pressley"
NY University,1,,,,,,NY,yes,New York City,10003,,"Daniel S. Goldman, Nicole Malliotakis, Jerrold Nadler"
"ONE Nanotechnologies, LLC",1,,,,,,TX,yes,Austin,78758,,Lloyd Doggett
