text,label
"Some guy gets whacked. Right out in plain sight this other guy shoots him. He's got some bodyguards and they whack the killer, but a reporter gets interested. She goes to the hospital where they took the guy who got whacked. She walks in, and corners one bodyguard, but he doesn't feel like talking. I can't figure out why. It's not like anyone else is interested. She's the only reporter there. Anyway, her editor discourages her from working on this lame story. But hey, she does anyway. She goes to see the killer's sister & mom. A few minutes after she leaves they get whacked big time-- somebody blows up their trailer-- huge ball of fire. Then she searches out the bodyguard from the hospital. She finds him hungover on his boat, but a minute later they're both underwater sucking on a scuba tank 'cause three guys are trying to whack them (and have blown up the boat big time-- huge ball of fire). The reporter and the bodyguard whack two of the guys who are trying to whack them. <br /><br />In the course of the next hour another guy gets whacked crossing the street, there's a shootout with several stiffs in a warehouse, some car chases with wreckage & death, a fake suicide, etc. etc. Lotsa stiffs, all kindsa carnage. <br /><br />Great stuff, but what the reporter and the bodyguard can't figure is: why in hell the original guy got whacked. What's the motivation? Of course, it might help us to figure out why the reporter's even interested. Through almost all of this she's the only reporter on the story. Nobody else in the media cares. Not even with all the big fireballs and dead bodies. True, the original guy who got whacked wasn't exactly a celebrity. His job was a little bit dull. He was just the President. Yeah, the one who lives in the White House. Oh, and the bodyguard is a Secret Service agent.<br /><br />Is that the spoiler?<br /><br />It should be. After all there are no TV cameras, no other print reporters, no bloggers... just another one of those police blotter crimes...<br /><br />So what's the spoiler?<br /><br />Lemme think...<br /><br />No! Wait! The spoiler is that his wife did it! Yeah... the First Lady. She was p---ed because the President was fooling around. And she gets away with it. She's really sharp, huh? But how the hell could anybody ever figure that out? Why would anyone bother? After all, only one reporter is even interested. <br /><br />I give this move a ""1"". It was so dumb I just had to keep watching. And it only got dumber! That's the real spoiler! But even though I've told you, you've got to see it to believe it!",0
"I thought that Baseketball was one of the most funniest films i have ever seen! It's witty humour made me giggle all the way through, and the fact that Trey and Matt are so over the top, boosts the film's comedy. <br /><br />I have just bought Baseketball on DVD and its just one of those movies where you would never get tired of watching it. I have a very short attention span and i think this film has so any funny bits that it keeps me entertained throughout. The humorous quotes are memorable, and can make me laugh for hours if i remember them later..<br /><br />So overall i think that Baseketball is brilliant movie which everyone should go see, especially if you're younger like me as it will keep you laughing for a long time afterwards. <br /><br />P.s Does anybody think its weird for me to like them both? hehe",1
"Once again the same familiar story about a man (writer here) who sell his soul to the devil in order to have his most desired ambition in life: success. Unfunny script (we should ""go home and write better""), ridiculous lines in order to understand the ""strong"" ""Christmanish"" message (our only aspiration in life is to find love, respect and a good friendship) and a very long trial scene at the end where the agent Hopkins beat the devil (Jennifer Love Hewitt is no sexy or evil at all) for all the bad things she made to this unlikable character. Not bad efforts from the actors (Baldwin also as a director, Cattrall in a ""Sex and the City"" role again, Aykroyd with some funny lines in his limited role). P.S. Try also a not so popular film from Greece called ""Alloimono stous neous"", a brilliant adaptation of this myth (an old man give his soul to the devil to get back his youth)",0
"I really enjoyed this movie.I was fifteen when this movie came out and I could relate. This will be a movie I would show my kids to let them know, the feelings they are having are normal. It is funny to see how we could be so devestated by things at such a young age..who knew that we would bounce back....again and again....Great movie!!!!",1
"A painfully protracted, maudlin and predictable drama, my twenty-fifth Sidney Lumet film, Garbo Talks, gets filed precipitously on the low quality end of my quest.<br /><br />The film documents a harried young working man named Gilbert (Ron Silver), who is son to Estelle Rolle (Anne Bancroft), eccentric, feisty and above all, an obsessive fan of Greta Garbo. When Estelle becomes afflicted with a brain tumor, her son decides to go on an obsessive quest of his own: track down Greta Garbo, and bring her to his mother.<br /><br />Anne Bancroft is in full-on, chew-the-scenery Auntie-Mame mode here, that kind of feisty ol' gal that film loves, where she mouths off to people, and stands up for her ideals, and ends up in jail all the time. She stands outside of the film as an obvious artificial construct, and every scene with her is yuk-yuk lame; every note striking false. The rest of the characters are equally as one-dimensional, but tremendously less-interesting. Ron Silver is flat as can be, and his attempted love triangle is as telegraphed as anything else in the film: He is dating affluent Lisa Rolfe (Carrie Fisher), but becomes smitten with oddball co-worker Jane Mortimer (Catherine Hicks), and I called every scene three scenes before they happen.<br /><br />That's the other problem. One-dimensional characters can survive if they are posited in an intriguing and captivating story, but there's simply nothing here. The film's pace is glacial, resplendent with extraneous material that strengthens absolutely nothing, and when the film does begin to follow a linear plot, it's both plodding and uninteresting. There are plenty of guest stars, so to speak, including Harvey Fierstein as a gay New Yorker (imagine that) in yet another highly inessential scene.<br /><br />Late in the film, it attempts to make a halfway-decent statement on the nature of idolatry and its role in our lives, but by that time, none of the characters exist as real people, and the film had bored me into submission, so it functions as a case of far-too-little, far-too-late. The film is my twenty-fifth Lumet-directed film, making him easily my most-viewed director, but outside of a couple egregious misses (A Stranger Among Us, anyone?), he hasn't plumbed the painfully uninteresting depths of Garbo Talks.<br /><br />{Grade: 4.5/10 (C/C-) / #21 (of 24) of 1984 / #23 of 25 Lumet films}",0
"I like Goldie Hawn and wanted another one of her films, so when I saw Protocol for $5.50 at Walmart I purchased it. Although mildly amusing, the film never really hits it a stride. Some scenes such as a party scene in a bar just goes on for too long and really has no purpose.<br /><br />Then, of course, there is the preachy scene at the end of the film which gives the whole film a bad taste as far as I'm concerned. I don't think this scene added to the movie at all. I don't like stupid comedies trying to teach me a lesson, written by some '60's burn out especially!<br /><br />In the end, although I'm glad to possess another Hawn movie, I'm not sure it was really worth the money I paid for it!",0
"Simply put, this is the worst movie since ""Police Academy: Mission to Moscow"" (if you liked that movie you will probably like this one).<br /><br />What were they thinking ? Some ideas should stay just that, an idea. The fact that this idea could itself to film should be a criminal offense.<br /><br />What was so bad about it I hear you ask. One word ... EVERYTHING.<br /><br />Cost to Hire: $4.50 Cost in Time to Watch: 89 Minutes<br /><br />I want a refund on both!",0
"This movie tackles child abduction from the point of view of a Mom (lisa Hartman Black) who acts like a man would in an action thriller. Unlike other movies where the focus is on the Police, here the Mom is tracking down her ex-husband who kidnapped their son. She gets help from her lawyer who eventually falls in love with her.<br /><br />Before finally catching up with her son, a lot of bizarre things happen. The Mom tries to take a child that looks like her son from a local Children's Play at a community theater. She gets caught, and then realizes it is not her child. That alone would have gotten most people put into the Mental Ward or a few months in jail waiting for trial. However, in this movie the Mom is release after a couple of hours because the victim's parents feel sorry for her. A little while later Mom breaks into her mother-in-law's house and then the Police arrive and they have their guns aimed at her but they let her run away because they recognize her (and feel sorry for her?).<br /><br />At another point in the story they have found the child, but when the Police arrive to search the house it turns out they left out the back door and got into the river on a dinghy that apparently the Dad kept around just for such an emergency escape! The Mom gets someone to lend her a raft, and even though it must have taken some time (in a real world), she and the lawyer-boyfriend, and the Police catch up to the other raft pretty fast and it is upside down in the water by landfall. Instead of getting out of the raft to search for the Dad on the land, Mom presumes he drowned the boy and she jumps into the water when she sees his life-jacket. Of course, she cannot swim and sinks like a rock. The lawyer saves her, but they miss a chance to run after the Dad. At one point the Mom is told her son died at a Clinic in Mexico. On and on it goes, and where it stops nobody knows! In some ways, this movie really exploits child abduction and it is not very positive. On the other hand, seeing a woman do all the crazy things that men do in these kind of movies was fun (or funny?).",0
"How can Barry Levinson possibly assemble white-hot comedy talents Ben Stiller and Jack Black, the gorgeous Rachel Weisz, old pro Christopher Walken and still deliver such a humourless stinker?<br /><br />Stiller and Black are friends until the latter invents a spray to make dog mess vanish and becomes a conspicuous consuming multi-millionaire.<br /><br />The premises is thin but sound enough in the right hands to have been a springboard for some great bitching between the two stars but all concerned overplay every hand, every chance they can.<br /><br />Stiller and Black are simply not funny for way too much of the time, Weisz looks sensational as always but is criminally underused and, with the exception of Walken as a batty barfly who urges Stiller's character to take revenge, it's a turgid trudge to the end of this strained farce.",0
"Oh, what a bad, bad, very bad movie! Cowritten by and starring Sylvester Stallonethat should have been enoughand featuring too many rock-climbing scenes, vertigo, falling, and scene-chewing villains and a botched airborne heist. There are two plots, both lame. One involves a traumatic failed rescue, and the other involves bad people wrecking an airplane for booty, and killing various harmless people whenever possible. The usually reliable John Lithgow, perhaps depressed by the sheer awfulness of the product, is reduced to sneering and calling those for whom he doesn't care ""Bostid!"" in a vague approximation of an English accent. Janine Turner, who was sprightly and enigmatic when she played Maggie on Northern Exposure, is sadly wasted in the part of a rescue climber and pilot. Stallone is stolid and muscle-headed. No deathless lines in this one. No living lines, either.",0
"Let's see where to begin... bad acting; I'm not sure if I'd even call it that, as it more along the lines of a no-effort script read. The actors didn't even seem to be into their parts and seemed quite lifeless and listless. Sure there was a scene or two with nudity, but that couldn't save this movie from it's lifeless characters.<br /><br />To call the main character a rapper is an insult to the people who actually do. The lyrics had no rhythm or flow and seemed more along the lines of senseless rants.<br /><br />Budget? Did this movie even have a budget? It seemed like they used less money than I've seen in a home-shot YouTube video. Bad lighting, props, poor sound post production. Bad special effects, if you want to go so far as to call them that. Story could have been good if the people actually seemed interested in making it so, but there was no life to this flick; I don't care who directed it.<br /><br />I've seen some really bad flicks in the past year and this one is definitely at the very bottom. Don't waste your time or you'll be wishing you listened to this unbiased review. Check the ratings, you'll see the 1's are rapidly outpacing the fluffed 10's with hardly anything in between. Wish I would have looked a little closer before wasting my time. What a suck-fest!",0
"Nell Shipman must have been paid a hefty sum of money to promote the Maxwell automobile's off-road capabilities. The plot of the movie is pretty simple, Nell plays a writer who has a bad case of writer's block, and needs inspiration, so she goes to visit Mexico to absorb the atmosphere. There she meets the hero (Bert Van Tuyle), a cowboy who chooses to drive a car rather than ride a horse. While Nell is visiting with her father's partner at his mining camp, a gang of local bandits kidnap her and bring her to their camp deep in the wilderness. The hero needs to get to her quickly, so he decides to drive there in his car. This is where the film takes a weird twist. Bert proceeds to drive over every terrain imaginable, huge rocks, small streams, heavy brush, scraggly tree stumps, steep inclines, etc etc, for the greater part of the film we get to see this car struggling to crawl over obstacles. Now mind you, this isn't a modern-day ATV, it's a 1920 Maxwell automobile, so it looks very out-of-place as an off-road vehicle. And it clearly has limitations for some of the terrain it encounters, we get to see it stuck more than once in this film. But the filmmakers made an effort to show it beating the odds and eventually passing all the obstacles. Once the hero gets to the hidden camp and rescues the girl, he jumps in the car with her and drives off with the bandits in hot pursuit (on horseback), and at this point it became hysterically funny to me. Watching this car slowly rolling over huge rocks, getting stuck in gravel and mountain brush, going forward and back to get momentum enough to pass over fallen tree limbs, the bandits should have had ample time to catch up. But they never do, even though we are to believe this wilderness chase goes on throughout the night. And in a silly climax, the car climbs a mountainside, and helps Nell and the hero push a huge boulder down the side to crush the pursuing bandits.<br /><br />After seeing this film you would think the army should invest in 1920 Maxwell automobiles because they clearly have better off-road capabilities than Hummers and Bradley tanks combined. Watch this film just for laughs, it's worth it just to see Nell cuddling up to the car grill and saying ""You did your best, brave little car""",0
"While this film certainly does possess the stench of a bad film, it's surprisingly watchable on several levels. First, for old movie fans, it's interesting to see the leading role played by Dean Jagger (no relation to Mick). While Jagger later went on to a very respectable role as a supporting actor (even garnering the Oscar in this category for 12 O'CLOCK HIGH), here his performance is truly unique since he actually has a full head of hair (I never saw him this way before) and because he was by far the worst actor in the film. This film just goes to show that if an actor cannot act in his earlier films doesn't mean he can't eventually learn to be a great actor. Another good example of this phenomenon is Paul Newman, whose first movie (THE SILVER CHALICE) is considered one of the worst films of the 1950s.<br /><br />A second reason to watch the film is the shear cheesiness of it all. The writing is bad, the acting is bad and the special effects are bad. For example, when Jagger and an unnamed Cambodian are wading through the water, it's obvious they are really just walking in place and the background is poorly projected behind them. Plus, once they leave the water, their costumes are 100% dry!!! Horrid continuity and mindlessly bad dialog abounds throughout the film--so much so that it's hard to imagine why they didn't ask Bela Lugosi or George Zucco to star in the film--since both of them starred in many grade-z horror films. In many ways, this would be a perfect example for a film class on how NOT to make a film.<br /><br />So, while giving it a 3 is probably a bit over-generous, it's fun to laugh at and short so it's worth a look for bad film fans.",0
"I just came back from ""El Otro"" playing here in Buenos Aires and I have to say I was very disappointed. The film is very slow moving (don't get me wrong, I enjoy slow moving films!), slow to the point of driving you crazy. All you hear is Julio Chavez breathing heavily throughout the whole film. This is a poorly made film, but more importantly, it is a film without a lick of inspiration, I felt nothing for the story or its characters.<br /><br />""El Otro"" was made only for the sake of making a film... making it forgetful. I would advise you to pass on this one, if you want to see good Argentinian films, look for films by Sorin.",0
"I get the feeling that the producers of this mess were out to make the most painful, ridiculous Western ever made. ""PAINFUL"" is the best word I can think of to describe it.<br /><br />On the plus side you have nice color photography and beautiful and well-spoken Rhonda Fleming. My sympathy goes to Jacques Aubuchon (who played the cripple), who acted well enough in an annoying role, written so atrociously that no actor could give an enjoyable performance. The production values were quite good, which only served to highlight the terrible story and screenplay.<br /><br />Things I hated: Stewart Granger looked so little like a western figure, what with his British accent, neat tailored outfit, and silly immaculate always-white kerchief tied around his neck. It got tiresome the way the townspeople and his son were constantly haranguing and insulting Granger, and he never spoke up or replied back. I know we are supposed to suspend disbelief and appreciate Westerns as symbolic morality plays, but this one broke the spell with it laughably unrealistic and predictable scenes, the worst being at the end where Granger miraculously, speedily and single-handedly plants dynamite around a canyon pass that the bad guy's cattle will pass through, and then Granger plants himself in the perfect spot so he can shoot the dynamite from a very far distance to create rock slides to bury and spook the cattle and bad guys, seemingly destroying them all, save the two main bad guys. Next worst is everything about the plot, which is loaded with soap opera scenes. Nothing in the movie seemed believable: I couldn't believe what all the conflict was about. The bad guy was driving his herd through to market and wanted the cows to chew some grass along the way; I don't see why something couldn't have been worked out. You need a land ownership dispute for that? Don't bother to see it.",0
"This movie is not that interesting, except for the first ten minutes. The pace and editing are a perfect introduction in an ensemble piece, even better than say Gosford Park. Then it inexplicably slows down, loses focus and starts resembling a traditional French movie only to regain focus in the end with the love relation between Antoine (Depardieu) and Cécile (Deneuve). In the middle there are too many sidelines and loose ends in the story, several threads started are not ended.<br /><br />*******SPOILERS AHEAD The main story is the relation between Antoine and Cécile. He has been loyal to her after his relation with her many years ago, despite her remarrying and setting up home in Morocco. As builder he now rebuilds his own life and recovers hers by taking the mask of Cécile's marriage. Having accomplished this, he is buried after a freak accident (literally) and becomes a comatose. He wakes only after she has burned their old picture as indication that they've reconciled with the past and can properly start their lives again together. *******END OF SPOILERS<br /><br />It remains unclear what vision this director wants us to see us because there are so many other stories here: Illegal immigrants want to enter Europe, there are frequent radio broadcasts about the overthrow of Iraq's former regime. Cécile's child is bisexual and is bitten by dogs (loyalty) once he meets his boyfriend, whereas the girl he lives with seems to be sick (of that?). Her sister is traditional Islamic, and enters a relation with Cécile's husband. It portrays Morocco as unnecessary backward, despite all the building there is a strange colonial vision shining through that almost glorifies the past. It portrays Islam as backward and prone to extremism, which may sometimes be true, but certainly not in general. In the end it can all best be described as adding some couleur locale and l'art pour l'art.<br /><br />Deneuve and Depardieu are great. With this material they are so familiar they are able to spin something extra in every scene: lifting an eyebrow, body language, radiating pride, awkward behavior. The movie itself is disappointing and only confirming the limited role of French cinema in the world nowadays. With some notable exceptions of course.",0
"Just saw ICE AGE, a very funny and especially nice looking film. The story is simple but effective, the characters lovable and nicely fleshed out but what really shines is the digital set design.<br /><br />More inspired by traditional animated movies than reality, the designs give you a really, really nice looking world in a astounding use of colour. Sometimes the touches of reality shine through (especially the water was impressive), but nonetheless, it's a fantasy-world based on reality. Including loads of vast landscapes especially helps to minimise the costs of rendering.<br /><br />Pixar films shine with technical brilliance, this one shines with effective uses of technical know-how.<br /><br />Enough technical babble, the film's entertaining, family-friendly and sometimes just hilariously funny.",1
"Cameron Diaz is a woman who is married to a judge, played by Harvey Keitel, whose life is fine until an ex shows up and things get a little complicated.. While I was watching this movie there were several times i asked myself why I was doing so..because the movie is so ridiculous and blah and poorly scripted without any believability. Nor does the audience really car what happens..Even the lovely Cameron can't save this one on a scale of one to ten..2",0
"Interesting story about a soldier in a war who misses out on saving the life of a young girl from the enemy and is haunted by this event, even though he did save many other captive children. The film flashes a head and this soldier is now a teacher in a high school that is managed mostly by policemen patrolling the hallways, bathrooms and even class rooms. In other words, the High School is a prison and most of the kids pay very little attention to their teachers or principal. Dolph Lundgren,(Sam Decker) plays the soldier/school teacher and decides he is going to quit teaching and go into another field. However, the principal asks him to have a Detention Class as his last duty as a teacher. It is at this point in the film when all Hell breaks loose and the story becomes a complete BOMB. Try to enjoy it, if you decided to View IT !",0
"Casting Jack Cassidy as Ken Frankin was sheer brilliance. Cassidy personified arrogance, confidence, charm and wit - all with a condescending, evil little smirk on his face. In my opinion, Jack Cassidy is by far the best murderer (having appeared three times) in the Columbo series. This particular (and first) performance, is my favorite Columbo episode ever - hands down. A fresh faced Steven Spielberg did amazing camera work (yes, there were a couple of camera shadows on the actors at times)capturing the nuances and banter at different and intriguing angles between Columbo and Franklin. Also, the panoramic and tight in shots at Big Bear Lake, CA (Franklin's cabin home) were very impressive.<br /><br />If you have not yet seen this episode, then you owe it to yourself to do so - it's a true masterpiece.<br /><br />Jack Cassidy was a very talented actor and singer. His charismatic personality was highly infectious. His death in 1976, at age 49 was very sad and indeed very tragic - he surely had his best years ahead of him. Rest in Peace Jack, you will live on for eternity through your great work.",1
"I saw this movie not knowing anything about it before hand. The plot was terrible with large gaps of information missing. The movie didn't have the ""battle of wits"" feel to me. The actors just spewed out mouthful's of nonsense, at times causing me to gnash my teeth in agony as they droned on and on. The plot was predictable except for the stomach sickening homo erotic scene at the end (I'm not homophobic but made me physically sick to my stomach), even the ending was predictable. And you could tell the detective was Jude Law in a costume, everything from the fake accent, terrible dental work, costume shop facial hair, everything pointed to it being a disguise. The whole movie just felt like wasted time out of my life. This movie had the feel of a puppet show with Jude Law and Michael Caine as puppets and the house as the window to view the show, really boooring in my opinion.",0
