description,label,llm_labeled_successfully,llm_label
"The Restricted Shares shall vest and the forfeiture restrictions shall lapse as follows, in each case, subject to the Participant’s continued employment in good standing through the applicable vesting date: (i) 25% of the Restricted Shares will be vested as of the date of grant; and (ii) 25% of the Restricted Shares will vest on each of the first, second and third calendar years following the year in which the applicable Performance Period ends (e.g., for awards granted in respect of the initial Performance Period ending December 31, 2017, 25% would be vested on the date of grant in early 2018, and an additional 25% would vest on the anniversaries of the date of grant in each of 2019, 2020 and 2021). Except as otherwise set forth below, upon the termination of a Participant’s employment with the Company and its Affiliates, all unvested Restricted Shares not then vested as of the date of termination shall not vest (except as otherwise provided herein) and shall be forfeited back to the Plan.",Vesting,yes,Vesting
"Schedule 6.14 lists each Subsidiary of the Company, and the direct and indirect ownership interest of the Company therein, in each case as of the Restatement Effective Closing Date.",Subsidiaries,yes,Subsidiaries
"If any one or more of the covenants, agreements, provisions or terms of this Agreement shall be for any reason whatsoever held invalid, then such covenants, agreements, provisions or terms shall be deemed severable from the remaining covenants, agreements, provisions or terms of this Agreement and shall in no way offset the validity or enforceability of the other provisions of this Agreement.",Severability,yes,Severability
"Section 4.5 of the Disclosure Schedule contains true and complete copies of (i) the unaudited balance sheet of the Company as of December 31, 2016 and the related unaudited statements of income, stockholders’ equity and cash flows for the two years ended December 31, 2016 and December 31, 2015 (the “ Annual Financial Statements ”) and (ii) the unaudited balance sheet of the Company as of March 31, 2017 and the related statements of income, stockholders’ equity and cash flows for the three-month period ended March 31, 2017 (the “ Interim Financial Statements ” and, together with the Annual Financial Statements, the “ Financial Statements ”). The Financial Statements have been prepared in accordance with GAAP applied on a consistent basis throughout the periods involved (except as may be indicated in the notes thereto) and, on that basis, fairly present, in all material respects, the financial condition, results of operations and cash flows of the Company as of the indicated dates and for the indicated periods (subject, in the case of the Interim Financial Statements, to normal year-end adjustments and the absence of notes).",Financial Statements,yes,Financial Statements
"The Company shall (a) by 4:00 p.m. (New York City time) on the date hereof, issue a press release disclosing the material terms of the transactions contemplated hereby, and (b) file a Current Report on Form 8-K, including the Transaction Documents as exhibits thereto, with the Commission within the time required by the Exchange Act. From and after the issuance of such press release, the Company represents to the Purchasers that it shall have publicly disclosed all material, non-public information delivered to any of the Purchasers by the Company or any of its Subsidiaries, or any of their respective officers, directors, employees or agents in connection with the transactions contemplated by the Transaction Documents. In addition, effective upon the issuance of such press release, the Company acknowledges and agrees that any and all confidentiality or similar obligations under any agreement, whether written or oral, between the Company, any of its Subsidiaries or any of their respective officers, directors, agents, employees or Affiliates on the one hand, and any of the Purchasers or any of their Affiliates on the other hand, shall terminate. The Company and each Purchaser requesting a copy of any press release shall consult with each other in issuing any other press releases with respect to the transactions contemplated hereby, and neither the Company nor any Purchaser shall issue any such press release nor otherwise make any such public statement without the prior consent of the Company, with respect to any press release of any Purchaser, or without the prior consent of the Placement Agent, with respect to any press release of the Company, which consent shall not unreasonably be withheld or delayed, except if such disclosure is required by law, in which case the disclosing party shall promptly provide the other party with prior notice of such public statement or communication. Notwithstanding the foregoing, the Company shall not publicly disclose the name of any Purchaser, or include the name of any Purchaser in any filing with the Commission or any regulatory agency or Trading Market, without the prior written consent of such Purchaser, except (a) as required by federal securities law in connection with the filing of final Transaction Documents with the Commission and (b) to the extent such disclosure is required by law or Trading Market regulations, in which case the Company shall provide the Purchasers with prior notice of such disclosure permitted under this clause (b).",Publicity,yes,Publicity
"This Agreement is a personal contract, and the rights and interest of Executive hereunder may not be sold, transferred, assigned, pledged or hypothecated. Except as otherwise may be herein expressly provided, this Agreement shall inure to the benefit of and be binding upon Employer and its successors and assigns.",Assignments,yes,Assigns
"This Agreement may be executed in any number of counterparts, each of which shall be deemed an original and all of which taken together shall be deemed to constitute one and the same instrument.  An executed signature page of this Agreement delivered by facsimile or electronic transmission shall be as effective as an original executed signature page.",Counterparts,yes,Counterparts
"No Borrower will, nor will it permit any of its Restricted Subsidiaries to, sell, lease or otherwise transfer any property or assets to, or purchase, lease or otherwise acquire any property or assets from, or otherwise engage in any other transactions with, any of its Affiliates, except (a) transactions at prices and on terms and conditions not less favorable to such Borrower or such Subsidiary than could be obtained on an arm’s-length basis from unrelated third parties, (b) transactions between or among the Borrowers and the Restricted Subsidiaries not involving any other Affiliate, (c) transactions expressly permitted to be undertaken with or for the benefit of Affiliates by any of Sections 6.01 , 6.03 , and 6.04 , and (d) Restricted Payments permitted by Section 6.05 .",Transactions With Affiliates,yes,Transactions With Affiliates
"As a condition of employment, the Executive agrees to continue to abide by the Employee Confidentiality, Non-Competition and Proprietary Information Agreement (“ Confidentiality Agreement ”), which the Executive executed and which may be amended by the parties from time to time without regard to this Agreement. The Confidentiality Agreement contains provisions that are intended by the parties to survive and do survive termination of this Agreement.",Confidentiality,yes,Confidentiality
"The consummation of the transactions contemplated by this Agreement (the “ Closing ”) shall take place remotely by the electronic or other exchange of documents and signature pages, on the date hereof, such date referred to herein as the “ Closing Date ”. The Closing will be effective as of 12:01 a.m. on the Closing Date (the “ Effective Time ”), and all actions scheduled in this Agreement to take place at the Closing shall be deemed to occur simultaneously at such time.",Closings,yes,Closings
"In addition to any increase to a Charge contemplated by Section 2.02(c) , Section 2.07(b) or Section 2.07(c) , the Recipient shall reimburse the Provider for reasonable out-of-pocket costs and expenses reasonably incurred by the Provider or any of its Subsidiaries in connection with providing the Services (including reasonable travel-related expenses) to the extent that such costs and expenses are not included in the Charges for such Services (an “ Out-of-Pocket Recoverable Cost ”); provided , however , that any such Out-of-Pocket Recoverable Cost in excess of five hundred dollars ($500.00), in the aggregate, that is not consistent with historical practice between the Parties for any Service (including business travel and related expenses) shall require advance written approval of the Recipient. Any authorized travel-related expenses incurred in performing the Services shall be incurred and charged to the Recipient in accordance with the Provider’s then-applicable business travel policies.",Expenses,yes,Expenses
"The Executive’s annual base salary is $324,000 , which is subject to review and redetermination by the Company from time to time. The annual base salary in effect at any given time is referred to herein as “Base Salary.” The Base Salary will be payable in a manner that is consistent with the Company’s usual payroll practices for senior executives.",Base Salary,yes,Base Salary
"All long-term borrowings by the Borrower from the Holder from January 28, 2016 and all payments on account of principal hereof shall be recorded by the Holder in its books and records and endorsed on the grid attached hereto and made a part hereof; provided, however, that no failure to keep or any error in such records or endorsements shall affect the obligations of the undersigned hereunder.",Records,yes,Records
"In all respects, including matters of construction, validity and performance, this Agreement shall be governed by, and construed and enforced in accordance with, the internal laws of the State of California applicable to contracts made and performed in that state (without regard to the choice of law or conflicts of law provisions thereof that would require the application of the law of any other jurisdiction).",Governing Laws,yes,Governing Laws
"This Agreement may be executed in one or more counterparts, all of which together constitute the same agreement. This Agreement may be delivered by facsimile, PDF or electronic mail.",Counterparts,yes,Counterparts
"This Agreement and each other Document constitute the legal, valid and binding obligations of the Purchaser and the Collateral Agent, enforceable against the Purchaser or the Collateral Agent as the case may be in accordance with their respective terms, except as enforceability may be limited by applicable bankruptcy, insolvency, or similar laws affecting the enforcement of creditors’ rights generally or by equitable principles relating to enforceability.",Binding Effects,yes,Enforceability
This Proxy Agreement shall become effective upon the date first written above.,Effective Dates,yes,Effective Dates
"The parties agree that irreparable damage would occur in the event that any of the provisions of this Agreement were not performed in accordance with their specific terms. It is accordingly agreed that the parties shall be entitled to seek specific performance of the terms of this Agreement, this being in addition to any other remedies to which they are entitled at law or equity.",Specific Performance,yes,Specific Performance
"From and after the Effective Date, Administrative Agent shall make all payments in respect of [the][each] Assigned Interest (including payments of principal, interest, fees and other amounts) to [the][the relevant] Assignor for amounts which have accrued to but excluding the Effective Date and to [the][the relevant] Assignee for amounts which have accrued from and after the Effective Date. Notwithstanding the foregoing, Administrative Agent shall make all payments of interest, fees or other amounts paid or payable in kind from and after the Effective Date to [the][the relevant] Assignee.",Payments,yes,Assignments
"On the Effective Date and after giving effect to the provisions of the Loan Documents, (a) the fair market value of the assets of each Loan Party will exceed their debts and liabilities; (b) the present fair saleable value of the property of each Loan Party will be greater than the amount that will be required to pay the probable liability of its debts and other liabilities; (c) each Loan Party (individually and/or on a consolidated basis) will be able to pay its debts and liabilities as they become absolute and mature; and (d) each Loan Party (individually and/or on a consolidated basis) will not have unreasonably small capital with which to conduct its business as such business is now conducted and is proposed to be conducted following the Effective Date.",Solvency,yes,Solvency
"The parties to this Agreement shall have all remedies available at law, in equity or otherwise in the event of any breach or violation of this Agreement or any default hereunder. The parties acknowledge and agree that in the event of any breach of this Agreement, in addition to any other remedies that may be available, each of the parties hereto shall be entitled to specific performance of the obligations of the other parties hereto and, in addition, to such other equitable remedies (including preliminary or temporary relief) as may be appropriate in the circumstances. No delay of or omission in the exercise of any right, power or remedy accruing to any party as a result of any breach or default by any other party under this Agreement shall impair any such right, power or remedy, nor shall it be construed as a waiver of or acquiescence in any such breach or default, or of any similar breach or default occurring later; nor shall any such delay, omission nor waiver of any single breach or default be deemed a waiver of any other breach or default occurring before or after that waiver.",Remedies,yes,Remedies
"The execution, delivery and performance by the Company of this Agreement and the other Transaction Documents to which it is a party, the issuance and sale of the Securities and the consummation by it of the transactions contemplated hereby and thereby do not and will not: (i) conflict with or violate any provision of the Company’s or any Subsidiary’s certificate or articles of incorporation, bylaws or other organizational or charter documents; (ii) conflict with, or constitute a default (or an event that with notice or lapse of time or both would become a default) under, result in the creation of any Lien (except Liens in favor of the Purchasers) upon any of the properties or assets of the Company or any Subsidiary, or give to others any rights of termination, amendment, acceleration or cancellation (with or without notice, lapse of time or both) of, any agreement, credit facility, debt or other instrument (evidencing a Company or Subsidiary debt or otherwise) or other understanding to which the Company or any Subsidiary is a party or by which any property or asset of the Company or any Subsidiary is bound or affected; or (iii) subject to the Required Approvals, conflict with or result in a violation of any law, rule, regulation, order, judgment, injunction, decree or other restriction of any court or governmental authority to which the Company or a Subsidiary is subject (including federal and state securities laws and regulations), or by which any property or asset of the Company or a Subsidiary is bound or affected; except in the case of each of clauses (ii) and (iii), such as could not have or reasonably be expected to result in a Material Adverse Effect.",No Conflicts,yes,No Conflicts
"The failure of the Manufacturer at any time to require performance by the Distributor of any provision hereof shall in no way affect the right of the Manufacturer hereafter to enforce same, nor shall waiver by the Manufacturer of any breach of any provision hereof be taken or held to be a waiver of any succeeding breach of such provision or as a waiver of the provision itself.",Waivers,yes,Waivers
"(a) The Borrower will pay a fee on each outstanding Letter of Credit, at a per annum rate equal to the Applicable Margin then in effect with respect to Eurodollar Loans under the Revolving Facility on the face amount of such Letter of Credit, which fees shall be shared ratably among the Revolving Lenders and payable quarterly in arrears on each Fee Payment Date after the issuance date. In addition, the Borrower shall pay to each Issuing Lender for its own account a fronting fee equal to 0.125% on the aggregate face amount of all outstanding Letters of Credit issued by it to such Borrower (but in no event less than $500 per annum for each such Letter of Credit), payable quarterly in arrears on each Fee Payment Date after the issuance date.",Fees,yes,Fees
"This Agreement may be terminated by any Purchaser, as to such Purchaser’s obligations hereunder only and without any effect whatsoever on the obligations between the Company and the other Purchasers, by written notice to the other parties, if the Closing has not been consummated on or before April 11, 2016; provided, however, that such termination will not affect the right of any party to sue for any breach by any other party (or parties).",Terminations,yes,Terminations
"So long as the Note remains outstanding, except in the normal course of its business as described in the SEC Documents, the Company shall not transfer any assets or rights to any of its subsidiaries or permit any of its subsidiaries to engage in any significant business or operations, whether such subsidiaries are currently existing or hereafter created.",Subsidiaries,yes,Transactions With Affiliates
"Any amendment to the Plan shall be deemed to be an amendment to this Agreement to the extent that the amendment is applicable hereto; provided, however, that (a) no amendment shall adversely affect the rights of Grantee under this Agreement without Grantee’s written consent and (b) Grantee’s consent shall not be required to an amendment that is deemed necessary by the Company to ensure exemption from or compliance with Section 409A of the Code or Section 10D of the Exchange Act and any applicable rules or regulations promulgated by the Securities Exchange Commission or any national securities exchange or national securities association on which the Common Stock may be traded, including as a result of the implementation of, or modification to, any clawback policy the Company adopts, or has adopted, to comply with the requirements set forth in Section 10D of the Exchange Act or as provided for in subparagraph 4(g) of the Employment Agreement.",Amendments,yes,Amendments
"This Agreement and the other Loan Documents represent the agreement of the Grantors, the Collateral Agent and the other Secured Parties with respect to the subject matter hereof and thereof.",Integration,yes,Agreements
"Each Guarantor hereby absolutely, unconditionally and irrevocably waives (i) promptness, diligence, notice of acceptance, notice of presentment of payment and any other notice hereunder, (ii) demand of payment, protest, notice of dishonor or nonpayment, notice of the present and future amount of the Obligations and any other notice with respect to the Obligations, (iii) any requirement that any Agent, any Lender protect, secure, perfect or insure any security interest or Lien on any property subject thereto or exhaust any right or take any action against any other Loan Party, or any Person or any Collateral, (iv) any other action, event or precondition to the enforcement hereof or the performance by each such Guarantor of the Obligations, and (v) any defense arising by any lack of capacity or authority or any other defense of any Loan Party or any notice, demand or defense by reason of cessation from any cause of Obligations other than payment and performance in full of the Obligations by the Loan Parties and any defense that any other guarantee or security was or was to be obtained by any Agent.",Waivers,yes,Waivers
The parties hereby acknowledge and agree that the Recitals of this Amendment are true and accurate.  Terms not otherwise defined herein shall have the meaning ascribed to them in the Agreement.,Defined Terms,yes,Amendments
The Partnership shall use the proceeds of the offering of the Purchased Units to acquire assets as contemplated by the Noble Purchase Agreement.,Use Of Proceeds,yes,Use Of Proceeds
"Not create, incur, assume or suffer to exist any Lien upon any of its property, assets or revenues, whether now owned or hereafter acquired, other than Buyer Permitted Liens.",Liens,yes,Liens
"The Company shall use the net proceeds from the sale of the Securities hereunder for working capital purposes and for other general corporate purposes, including Phase III clinical trials of OHR-102, and shall not use such proceeds: (a) for the satisfaction of any portion of the Company’s debt (other than payment of trade payables in the ordinary course of the Company’s business and prior practices), (b) for the redemption of any Common Stock or Common Stock Equivalents, (c) for the settlement of any outstanding litigation or (d) in violation of FCPA or OFAC regulations.",Use Of Proceeds,yes,Use Of Proceeds
"Each party acknowledges and agrees that any controversy which may arise under this Agreement is likely to involve complicated and difficult issues, and therefore each party hereby irrevocably and unconditionally waives any right such party may have to a trial by jury in respect of any litigation directly or indirectly arising out of or relating to this Agreement, or the breach, termination or validity of this Agreement, or the transactions contemplated by this Agreement. Each party certifies and acknowledges that (A) no representative, agent or attorney of any other party has represented, expressly or otherwise, that such other party would not, in the event of litigation, seek to enforce the foregoing waiver, (B) each such party understands and has considered the implications of this waiver; (C) each such party makes this waiver voluntarily; and (D) each such party has been induced to enter into this Agreement by, among other things, the mutual waivers and certifications in this Section 11(c).",Waiver Of Jury Trials,yes,Waiver of Jury Trials
"The Company shall not publicly disclose the name of any Purchaser or an Affiliate of any Purchaser, or include the name of any Purchaser or an Affiliate of any Purchaser in any press release or filing with the Commission (other than the Registration Statement) or any regulatory agency or trading market, without the prior written consent of such Purchaser, except (i) as required in connection with the Company’s filing of a Current Report on Form 8-K with the Commission describing the terms of the Transaction Documents (and including as exhibits to such Current Report on Form 8-K the material Transaction Documents (including ,without limitation, this Agreement, the Investors’ Rights Agreement and the Certificate of Designation)), (ii) as required by federal securities law in connection with (A) any registration statement contemplated by the Investors’ Rights Agreement and (B) the filing of final Transaction Documents (including signature pages thereto) with the Commission and (iii) to the extent such disclosure is required by law, request of the Staff of the Commission or Trading Market regulations, in which case the Company shall provide the Purchasers with prior written notice of such disclosure permitted under this subclause (iii). From and after the issuance of the initial press release issued by the Company and reasonably acceptable to the Purchasers (the “ Press Release ”) disclosing all material terms of the transactions contemplated hereby, no Purchaser that is not an Affiliate of the Company shall be in possession of any material, non-public information received from the Company, any subsidiary or any of their respective officers, directors, employees or agents, that is not disclosed in the Press Release unless such Purchaser shall have executed a written agreement regarding the confidentiality and use of such information. Each Purchaser, severally and not jointly with the other Purchasers, covenants that until such time as the transactions contemplated by this Agreement are required to be publicly disclosed by the Company as described in this Section 4.4 , such Purchaser will maintain the confidentiality of all disclosures made to it in connection with this transaction (including the existence and terms of this transaction).",Publicity,yes,Confidentiality
"(a) (i) To the extent delivered, if any, the unaudited consolidated balance sheet of the Borrower and its Subsidiaries for the fiscal quarter of the Borrower ended after the close of its most recent fiscal year and at least forty-five (45) days prior to the Effective Date and the related consolidated statements of income, cash flows and shareholders’ equity of the Borrower and its Subsidiaries for such fiscal quarter of the Borrower, copies of which have been furnished to the Lenders prior to the Effective Date, in each case, present fairly in all material respects the financial condition of the Borrower and its Subsidiaries, at the date of such balance sheets and the results of the operations of the Borrower and its Subsidiaries for the periods covered thereby. All of the foregoing financial statements have been prepared in accordance with generally accepted accounting principles and practices consistently applied (except, in the case of the aforementioned unaudited financial statements, for normal year-end audit adjustments and the absence of footnotes).",Financial Statements,yes,Financial Statements
"Each party represents and warrants that (a) such party is not subject to any contract, arrangement, agreement, policy or understanding, or to any statute, governmental rule or regulation, that in any way limits such party’s ability to enter into and fully perform such party’s obligations under this Agreement; (b) such party is not otherwise unable to enter into and fully perform such party’s obligations under this Agreement; and (c) upon the execution and delivery of this Agreement by both parties, this Agreement shall be such party’s valid and binding obligation, enforceable against such party in accordance with its terms, except to the extent that enforceability may be limited by applicable bankruptcy, insolvency or similar laws affecting the enforcement of creditors’ rights generally.",Representations,yes,Representations
"It is duly incorporated or organized, validly existing and in good standing (to the extent such concept applies to such entity) under the laws of the jurisdiction of its incorporation or organization, as the case may be, and has the corporate power and authority to execute, deliver and perform its obligations under this Agreement.",Organizations,yes,Existence
"This Agreement shall be binding upon the parties and their respective successors and permitted assigns, and shall remain in full force and effect after the Anadarko Closing and if occurring, the KNOC Closing.  Except as expressly provided in this Agreement, this Agreement shall not be construed so as to confer any right or benefit upon any Person other than the parties to this Agreement and their respective successors and permitted assigns.",Binding Effects,yes,Binding Effects
"This Agreement shall, pursuant to New York General Obligations Law Section 5-1401, be governed by and construed in accordance with the laws of the State of New York.",Governing Laws,yes,Governing Laws
"No provision of this Release may be modified, changed, waived or discharged unless such waiver, modification, change or discharge is agreed to in writing and signed by the Company and the Executive.",Amendments,yes,Modifications
"BORROWER KNOWINGLY, VOLUNTARILY AND IRREVOCABLY WAIVES, TO THE FULLEST EXTENT PERMITTED BY APPLICABLE LAW, ANY AND ALL RIGHTS BORROWER MAY HAVE TO TRIAL BY JURY IN ANY LEGAL PROCEEDING BASED ON, ARISING OUT OF, OR IN ANY WAY RELATED TO: THIS AGREEMENT; THE OBLIGATIONS; ANY NOTES, LOAN AGREEMENTS, OR ANY OTHER LOAN DOCUMENT OR AGREEMENT EXECUTED OR CONTEMPLATED TO BE EXECUTED IN CONNECTION WITH ANY OF THE OBLIGATIONS OR ANY OF THE TRANSACTIONS CONTEMPLATED HEREBY OR THEREBY. THIS JURY WAIVER ALSO APPLIES TO ANY CLAIM, COUNTERCLAIM, CAUSE OF ACTION OR DEMAND ARISING FROM OR RELATED TO (I) ANY COURSE OF CONDUCT, COURSE OF DEALING, OR RELATIONSHIP OF BORROWER, ANY OBLIGOR, OR ANY OTHER PERSON WITH BANK OR ANY EMPLOYEE, OFFICER, DIRECTOR OR ASSIGNEE OF BANK IN CONNECTION WITH THE OBLIGATIONS; OR (II) ANY STATEMENT (WHETHER ORAL OR WRITTEN) OR ACTIONS OF ANY PERSON BY OR ON BEHALF OF BANK TO BORROWER, ANY OBLIGOR, OR ANY OTHER PERSON IN CONNECTION WITH THE OBLIGATIONS, REGARDLESS OF WHETHER SUCH CAUSE OF ACTION ARISES BY CONTRACT, TORT OR OTHERWISE. BORROWER HEREBY ACKNOWLEDGES THAT THIS WAIVER OF JURY TRIAL IS A MATERIAL INDUCEMENT TO THE LENDERS IN EXTENDING CREDIT TO THE BORROWER, THAT THE LENDERS WOULD NOT HAVE EXTENDED SUCH CREDIT WITHOUT THIS JURY TRIAL WAIVER, AND THAT BORROWER HAS BEEN REPRESENTED BY AN ATTORNEY OR HAS HAD AN OPPORTUNITY TO CONSULT WITH AN ATTORNEY IN CONNECTION WITH THIS JURY TRIAL WAIVER AND UNDERSTANDS THE LEGAL EFFECT OF THIS WAIVER. BORROWER FURTHER CERTIFIES THAT NO PERSON HAS REPRESENTED TO IT, EXPRESSLY OR OTHERWISE, THAT AGENT OR ANY OTHER PERSON WOULD NOT, IN THE EVENT OF A LEGAL PROCEEDING, SEEK TO ENFORCE THE FOREGOING WAIVER.",Waiver Of Jury Trials,yes,Waiver Of Jury Trials
"The Administrative Agent shall have received evidence of insurance coverage in form, scope, and substance reasonably satisfactory to the Administrative Agent and otherwise in compliance with the terms of Section 5.09 and Section 4.12 of the Security Agreement.",Insurances,yes,Insurance
This Agreement shall be governed and construed in accordance with the laws of the Commonwealth of Massachusetts without regard to conflict of laws principles. You agree that all disputes arising under or out of this Agreement shall be brought in courts of competent jurisdiction within the Commonwealth of Massachusetts and you hereby consent to jurisdiction in courts located in the Commonwealth of Massachusetts with respect to all such matters.,Jurisdictions,yes,Governing Laws
"(a) The Revolving Credit Commitments, the Swingline Commitment and the L/C Commitment shall automatically terminate on the Revolving Credit Maturity Date.",Terminations,yes,Terminations
"Notices and all other communications provided for in this Agreement shall be in writing and shall be delivered personally or sent by registered or certified mail, return receipt requested, or by overnight carrier and addressed, if to Executive, to Executive’s address set forth in the Company’s records, or if to the Company, to its principal office, to the attention of the Board.",Notices,yes,Notices
"Any provision of this Second Amendment held to be invalid, illegal or unenforceable in any jurisdiction shall, as to such jurisdiction, be ineffective to the extent of such invalidity, illegality or unenforceability without affecting the validity, legality and enforceability of the remaining provisions hereof, and the invalidity of a particular provision in a particular jurisdiction shall not invalidate such provisions in any other jurisdiction.",Severability,yes,Severability
"This Agreement may be amended only by means of a written amendment signed by both the Company and the Holders of a majority of the then outstanding Registrable Securities; provided, however , that no such amendment shall materially and adversely affect the rights of any Holder hereunder without the consent of such Holder.",Amendments,yes,Amendments
