description,label
"... This isn't the first time Stanley blurred the distinction between genres to such great effect, either. In Dr. Strangelove you had a comedy about a horrific situation, and here the basis is a terrifying scenario which actually yields some very funny moments. Slow-burning madness and attempting to kill one's family isn't hilarious of course, but the dialogue is very knowing (""five months of peace is just what I want... "") and there is a terrific drinking scene which would be riotous if you included just one type of spirit, but is spine-chilling when you factor in the other.<br /><br />I disagree with those who say that the hotel has a negligible effect on Jack Torrance in the filmed version. The cues Nicholson provides the audience as an actor merely hint at the potential for madness, which is only reinforced when we learn that the head of the family has struggled with alcoholism and is emotionally distant from his wife and son. The environment that he is in, however, then absorbs those personality defects and unleashes them upon his consciousness. In much the same way as buildings are sometimes thought to soak up events that happen there, the hotel feeds on the frailties of a troubled but sane man, and uses his weaknesses against him to eventually take him beyond the point of no return. He may have dormant flaws in his personality before he arrives, but to me the Overlook itself is the trigger that sets them off.<br /><br />Kubrick's cold and detached approach to directing works splendidly for a chilly horror film, and the unpredictable force of nature that is Jack Nicholson teeters all the time between making you giggle and scaring the wits out of you. When he explodes, you won't be sure how far he can go. Together they made a great team and with a blend of their talents gave us a classic. If you want a great viewing experience, then this is an example that well and truly shines...",Positive
"I like British humor, I believe it's one of the best in the world. I like almost every British sitcom (okay... maybe not Monthy Python, some of the jokes were great, but some of them I didn't understand.), but this League of Gentlemen is just something good to make you sick. This show was good in some way; it helped me lost some weight because watching this piece of garbage make me feel I'm not hungry anymore. This is really just disgusting, sick and not even funny TV show and I wonder who is actually laughing at this stuff. I watched it for about 10 minutes and turned it off. It was so disgusting, watching men dressed in the woman with yellow teeth and urinating on the car... I mean... what's so funny about that??? It makes me wanna puke. No humor, just disturbing images and cheap, toilet laughs... I don't know... if you like this stuff... you go ahead... watch it... but to be honest, people watching and enjoying this must have some emotional problems. Garbage.",Negative
"I have to admit that by moments I had to laugh at how bad that movie was... But the laughs were too few and since this whole thing was in no way a parody, it felt more like an insult to the viewer's intelligence. The worst acting I have ever seen from any of these people...",Negative
"As others have said, ""No, Luciano"" is a more apt title or response to this movie title. For entertainment, the great opera singer should stick to singing.....not that he's a terrible actor. It's just that this movie stinks.<br /><br />The first 25 minutes were fine - a nice family movie, as it were - but after that it's nothing but a boring soap opera.<br /><br />Appropriately playing a singer, Pavarotti, as ""Giorgio Fini,"" loses his voice a few times and the doctor, ""Pamela Taylor"" (Kathryn Harrold) comes to the rescue. The singer then falls for the doctor, the doctor slowly falls for the singer, the two argue all the time and on and on and on it goes.<br /><br />Pavarotti has a winning smile and is a likable guy. It's Harrold that spoils things and after watching her here I am not surprised she didn't become a star. <br /><br />There is nice scenery in the movie to enjoy, good shots of San Francisco and Italy, at least in the first half of the film. I got bored and don't remember much about the second half of it.",Negative
"I don't understand your objections to this movie. It is a taut, thrilling extension of the character created in ""Basic Instinct"". The only part of the story that is the least bit unrealistic, is the fact that Sharon Stone's character is still alive and not in jail at this late date.<br /><br />SPOILER ALERT: As the movie progresses, we are presented with three theories of what is going on: 1) Sharon Stone's character is killing all these people because she's crazy (Risk Addicted); 2) David Thewlis' crooked cop is killing these people in order to frame Sharon Stone's character; 3) David Morrissey's analyst is killing these people for revenge. What upsets most people about the movie seems to be that none of these theories are ever explicated as the ""real"" story. (Although the analyst is in a psychiatric care facility for killing the cop; the only killing that occurs on screen.)<br /><br />I think this is a brilliant plot device in the spirit of ""2001, A Space Odyssey."" WHO CARES what is real? The blonde really is crazy, the cop really is crooked and the analyst really wants revenge. What's important is the interactions between these and other characters in the story. Like real life, everyone is more complicated than anyone thinks and reality is more complicated than a movie. Get over it!",Positive
"This only gets bashed because it stars David Hasselhoff. Well, then let me bash it to. Compared to the garbage they call horror coming out nowadays, this film isn't too bad. It has the beautiful Leslie Cumming. She is super hot, but can't talk very well. There is a great scene with her when she is supernaturally raped. She shows off her nice body. Linda Blair does nothing here as well as Hasselhoff. 3/10",Negative
"Story starts slow and nothing funny happens for a while. All the action is in the end, but you won't have to laugh because the movie is funny, but because the story is pathetic.<br /><br />The funniest part is when Harvey 'I'm not Paranoia' Keitel really loses it and the judge starts a massacre. Oscars for this guy!",Negative
"""Saving Grace"" is never riotously funny, but it delivers quite a few good laughs and I enjoyed it to a significant degree. Brenda Blethyn is a fine actress, and does a good job at portraying widower Grace, who resorts to growing marijuana to pay off her massive debts. The supporting cast also does a fine job. French actor Tchecky Karyo has a funny little role. The premise alone is appealing. The idea of an over-the-hill woman growing and smoking pot sounds funny enough. And the film plays around with the premise wisely every now and then. Of course, there are flat moments, like one where two elderly women mistaken Grace's marijuana leaves for tea leaves and they start pulling childish antics at the store where they work. That was a mindless gag that didn't quite take off. The film's tone is downbeat and occasionally dull, but I got enough laughs to give this English import a recommendation. <br /><br />My score: 7 (out of 10)",Positive
"Merry madcaps in London stage a treasure hunt, with one young woman inadvertently fixing up her married politician father with a strong, independent lady-flier who's never been in love. Intriguing early vehicle for Katharine Hepburn, playing an Amelia Earhart-like aviatrix who's been too self-involved to give herself over to any man. The director (Dorothy Arzner) and the screenwriter (Zoe Akins, who adapted Gilbert Frankau's book) were obviously assigned to this project to get the female point of view, but why are all the old clichés kept intact like frozen artifacts? Billie Burke plays the type of simpering, weepy wife who takes to her bed when thing go wrong, and Hepburn's final scene is another bummer. A curious artifact, but not a classic for Kate-watchers. ** from ****",Negative
"As a fan of the Sookie Stackhouse books, I find this series to be a totally crass representation of them. Vampire Bill is not very good looking and looks much older than described in the book. I found that they have made already wonderfully colourful characters seem very course and vulgar. One of the things I loved about the books is that despite all the crap that she is going through Sookie is always a lady, and yet in the TV series she doesn't seem like that at all. Not only that but the prejudices displayed in the TV series are not nearly as wide spread in the books. I didn't expect an exact replica of the books but I at least expected the feel of them to be used for the series.",Negative
"Horrible acting, horrible cast and cheap props. Would've been a lot better if was set as an action parody style movie. What a waste. Starting from the name of the movie.<br /><br />""The Enemy"" Naming it ""Action Movie"" would've made it better. (contributing to the parody effect). The cop looking like a 60 Year old player, the blond girl just having the same blank boring look on her face at all times. Towards the end of the movie him and her are working together to take down the bad guys and every time they exchange words it just feels like the cheap lines given before a sex scene in a porn movie. Horrible. Don't waste your time.",Negative
"What can you say about the film White Fire. Amazing? Fantastic? Disturbing? Hilarious? These words are not big enough to describe the event which is White Fire. From wobbly, garbled beginning to profound end, this movie will entertain throughout.<br /><br />Our movie begins in the woods of a country somewhere in the world. A family is hiding from unmarked soldiers in costume shop uniforms. When the father separates from the mother and their childen, you get a real sense of what kind of movie you're about to watch. Father makes sure to roll down hills in his all white outfit, and is polite as he gets people's attention before he shoots them, but alas, dad is burned alive in what looks like a very unsupervised, unsafe stunt. Meanwhile, mom and the kids are running down a beach with an armed soldier trailing about 5 feet behind them. He too gives a stern warning before action in the form of a bizarre ""HALT!"", and then promptly wastes the mother. This action sequence sets up the happy childhood of our heroes Bo and Ingred.<br /><br />So now we fast forward about 20 years (30 if you're honest about the hero's age) to beautiful Turkey, where Bo and Ingred have settled as professional thieves, or diamond prospectors, or something. Ingred works at a diamond mine where she helps herself to the goods, while Bo (masterfully played by the dynamic Robert Ginty) drives around the desert in his denim outfits. Bo and Ingrid have an interesting relationship. They don't seem to have any friends other than each other, and they spend all of their time together. That coupled with the fact that Bo has expressed his desire to sleep with his sister as evidenced in lines such as ""you know its a shame you're my sister"" he says to her while she's stark naked, make for a very dynamic duo. Bo is then crushed when Ingrid is killed, as he wanders the beaches of Turkey with his ceremonial pink grief scarf. A renewal of hope occurs when Bo finds a girl who looks like Ingrid, and gives her plastic surgery to make her look exactly like Ingrid. This opens the door for Bo to have sex with his sister without it being technically wrong. Bo is a real fan of ethical grey areas, and he is overjoyed with his new love.<br /><br />So anyway, there's a lot of fun action scenes, ridiculous violence, great acting, impossible to follow plot-lines, Fred ""the hammer"" Williamson (for some reason), and a big chunk of dirty ice which is supposed to be a giant diamond (which later explodes). All of these things are great, but the Bo and Ingrid relationship is what makes this movie special....really special. So I heartily encourage everyone to behold the majesty that is White Fire. You may be glad you did..or not.",Positive
"The greatest sin in life is being dull, and this movie is crashingly boring. its funny, its left out of his ""a life in film"" documentary. He goes from a long piece on ""Stardust Memories"" and then fast forwards to ""Zelig"". This little piece of cubic zirconia just isn't worth the effort.",Negative
"Basically there's a family where a little boy (Jake) thinks there's a zombie in his closet & his parents are fighting all the time.<br /><br />This movie is slower than a soap opera... and suddenly, Jake decides to become Rambo and kill the zombie.<br /><br />OK, first of all when you're going to make a film you must Decide if its a thriller or a drama! As a drama the movie is watchable. Parents are divorcing & arguing like in real life. And then we have Jake with his closet which totally ruins all the film! I expected to see a BOOGEYMAN similar movie, and instead i watched a drama with some meaningless thriller spots.<br /><br />3 out of 10 just for the well playing parents & descent dialogs. As for the shots with Jake: just ignore them.",Negative
"Having been a fan of 'Columbo', I was sorely disappointed in 'Corky Romano'. While certainly a funny movie, Falk's mob boss character was a far cry from the lovable lieutenant he's played for so many years, especially with the offensive language he used. After 'Corky Romano', I was honestly both surprised by and soured on Mr. Peter Falk. HOWEVER, having just seen 'Finding John Christmas' and its predecessor, 'A Town Without Christmas', for the first time within a week of each other, I have to say that 'Max', Peter's Falk's delightful character in both movies, is surely as memorable and lovable as 'Columbo'. While parts of the movie are quite predictable, such scenes in no way take away from the enjoyment of seeing the story played out. I too wish I had recorded both of these heartwarming Christmas movies, and I highly recommend them whether you're a Falk fan, a Christmas nut, or simply someone who enjoys the occasional feel-good movie of the week. This movie may end up lost among the throngs of made-for-TV holiday flicks, so be sure to find 'Finding John Christmas' before it's too late.",Positive
"My personal opinion is that this movie had no real story line to the first john carpenter's vampires but i don't care I LOVED IT. Jon Bon Jovi (Derek) was great in this movie. He really mad me believe that he was the person you would never think he was a famous ROCKSTAR. There were some bad things about this movie. Like the story line,there should have been more to the movie.there should have been a sequel to the movie that followed the movies story line and they should have kept the same main characters in all three vampires movies. i really liked the clothes that the people wore and the setting they pick in Mexico. i liked how it was old Mexico and not new Mexico. with the clay houses and the old fashion churches. i was a little confused with the vampires and how they were able to walk in churches but it was cool how they didn't follow Dracula vampire rules.",Positive
"I love this movie. I mean the story may not be the best, but the dancing most certainly makes up for it. You get to know a little bit about each character the way THEY want you to learn about them. I just think that you won't like this movie unless you're into Broadway...",Positive
"In what will probably find itself on my list of Fuller's best movies (that is, once I see more of them that just this and Shock Corridor), Pickup on South Street is a film noir where the femme fatale, as well as the male protagonist, are not the stereotypical ones in the genre. Like most of his other works, Fuller injects his own experiences and the sense of New York style that is usually absent in the Hollywood noirs. On a small budget- at least for the likes of Darryl F. Zanuck- Fuller and his actors create personas that are likable even in such a dark atmosphere. The good guys are basically the ones who won't get violent with you even as they're looking for an extra buck. <br /><br />Richard Widmark, Jean Peters, and Thelma Ritter are all terrific in the lead parts. Widmark is one only a few actors I can think of who could've really pulled off this character. He's a little like Bugs Bunny, as he can be a wise-ass who is a little sneaky. On the other hand, the character of Skip McCoy does have a set of values in his life. He doesn't go into other people's affairs, and doesn't try and care about much of the working world outside of his little shack on the river, after being sent away for three years. He slips up, unbeknownst to him, when he pickpockets a woman (Peters) on the train, and lifts an item that's under the eye of the Government. It may have some secrets that could make him a lot of money. But at what cost is the centerpiece of the film, as it involves stoolie Moe (Ritter is one of the finest, and most believable, character actors from the period), the woman's ex (a volatile Kiley), and the police department.<br /><br />Aside from the thematic elements, which are told with a keen dramatic, journalistic style (as was Fuller's previous position, along with boxer), the dialog is fresh and involving. There's a spontaneity in many of Fuller's camera moves. And what a third act. This is a lean, tight film-noir that is worth checking out even if you're not familiar with Fuller (it's comparatively less bizarre than some of his later works).",Positive
"This thrown together piece of fecal matter adds together so many ludicrous scenarios that in the end it's a laugh riot of absolute hilarity. Too bad as the premise is promising (as it so often is in Duhllywood), but in the hands of this scriptwriter it segues off into la la land. <br /><br />Lowe is in Prison serving time for a DUI that killed off his mistress. We get to see him having nightmares just so that we know he feels real BAD about this. Then his cell mate neighbor hangs himself. Or does he? Lowe has some suspicions but drops them quickly. His suspicions are so weak that the bad guys have nothing to worry about. So why do they then set him up to be killed? Ah, that's where this story could get interesting. That's where it falls off the rails, and once off the rails it decides it can get away with insulting the viewers attention for the next numbing hour.<br /><br />****************SPOILERS****************************<br /><br />I won't bore with an endless recounting of the irrationality of what follows, but contemplate this ending. Lowe has been trapped by the bad guys on a train. They want a tape he has, because that tape will screw their boss, and them. So on to the train come 3 cops, guns drawn, ready to rescue Lowe. The bad guys kill the cops, in front of half the passengers and then....continue chasing Lowe to get the tape. HELLO!!!! killing 3 cops in public will get you into deep doodo, to hell with the tape. Yet off they go through a mall shooting up the place, as if the public did not exist as witnesses, and in the end Lowe is grabbed and the bad guy still wants the tape!!!",Negative
"please save your money and go see something else. this movie was such piece of crap. i didnt want to go, but i had to so i thought i'd laugh at least once, NOPE. not a single laugh, it was that horrible! chris kattan will never get a good comedy role after this and ""a night at the roxbury."" this movie is completely obvious, has no smart humor at all, and just repeats itself over and over again. listen to me, and stray as far away from this movie as you possibly can!",Negative
"I just bought the DVD and i must say, (after seeing Brazil and Fear an loathing in Las Vegas) Terry does it again. As well of being a fan of the Monty Python movies, Terry Gilliam's genius follows through in this sci fi thriller, whom Bruce Willis plays a wonderful role as James Cole, and as well (perhaps my favorite character) Brad Pitt who played the insanity of Jefferey Goines. A must have for sci fi fans, or movie fan of any type really, because it includes suspense, drama, action, etc. <br /><br />any way the plot, In the future, 1% of the world's population survives a disease intended to wipe out the human race, which is unleashed in the past by ""the army of twelve monkeys"". James Cole( Bruce Willis) is sent back to 1996 (which is when the virus was unleashed) to find out about the disease, so scientists in his time can find a cure. Before i go further, James Cole lives in an underground society, and the animals rule the world on the surface due to the disease that will kill the humans. anyway when he is sent back in time he is actually sent back to 1990 where he is sent to a mental institution because of his tellings to people of the virus. During his stay he meets Jefferey Goins( Brad Pitt) who is later mostly responsible for wiping out the human race. He also meets his psychiatrist ((Madelein Stowe) who eventually teams up with Bruce to save the world ( as she sees that he is correct in his tellings), he is sent back and forth from his time to the past and eventually sent to 1996 where he then questions his own sanity but later pulls through to reveal a suspenseful end quarter of the movie and later builds up to the somewhat shocking climax, where he tries to stop the man carrying the virus( not actually Brad Pitt) and is instead shot by the police as the killer gets away.",Positive
"I really enjoyed watching this movie about the Delany sisters. I knew of them, but that was all. This movie opened my eyes to their bravado and courage. What a pair. What sacrifices they made to live life on their own terms. This is not only a movie for African Americans, but for all Americans. It is sort of a history lesson and a documentary rolled into one and combined with an entertaining movie biography. The acting was superior by all included and we really do get a glimpse of the hardships these two sisters went through for many years. Both sisters are quite different from each other. They came from a very loving and very strict family with high, maybe even impossible standards of perfection. It is sad to see how Sadie's father refused to allow his daughter to continue to see her boyfriend due to a possible misunderstanding. I thoroughly recommend this movie and I am glad I caught it on television the other day.",Positive
"I didn't like this film at all! First of all,I don't know why, but everyone here says, that Clémence Poésy's play is excellent, which in my opinion is absolutely wrong! She is not like Natasha: another appearance, another character... What's worse, she is a very unexperienced actress and that's why she wasn't able to play this role! She disfigured the heroine completely! That was really disgusting to watch her play! To my mind, that would be much better to give this role to a Russian actress, because that would be much easier for her to understand the Russian soul for a Russian person. Unfortunately, Kutuzov looked like a drunk man, who hasn't shaved 2 weeks and defeated a battle in which he lost his eye...( Thank's God, in this film there're some actors, whose play was awesome! I suppose, that Alessio Boni coped with his task very well! I was pleasantly amazed! He is one of the few people who's read the book, which is very important for the play. In addition, I liked plays of our Russian actors, that was really wonderful to watch them)) The only thing I liked in this work was very beautiful views and amazing dresses! My advice is to read the book and to understand a real sense, the aim, with which Leo Tolstoy wrote this masterpiece, and maybe realize the whole idea of the book... 1 from 10",Negative
"While the story is sweet, and the dancing and singing in the main part of the film are a joy, the uniqueness of the film (and what makes it a masterpiece) is the dream sequence. It features the combination of the highest form of truly American music (Gershwin), the engaging beauty of French impressionistic art, Kelly's enthralling choreography (including his rapturous ""pas de deux d'amour"", really a separate genre), with the most magnificent palette of color ever devised for the set. Matching the surging music and the visual explosion with those dances was a true work of a creative genius and a great artist.",Positive
"The acting is bad ham, ALL the jokes are superficial and the target audience is clearly very young children, assuming they have below average IQs. I realize that it was meant for kids, but so is Malcom in the Middle, yet they still throw in adult humor and situations.<br /><br />What should we expect from a show lead by Bob Saget, the only comedian in existence who is less funny than a ball hitting a man's groin, which is probably why he stopped hosting America's Funniest Home Videos.<br /><br />Parents, do not let your kids watch this show unless you want to save money on college. Expose your kids to stupidity and they will grow up dumberer.",Negative
"If the Australian Post Office ever needed a promotional film for recruitment then this is it.This is one of those movies who's heart is in the right place and you can watch again and again. Miranda's performance is touching as it shows an aspect of Australia unimagined by many Europeans, in that it can be cold, wet and bleak, just like anywhere else and just like anywhere else what is important is the people that surrounds you. The characters in the movie are warm and welcoming and make the prospect of a career move into a 'dead letter office' a thought to be considered. Miranda has gone on to do bigger movies, but I hope she always keeps a thought inside for this one?.",Positive
"Make the World go away. Get it off my shoulder. Say the things you used to say, and make the World go away.<br /><br />Well, Dave (David Hewlett) and Andrew (Andrew Miller) were in a pickle, one for embezzlement, and the other for kissing a child. Neither was guilty, but faced with charges and their house about to be torn down, they ended up in, well, nothing. The whole World, except for their house went away.<br /><br />It is kind of weird, but funny, too. Just what would you do if you were all alone in the world? The two friends just enjoy each other's company, and do what they want. But, that gets old fast, it seems.<br /><br />Then they start to improve their live by hating away memories. The sound effects during this were great.<br /><br />Things really got weird at the end. This film was the product of a great imagination, and written and directed by Vincenzo Natali, with help from the two stars. It just has to be seen.",Positive
"Im really addicted to Caprica, because it's a really good prequel series to Battlestar Galactica. It really has a slow pace start, but surely to pick up soon after new episodes continue to air.<br /><br />I have heard great things about future episodes and guest stars for the first season.<br /><br />This Sci Fi drama is sure to please us fans who love a mix of both genres.<br /><br />Eric Stoltz does an amazing job, as well as Polly Walker as Clarice Willow!!<br /><br />Totally worth checking out!!<br /><br />Catch Caprica On Fridays At 9pm/8pm central on SYFY",Positive
"I think this has the potential of being the best Star Trek series yet, I say POTENTIAL.. we all know there is a chance they will drop the ball and run out of ideas... BUT I HOPE NOT! For those that have not seen it..SEE IT! Without that annoying ""PRIME DIRECTIVE"" floating over their heads every time they encounter races it could be cool.. and Scott Bakula was without a doubt a GREAT CHOICE for Captain, and the Vulcan Babe is hot too, (Check out the decontamination scene)I gave this a FULL 10... it blows away ALL the other series openers.. I hope this goes longer than 7 years...",Positive
