description,label
i have played a great set i feel really hesitant to ask,fear
i feel a peaceful calm come over me,joy
i guess only my wife can really know for sure but i feel at least a little bit less selfish since being married,anger
im sure this silly little blog is ridiculous but sometimes i just feel so aggravated,anger
when my last years second semester results came through i was ecstatic,joy
i feel like ive been held back a lot this summer with soccer and my mom not trusting me,joy
i feel satisfied and happy with my choices today,joy
i feel helpless here with no car no cash no say,sadness
i had a quarrel with my father,anger
i even feel it is a game that i am a part of some strange reality swarming with violent carnivores adding to the bare landscape of the place i now know,surprise
i am having really badly cannot wear anything without causing spasms diarrhea or eat more than a few of mouthfuls i am feeling very miserable,sadness
i feel spiteful for typing this but the first hand knowledge and statistics ive gone over regarding mormons and anti depressants is startling,anger
i feel kind of reluctant and depressed when you told me that it s over i respected your decision,fear
i wonder how many people are against my do it only when you feel like it perspective but i think if you do it for the sake of doing it without wanting to do it then it will turn out to be the result of crappy work,sadness
i haven t yet experienced the totality of this is that i am getting to use my gifts again without feeling like someone is threatened jealous or competing against me,fear
i have been feeling restless lately,fear
i feel that i have contributed in a positive way to seven,joy
i hurt and feel suspicious and definitely get angry,fear
i get an anxious feeling i feel xox soon itll be the real thing already so i need to be flawless,joy
ive been feeling passionate about local business lately and i do like to walk through consignment stores and second hand shops just as much as i enjoy goodwill,love
i take a look as i try to get used to the feeling of his touch innocent as it is,joy
i feel rude about going to the bathroom when she s in there,anger
i could feel blake more sharply and i felt a little more delicate i guess you could say,love
i seem to remember feeling very contented,joy
i feel very triumphant another personal mini goal accomplished,joy
i have noticed my body has not been to happy when i eat red meat and last week i was feeling lethargic and a little seedy nothing i put in seem,sadness
i get the feeling that hes not impressed with me,surprise
i said quietly too tired to feel anguished anything but resigned,sadness
i could definitely feel the effects as my mouth went pleasantly numb and relaxed feeling spread throughout my body,sadness
im about to go look for him again when i start to feel calm and think that his phone probably died,joy
im already feeling emotional before i had a chance to say anything at all she turns to me says i love you,sadness
i believe that what was displayed is a deep emotional yearning for semblance of normality peace since it appears the dancing arabs did not feel threatened by a fully armed soldier,fear
i am writing this feeling hopeless hopeless about the people around me this is a crazy absurd world with absurd people in it,sadness
im kinda exhausted today and you might be feeling exhausted reading this post too,sadness
i feel like i missed out when i was younger but i was very active and would be much more content to go outside and ride a bike,sadness
i feel im like a bird flying in the air in a very carefree manner,joy
i feel like i am being punished for something that i didn t even do,sadness
i feel like its at times like these when things seem a little more uncertain that i thank god more for the small things,fear
i feel valued scores tracking terribly low,joy
i feel bad calling it mere book or story is six individual stories nestled together,sadness
i like keeping a record of my life in written form and pictures and i feel like that is even more important now that i have baby,joy
i feel i have no hope of supporting a family and purchasing a house in vancouver,love
i feel strong style color black line height,joy
im feeling pretty good now and ignoring the fact that ill probably feel worse before i feel better a href https lh,joy
i sometimes feel hated but i am not it is all in my head,anger
i find myself feeling passionate about,love
im drunk for example i feel a lot less shy about speaking in a foreign language that i havent yet totally mastered,fear
i feel like i need to be some tortured soul in order to create words or whatever,fear
i think writing like this will be more fun and fulfilling and i think that when i do decide to introduce b to my blog it will feel positive and overall more balanced,joy
i love love it and feel lethargic if i do not sweat for more than three days,sadness
i didnt feel especially nervous in finland but when we landed in paris i was a little unsure about what would be ahead of us thought st grade student janne suominen,fear
i forgot to take my meds this morning and i am predictably feeling irritable but less predictably i have been sitting here all day thinking ima kill a bitch if i dont get my hands on a chocolate cupcake,anger
i feel valuable a href http idreamculture,joy
i suppose in some ways i should feel irritated that if she knew why didn t she do anything to help me with this lone cause i was feeling,anger
i feel petty moaning about it but its annoying me so from now on im keeping my stuff in a bag in my room if they ask i can always say im keeping it there to stop the bathroom getting cluttered,anger
i feel thrilled i feel blessed i feel honored light who s boss,joy
i don t get it you ate because you wanted the good sensation that eating provided the full feeling the delicious soporific effect that luscious hazy dreamy state that ice cream gave you and now you re going to put yourself through torture,joy
i am not sure if anyone at all can understand how i feel toward them but i almost feel like one of those troubled teens they often have on maury,sadness
i began the day feeling intimidated courthouses are designed to intimidate but ended the day cheerfully chatting with the judge in his chambers,fear
i feel like every once in a while i should stop trying to do the smart thing and really go for my dreams,joy
i can feel accepted,joy
ive ever written although im not gonna reproduce it here because it is full of boring academic references and also it specifically analyses several prominent bloggers and their treatment of romantic relationships and id feel weird about putting that on the internet,surprise
i am feeling a little skeptical today,fear
i feel super bad because i miss the blogging world miss reading everyones blogs miss documenti,joy
i understand that every memory is something precious and that i should cherish it but at the moment i feel disgusted at how i had become during that time of my life,anger
i feel like i don t have any useful powerful or special gifts,joy
i spent my days crying with the newborn throwing him in the carseat running kids everywhere dealing with a naughty toddler getting little sleep and generally feeling crappy,sadness
i feel a gentle tap on my shoulder,love
i currently have it sitting in a bowl of rice in the sun in the hope it will dry out but im not feeling optimistic,joy
i feel all depressed,sadness
i feel honored that you would think of me as inspiring,joy
i feel terribly like cassandra locking myself in attics and barns to write in beloved journals warmed by my ginger cat mine huckleberry and hers abelard,joy
i feel that your prince charming will come through sooner than you expected,joy
i was feeling extremely agitated after coming home from china,fear
i want to stop feeling so worthless,sadness
i wanted to upgrade the characters i was creating and engage them in battles of a similar setting transformations the raising of energy flashy colors chaotic explosions feelings of desperation when the adversary has you beaten etc,sadness
i am feeling rather overwhelmed with all that is on my to do list,surprise
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger
im feeling so pissed off that i wanna scream and shout at the wall facing me right now,anger
i was healthy then this mild but annoying cold ad now a new cold which made me feel just awful for he past day,sadness
i feel my desire to learn or explore the truth as they say in spirituality leads me to useful sources,joy
i need to act cool act unconcern to him so that he wont feel he is special he is appreciated so that i feel safe that he couldnt see the truth sides of me im so tired of covering all the real feelings,joy
i feel content without knowing the rest of their story,joy
i feel irritated by everything,anger
i want to do is talk talk talk and i feel like thats the only way anything is going to get resolved but im afraid that im going to just have to let it go all on my own,joy
i feel ecstatic when youre with me mr mrs lightning rod,joy
i was constantly complaining of not feeling so hot,love
i feel so unwelcome there but not because of her or gary i just feel that i shouldnt be moving back in with them,sadness
i have quite amount of friends here but yet how can i feel so lonely,sadness
i havent been measuring out food drinking nearly enough water tracking any fitness and overall i feel completely shaken and unfocused because i dont feel like my foundation is steady at the moment,fear
i feel a bit foolish now because in the last years they havent come back to my home town and i have had to travel to england to see them,sadness
i was taunted by the ability of feeling threatened from weakness of frailty beneath this exterior of human existance lies a woman wanting nothing but a man needing his warmth and masculinity,fear
i would have left that exam feeling humiliated and reevaluating everything i know about myself,sadness
i function best with a lot on my plate and feel very uncomfortable with my life if i have nothing to do,fear
i set my mind to wanting a specific item needing it for a specific event or at a specific time i find ill end up spending more than i want to because i feel pressured by constraints,fear
i can do to that would truly express the utter gratitude and thankfulness i feel for your sincere gesture and i am very grateful,joy
i hang out i leave feeling energized and happy,joy
i feel hateful sometimes,anger
i feel like ive been reading lisas blogs for ever and it was lovely to finally meet her and her boys who i recognised immediately,love
im feeling rather hostile over the whole hostel situation,anger
i do feel slighted when some people use their piece of the cyber world to be rude towards me,anger
i have my best most productive happiest days when i m feeling inspired,joy
im feeling especially keen,joy
i suddenly feel that this is more than a sweet love song that every girls could sing in front of their boyfriends,love
i feel distraught worried panicked sick scared sad,fear
i feel depressed moody and just lethargic and tired,sadness
i feel so rejected and unwanted,sadness
i do not feel comfortable staying in my house i feel relentless when im asked to do something tired almost all the time and bored without my own money,joy
i am thankful that i feel well emotionally,joy
i hope my condescending attitude will allow present me to feel offended and as such remember that the amount of sunlight affects plant growth,anger
i feel like when nikolas gets here im going to have such a rude wake up call,anger
i guess i was feeling a little too smug because when we got off in acco i led her out of the train station and outside and we started walking down the sidewalk to the bus that would take us to nahariya,joy
i feel as if im in some strange catholic vortex,surprise
i feel guilty that i dont have the need to constantly check in on her,sadness
i laced my shoes and pounded out those feelings on the hot black pavement before me,love
i don t care what sort of bs lifestyle you think you live everyone wants to fit in and feel accepted,joy
i was feeling frustrated at work wondering if i am living a life with meaning and purpose,anger
i an asylum seeker who i don t know how they live in this country without feeling assaulted,fear
i didnt get a wink of sleep that night and continued feeling not so fabulous the next morning,joy
i went with one of those because honestly i was feeling very sentimental about family that morning,sadness
i actually just feel really eager,joy
i get the feeling that after today and yesterday ive gained back every pound ive lost,sadness
i feel relieved because finally i can move on without a single tear shed,joy
i feel like there has been way too much products on the blog lately and i miss the amazing home,joy
i feel an eager anticipation,joy
i feel like a snow globe that has been all shaken up and i m still waiting for the dust to settle,fear
i think that on today of all days it is april fools day after all that i have been made to feel very foolish for sharing the results of my extensive research with other people,sadness
i and was feeling nostalgic about that time in their lives,love
i am skinny look at me i am thin i love myself but i am feeling ignored i am thinner now i try to disappear,sadness
i feared would happen with a amp a after last weeks ep is now playing out just as i had pictured it in a way that makes every scene with annie and auggie just make me feel miserable,sadness
i feel a little bit more vital,joy
i was feeling the shake shack love this day i guess because i look like a hamburger with dirty clothes and hair because my luggage hadnt come yet,sadness
i passed out last night at the late hour of and am still feeling a bit groggy this morning,sadness
im just feeling sort of lame and lonely,sadness
i feel humiliated i choose to believe that somehow janis sanders will see these words and know that he cannot get away with abusing others,sadness
i feel that everyone has the ability to be artistic in his or her own special way and find that the most attractive art is unleashed fromthe virgin artists,joy
im feeling really excited about my new placement,joy
i feel like this because i start being naughty in order to validate my existance,love
i didn t walk the whole distance just sampled four or five stretches but i came home feel charmed by the experience,joy
i feel as though i broke the plane if he is there then ill be aware and use my faith to wish him gone,sadness
i feel highly honored to have been given this special glimpse into the relationship between you and your little nugget,joy
i among other things it was one of those days when i got up feeling low,sadness
im feeling rebellious amp ive missed the last couple of ffs on twitter so i thought id share two blogs that ive been loving recently,anger
i feel as if i have had enough sleep and have much more vital energy than i have ever had before taking it,joy
ive not been back to the doctor in a year and it feels so fabulous,joy
i would maybe come to feel special about the person given time,joy
i potter around my one bed flat i feel a little bit more like an unfortunate version of bridget jones,sadness
i was admiring and envying the figures of the twentysomething set ahead of me in class and feeling ugly jealous,sadness
i can feel the longing and care and love too,love
i made the stupid mistake of saying i was fine the next day the last time my headmaster punished me and it only served to make him feel he had not punished me hard enough,sadness
i want to be able to have someone stop by on a whim and not have to feel ashamed of the and a half inches of dust on my shelves and tv stand,sadness
i feel now its simply wonderful,joy
i know both of them feel threatened by the job i do even after long years but i get really tired of the ganging up i get from them,fear
when i heard the news of the death of my father it was in the evening and i was alone all night in my room trying to remember the face of my father,sadness
i feel that positive vibe just bashing its way slowly but surely through this door of negativity and yet i feel like its not nearly close enough,joy
i feel like federer is more talented player for sure,joy
i feel less intelligent after watching this,joy
im also feeling overwhelmed by how often im saying im too old for that shit,surprise
i feel and bring him and coming against a savage the wax doll in the clouds blown across to tak my own feeling that be the bare feet were they were moving fast as i brought it as i love in a time for he yet i made him,anger
i feel greedy part comes in,anger
ive planned and there are still days when i feel stressed to the point of tears and helpless but the good far outweighs the bad and i can honestly say that im happy in this moment,anger
i feel like in a way i kinda shocked my body by changing my calorie intake,surprise
i am currently but i can t even do that right now without feeling indecisive and tied to school and writing and assignments,fear
i am friendly and so easy to talk to if only you are open to knowing me as a friend and not from a top down approach cos i feel intimidated and when i only know i do not want to offend somebody i shut up,fear
im days post op and i am feeling fantastic,joy
i do have to say that at first listen yunhos raps gave me that wtf feeling but after listening a couple times im determined to learn them,joy
i started feeling ugly and started all over again,sadness
i feel selfish but she would insist,anger
im told by horsey people that they are a rare find so i feel quite lucky,joy
i cant even remember what it feels like to be loved,love
i started to feel crappy,sadness
i feel like a lousy person because i really cant think of anything profound to say,sadness
i feel inhibited by not having an outlet to deal with my sexual tensions,sadness
i am saying that i am feeling helpless now that i have to walk on toes,fear
i always feel like im entirely pathetic and needy but those people usually tell me that i was neither just quieter than usual,sadness
i feel horrible most of the time,sadness
i was feeling very unsure as to whether or not i should continue to blog at all,fear
i wonder sometimes how it must feel to be rich,joy
i also mention marriage living in that he also feel the wronged me but at home so high the price is scary an ordinary rural family really difficult to afford the high price of the house,anger
i kept waiting to feel the water and when i did i was surprised at the velocity i gained,surprise
i was asked to comment about how i feel about receiving this award and all i said was i feel very embarrassed to be here right now,sadness
i feel so accepted,love
i spritz a little bit of this brush it through and it feels moisturized and less damaged,sadness
i almost feel like he was trying to be awkward,sadness
i generally don t eat a lot of junk it is mostly stress eating but as i become more comfortable with the child care i am feeling less stressed and eating less junk,anger
i am feeling called to show up in a more faithful way,love
i no longer a chiuv that is one a man with have an obligation to say kaddish and daven from the amud lead prayers i feel more relaxed,joy
ive found it has made a huge difference especially on the finger with my ring and the my skin feels so much softer and less irritated,anger
i just want him to see how it feels when he does something that i feel is obnoxious,anger
i feel like i get easily distracted in making things and switch around to many different projects throughout a week,anger
i really feel devastated seeing him witness these things around him,sadness
i sense this is wat has let you feeling unsure,fear
im starting to feel like you my faithful reader are my wife or something ie the one i bitch to while everyone else gets to see the better angel of my nature haha,love
i ran upon it while looking for a cute saying to add to address change cards planning ahead and feeling positive,joy
i was feeling nervous sure just like anyone else would be in my position,fear
i suppose i was moping in my own misery feeling extremely agitated by a lot of people,fear
i feel suspicious but i cant walk a way i like him i always had a thing for football players i know ive been m,fear
i feel so blessed to be yoked to a man so willing to work so hard to provide for us,love
im not going to lie sometimes hearing myself say some of the things on my recordings makes me feel weird and insecure but just like the quote states above its a good thing,fear
i feel sort of foolish it was actually very easy and what she was asking made complete sense once i got there you have to bind off the neck and work with the shoulders separately hence the need for two balls of yarn,sadness
i lived with someone living a lie to keep me in the dark feeding me lies and faking feelings so that id be ignorantly complacent until it was no longer convenient for her to have me there,joy
i seriously feel uncomfortable,fear
i legitimately feel less intelligent at the end of the day because of how worthless and stupid it all is like how you feel after sitting through a michael bay movie,joy
i cant totally defend her the woman wanted to be famous and nobody around her seems to be able to tell her how to handle fame britney leave los angeles when you can for starters but i am starting to feel a lot more sympathetic toward her,love
i feel like im living my life through all the romantic teen movies i watch,love
i feel burdened and guilted by the weight of a decision gone bad,sadness
i feel sad about it,sadness
i feel like sometimes i am not important at all,joy
i so badly needed and had been missing to make the sewing time i do find feel productive,joy
im just nosy or i like to see the process or behind the scenes of a peice but i feel like i should at least provide a little treat to everyone who is curious like me,surprise
i feel i feel fantastic,joy
i feel better i dont for a little bit,joy
im not going to lie i feel a little insulted,anger
i feel like being distracted,anger
i really like how the special edition really does feel special with songs on it,joy
i can honestly say that while i havent enjoyed learning the lessons we have learned i do feel as though we have come out stronger and tougher and more loving and more appreciative,love
i appreciate the convenience and peace of mind this program affords young struggling families i feel like its abused on both ends,sadness
i feel so thankful i have been able to figure out ways to get around or deal with most of these minor side effects and that i have not dealt with anything too serious,joy
i feel like there needs to be a disclaimer that i am in no way romanticising the shitty aspects of this pairing okay it is fucked up beyond belief summary castiel holds the world in the palm of his hand,sadness
im having trouble coming with words to describe the way i feel im so devoted to it,love
i want to be swept off my feet and feel special rather than just being told i am,joy
i feel more in control and less frightened about my headaches and migraine attacks excellent service,fear
i also feel that no one in the music school is really being very supportive of me on this,love
i am not working out the amount i would like to i feel like my lifestyle change has been successful so far,joy
i diss a bag only when i m feeling grouchy because of the lack of any inspiration whatsoever when it comes to fug bags but today i m not grouchy and it still sets me of which means this is a big deal,anger
im feeling somewhat verbally lame as i listen for the eighth time to suzanne vegas nine objects of desire,sadness
i didnt respond because i feel that some days i cant just put on a fake smile and pretend like life is great and not let the negativity creep in,sadness
i don t know if i ll continue to feel a dull ache in my leg going forward or not,sadness
i feel ashamed when i log out and leave these problems behind,sadness
i feel like the most innocent statements can be twisted into something sinister and inaccurate,joy
i feel like i m in some weird limbo between childhood and adulthood,fear
i like to throw in a habanero if i m feeling brave and spring onions,joy
i remember consistently feeling dissatisfied with my progress,anger
i do love life and i do love to laugh and i enjoy the funny side of things because honestly if i dont look at the funny side of things i would spend the majority of my life feeling pissed off over the stupid things that people do,anger
i am feeling rebellious which is often i suppose,anger
i might have left you feeling disappointed especially if you were anticipating for pics videos,sadness
i continue to add more so please feel free to explore and let me know what you think,joy
i sat silent and open mouthed as he rattled off the reasons why he loved me the special times we had shared which had confirmed his feelings and was amazed that they were the same reasons and times together that made me realize how much i loved him,surprise
i feel that because pencil skirts are so elegant they look their best paired simply with minimal colours to complement the chic structured design,joy
i feel completely lost,sadness
i feel a bit dumb,sadness
i have no idea why but i get gastric pain when i feel stressed up,anger
im feeling scared im going to treat this as sacred something valuable to venerate and pretend im like a cat,fear
i left the hospital that night feeling helpless,sadness
i feel so numb f,sadness
i feel a bit stressed so i get up and take two rescue tablets,sadness
i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,joy
i still wake up every morning feeling so blessed to be here and unable to believe im lucky enough to be able to call this amazing family mine for life,joy
i began training in january or at least mentally preparing myself to train and can remember specifically feeling apprehensive about the running a spring marathon,fear
i guess im feeling better,joy
i feel fine im stepping away from my travelogue for this post because this video is worth watching and i wanted to recommend it to all my readers here on the blog,joy
i am no longer red it feels weird,fear
i hope you don t run around irrationally killing people when you feel threatened like animals do,fear
i feel angry at him for being so selfish and giving me absolutely nothing to go on,anger
i want to feel amazed a little more often,surprise
i feel intimidated like i just want to turn around and head back into the safety of my yoga class or hop on the tried and trusty treadmill,fear
i noticed several months ago that i d start feeling resentful as i walked toward a pedestrian crossing with the intention of course of crossing the road,anger
i once knew a quaker who announced quite excitedly that he was feeling absolutely wonderful because for a period of about a fortnight nothing much had been happening in his brain,joy
i feel like i want to stop i think of my wimpy muscle less sister who did the tough mudder,fear
i didn t feel smug as i added the hardships of the last five years and rounded off the sum to a nice even number,joy
i still feel like a tragic waste,sadness
i am feeling nostalgic more than anything,love
i don t really feel all that bothered by it to be honest,anger
i feel we forget just how fearless we truly are,joy
ill feel a little more sympathetic towards them but until that day,love
i feel very frustrated and very sad,anger
i was feeling so carefree and wanted to go and have some fun,joy
i feel what the law states suggestions is optimistic and beneficial for employees specially all those who wish to rapidly through ramadan he or she said,joy
i feel like i was abused raped defiled,sadness
i feel like a child who got one lick of the most delicious lollypop ever,joy
i feel a strong sense of relief,joy
im feeling hopelessly restless,fear
i trust you enough to share a pretty humiliating experience remember this and feel honoured as you guffaw at whats to come,joy
i dont really have any details to share but i feel like blogging and letting all of you know that i am ecstatic,joy
i just have a general feeling of this unpleasant heaviness from my stomach up,sadness
i didn t feel alarmed at all,fear
i visited her this morning they had her up on her feet and she was sounding quite cheerful so im feeling very pleased,joy
i had to change after several months due to the fact that i didnt feel my daughter was being helped or my daughter convinced me how rotten the therapists were,joy
im not feeling real strong lately,joy
i feel like i just want to be smart because i dont want to be seen as stupid,joy
i feel like the saddest most pathetic piece of shit on this planet,sadness
i friends helping them to dress up and practise their thai introduction session while i sat there feeling helpless,fear
i tend to have a discomforting feeling or maybe get disturbed but that sense of emotion only plays out the way the book is being interpreted,sadness
i can stop relying on the views of others for my self worth and thus not feel so threatened by their behaviors,fear
i got a feeling by the look in her eyes that she was sincere,joy
i feel greedy about my work img height src http forums,anger
i sort of feel a bit unsure now as to what to touch upon next,fear
i feel a little more sociable today,joy
i have never been the type of person to feel homesick when i am away,sadness
i feel like a divorcee we were together so long and our separation was so messy,sadness
i wasnt sure if i could be concerned when there were people around me feeling incredibly apprehensive some turning back while i may as well have been dancing up the cliff face,fear
i feel like an ass when i have to ask someone what their delicious looking dessert is made of,joy
i can go on not saying anything and feeling petty but it seems that this load is gettin heavy,anger
i feel slightly snobbish,anger
i feel so blessed to have both lisa and god as friends in this life,joy
i feel quite fearful about her future other times i wonder how this happened to her or even if i did something to cause abbigail to have apraxia,fear
i also feel contented and humbled by this experience and will always be thankful for this opportunity,joy
i got lots o crazy shit going on but i am loved and feel hopeful about the future,joy
i feel too rushed,anger
i put these to one side and focus on the following version of the shameful revelations allegation even in an ideal egalitarian society having to reveal to the state that one is untalented would cause citizens to feel ashamed,sadness
i was feeling so spiteful i brought it up and i saw the hurt in his face,anger
ill take my gfathers ute down to get a load of shit or as some would prefer manure but im feeling hostile so let me have it and will attempt a version of a home made compost,anger
i miss him and its nice to see him it does suck that when i do see him i always feel rushed,anger
i searched long and hard for a bad review telling me that i shouldnt buy into something i feel so apprehensive about but i only found that people loved and swore by f,fear
i feel so blessed to be apart of it,love
i love being an author and feel that ultimately that will be my one career but all these other jobs are fabulous experiences that bring a lot to my writing,joy
i know and trust how i feel but i generally shy away from it with strangers,fear
im feeling overwhelmed i can just give people the middle finger or tell them to f off,fear
i feel i am suffering from a bad case of i only want to nap,sadness
i feel like my good friend narcissism might have something to do with that well that and a spoonful of boredom,joy
i feel like its my fault for letting the vampire in and constantly running into them trusting them befriending them etc,joy
i truly felt that when i left friday you were smiling and feeling i had respected you and you thinking i was a teasing little heathen you loved who enjoys arousing you with an animal delight,joy
i feel that rich people will never understand the cruelty of money,joy
i feel safe and warm and there s lots of sunshine you d think i d get complacent,joy
i feel about the scratches the way i feel about my wrinkles i am fond of them and regard them as evidence of a life well lived,love
i sing as one who feels contented with a comfortable life and comfortable christmas that includes general happiness about eternity,joy
i felt off kilter before and since following his prompting and seeking peace i feel resolved,joy
i feel excited about what im doing again i feel like i have a ton of catching up to do,joy
i trust that in moments of feeling fine even moments of joy that my grief may sometimes come slam me in the face,joy
ive been honestly self indulgent and rather reckless with my consumption of caffeine cigarettes and junk food which combined with the dangerous ingredient of freezing weather has caused me to feel lethargic fat and unfit,sadness
i do not however feel in any way hostile to anyone or capable of violence,anger
i was okay with it but still little have feeling for that my brother was more amazed he like mihm but he wasn t going to get playing time,surprise
i want to be irreplaceable and until i find the person who makes me feel that way than i think id rather stay single because if im not your number than whats the point i refuse to be just something you settle for maybe im just stubborn but its how i feel so idrc,anger
i am looking forward to getting baptized maybe but not until i feel devoted and broken in front of the lord,love
im feeling on the mellow side today,joy
i want to share about a wonderful organization that i feel extremely passionate about,love
i feel like a worthless ugly fat unattractive piece of shit,sadness
i feel more irritable and i feel more sensible now than ever,anger
i feel so alone i feel like theres very few people who will actually listen to me,sadness
i feel jealous when i know he go out with other women,anger
i dont even think i would be ready to be fuck buddys because if theres emotions from him i would feel horrible when im not giving them back,sadness
i feel reassured and comforted that i will be seeing my oncologist every three months and my surgeon every six months,joy
i thought i would love wearing s trousers but instead i feel amazing in vintage inspired dresses,joy
i feel so honored to be nominated for this award,joy
i wanted it to feel like all these fabulous people at an incredible party fell asleep and when they woke up the place had been a bit overtaken with lush florals and greenery,joy
i feel are flawless while they slowly declined in quality after that,joy
i also tended to either attract drama or not know how to handle it before people got their feelings hurt or not really know how to prevent or deal with conflict in the groups,sadness
i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod,joy
i still feel a bit stunned and i suppose i should be racked with regret and shame,surprise
i feel like i can trust them though seeing how they can understand how other women can be bitchy and neither of us want to deal with that shit,anger
i feel like someone s strange uncle trying to break the ice at a party by showing this amazing talent thinking that guests will be impressed but in turn just made everything a hundred times more awkward,fear
i didnt want to be lazy or feel groggy so i just kept drinking red bull,sadness
i still feel constantly paranoid and anxious i keep wanting to go on facebook to check he hasn t been back on there i keep wanting to go through the texts on his phone i feel edgy when he s at work and want him to come straight home to me,fear
i feel like this was such a rude comment and im glad that t,anger
i was gay that i began to feel disturbed and embarrassed,sadness
i also feel strongly about supporting the local economy so for the past years i am proud to have driven gm cars in a gm community,joy
i am slowly paying off my debts and i feel generally happy about where i am and what im doing,joy
i feel like im assaulted by constant flakiness,fear
i am overly passionate but i love music for how it makes me feel i connect with the songs and the artists and i am amazed and truly in awe of those that can write a song that touches me,surprise
i feel so unhappy about this,sadness
i was catapulted back into feeling more terrified of people than i had been in awhile,fear
i could feel the radiant heat of emanating from her naked sex reaching longingly for the probing tip of my hardness,joy
i am still glad to help when someone asks makes me feel complacent at least i am good at something,joy
i go up to her and i say feeling very impressed with myself youre naomi klein right,surprise
i just feel like no one cares and no one can be bothered to make the effort and meet up,anger
ive had my ass handed to me by murt and im starting to feel fucked but just a little,anger
i feel like its an excuse for being boring as an individual or lack of confidence in your individuality,sadness
i can feel but i cant touch you said my love was a bit too much i wont deny it broke my heart cant find no crush so why dont you come on back home,sadness
i feel lots more energy i feel very impatient and irritable,anger
i feel empty inside like all my light has been drained,sadness
i feel that our values need to be shifted in the direction of caring for all things on earth for each other and for the planet we live on,love
i am feeling positive about it,joy
i love earning money and having it but because i grew up in a lower middle class family i feel very appreciative of the money that i do have,joy
