label,entity1,entity2
duplicate,Title: mukii tip-pu301cb 2-port usb 3.0 expresscard; Category: electronics - general; Brand: mukii; ModelNo: tip-pu301cb; Price: 32.0;,Title: mukii transimp tip-pu301cb usb 3.0 2 port express card adapter; Category: memory card adapters; Brand: mukii; ModelNo: tip-pu301cb; Price: 29.99;
not duplicate,Title: da-lite da-plex self trimming rear projection screen - 96 x 120 av format; Category: electronics - general; Brand: da-lite; ModelNo: 27903; Price: 7799.99;,Title: da-lite da-plex standard rear projection screen - 94 1 2 x 168 hdtv format; Category: projection screens; Brand: da-lite; ModelNo: 27149; Price: 7864.0;
not duplicate,Title: cables unlimited 2.4 ghz wireless indoor outdoor stereo speaker with remote and dual power transmitter black; Category: stereos/audio; Brand: cables unlimited; ModelNo: spk-24gx; Price: 148.0;,Title: cables unlimited wireless usb kit with transmitter and receiver with base black; Category: docking stations; Brand: cables unlimited; ModelNo: usb-wr2000; Price: 49.99;
not duplicate,Title: vantec nexstar se 2.5 sata hard drive rack; Category: electronics - general; Brand: vantec; ModelNo: mrk-515st; Price: 10.74;,Title: vantec nexstar tx 2.5-inch sata to usb 2.0 external hard drive enclosure; Category: hard drive enclosures; Brand: vantec; ModelNo: nst-210s2-bk; Price: 9.77;
not duplicate,Title: pc treasures clickit classic mouse black; Category: mice; Brand: pc treasures; ModelNo: 07667; Price: 16.8;,Title: pc treasures clickit classic mouse - copper 07724; Category: mice; Brand: pc treasures; ModelNo: 07724; Price: 16.8;
duplicate,Title: cobra highgear noise-canceling external speaker; Category: stereos/audio; Brand: cobra; ModelNo: hg-s300; Price: 17.03;,Title: cobra hg s300 highgear external noise-cancelling speaker; Category: speakers; Brand: cobra; ModelNo: hg s300; Price: 17.03;
not duplicate,Title: case logic 208 capacity nylon cd dvd wallet; Category: electronics - general; Brand: case logic; ModelNo: 87974; Price: 19.99;,Title: case logic bnw-24 polyester cd dvd wallet 24 capacity black; Category: disc storage wallets; Brand: case logic; ModelNo: bnw-24; Price: 14.99;
not duplicate,Title: vantec nexstar 2.5 sata to usb 2.0 hard drive dock; Category: electronics - general; Brand: vantec; ModelNo: nst-d100s2; Price: 24.2;,Title: vantec nexstar cx nst-200s2-bk 2.5-inch sata to usb 2.0 external hard drive enclosure black; Category: hard drive enclosures; Brand: vantec; ModelNo: nst-200s2-bk; Price: 10.15;
not duplicate,Title: memorex color slim cd jewel cases - 50 pack; Category: electronics - general; Brand: memorex; ModelNo: 3202-1950; Price: 19.88;,Title: memorex 32021992 slim cd dvd 5mm 100-pack jewel cases; Category: disc jewel cases; Brand: memorex; ModelNo: 32021992; Price: 23.99;
not duplicate,Title: iosafe solopro 1tb usb 3.0 external hard drive; Category: hard drives; Brand: iosafe; ModelNo: sj1000gb1yr; Price: 248.0;,Title: iosafe rugged portable 250 gb usb 3.0 external hard drive pa50250u1yr; Category: external hard drives; Brand: iosafe; ModelNo: pa50250u1yr; Price: 145.99;
not duplicate,Title: kanguru defender 1gb v2 kdv2-1g usb 2.0 flash drive; Category: usb drives; Brand: kanguru; ModelNo: kdv2-1g; Price: 39.82;,Title: kanguru defender 2 gb usb 2.0 flash drive v2 kdv2-2g; Category: usb flash drives; Brand: kanguru solutions; ModelNo: kdv2-2g; Price: 31.25;
not duplicate,Title: michigan wolverines iphone 4 case silicone cover; Category: electronics - general; Brand: tribeca; ModelNo: fva3437; Price: 24.99;,Title: michigan wolverines iphone 3g silicone cover; Category: computers accessories; Brand: tribeca; ModelNo: nan; Price: 19.99;
not duplicate,Title: targus 13.3 widescreen lcd monitor privacy screen; Category: electronics - general; Brand: targus; ModelNo: asf133w9usz; Price: 42.07;,Title: 3m privacy filter - 3m pf22 .0 w widescreen monitor privacy screen; Category: screen filters; Brand: 3m; ModelNo: pf22 .0 w; Price: 88.55;
duplicate,Title: oxford 5-1 4 capacity box file storage box letter binder board black orange; Category: stationery & office machinery; Brand: oxford; ModelNo: 40578; Price: 35.94;,Title: oxford 40578 - 5-1 4 capacity box file storage box letter binder board black orange; Category: nan; Brand: oxford; ModelNo: nan; Price: nan;
not duplicate,Title: da-lite hc cinema vision tensioned cosmopolitan electrol - av format 7 x 9 diagonal; Category: electronics - general; Brand: da-lite; ModelNo: 89892; Price: 2240.0;,Title: da-lite 98810 hc da-mat tensioned cosmopolitan electrol - av format 12 x 12 diagonal; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: nan;
not duplicate,Title: da-lite silver matte model c manual screen - 7 x 9 av format; Category: electronics - general; Brand: da-lite; ModelNo: 90545; Price: 454.5;,Title: da-lite model c hdtv format manual wall and ceiling screen 78 x 139 159 diagonal silver matte surface; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 539.95;
not duplicate,Title: ape case ac165 digital camera case; Category: photography - general; Brand: ape case; ModelNo: ac165; Price: 12.85;,Title: ape case digital camera case with fold out wallet ac252; Category: cases bags; Brand: norazza; ModelNo: ac252; Price: 18.48;
not duplicate,Title: innovera m4640 compatible remanufactured high-yield ink 484 page-yield black; Category: printers; Brand: innovera; ModelNo: m4640; Price: 24.99;,Title: lexmark 34 18c0034 compatible remanufactured high yield black ink cartridge; Category: inkjet printer ink; Brand: compatible; ModelNo: nan; Price: 16.45;
not duplicate,Title: kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints; Category: digital cameras; Brand: kodak; ModelNo: m552pink; Price: 94.54;,Title: sanyo blue vpc-t1495bl 14mp digital camera w 5x optical zoom 2.7 lcd display; Category: point shoot digital cameras; Brand: sanyo; ModelNo: nan; Price: 69.95;
not duplicate,Title: da-lite video spectra 1.5 model c with csr manual screen - 58 x 104 hdtv format; Category: electronics - general; Brand: da-lite; ModelNo: 82980; Price: 736.99;,Title: video spectra 1.5 model c manual screen - av format - 6 x8 - 8 x10 size 6 x 8; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 293.95;
not duplicate,Title: cobra 16-mile range 22-channel gmrs 2-way radio; Category: walkie-talkie/frs; Brand: cobra; ModelNo: cx-105; Price: 29.98;,Title: garmin rino 130 5-mile 22-channel frs gmrs two-way radio; Category: frs two-way radios; Brand: garmin; ModelNo: 010-00270-03; Price: 274.08;
duplicate,Title: nikon d3000 black 10.2 mp dslr camera kit with af-s dx nikkor 18-55mm f 3.5-5 .6 g vr lens w 50 bonus prints; Category: digital cameras; Brand: nikon; ModelNo: d3000 kit; Price: 443.99;,Title: nikon d3000 10.2 mp digital slr camera with 18-55mm f 3.5-5 .6 g af-s dx vr nikkor zoom lens; Category: digital slr cameras; Brand: nikon; ModelNo: d3000 18-55mm kit; Price: nan;
not duplicate,Title: pny 4gb sdhc memory card class 4; Category: usb drives; Brand: pny; ModelNo: p-sdhc4g4-ef; Price: 8.98;,Title: pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef navy navy; Category: blank media; Brand: pny; ModelNo: p-sdhc4g2-ef / navy; Price: 17.99;
not duplicate,Title: jaton geforce 6200 256mb video card; Category: computers; Brand: jaton; ModelNo: video-338pci-lp; Price: 97.82;,Title: jaton geforce fx5200 128 mb dual head pci video card; Category: video capture cards; Brand: jaton; ModelNo: video-228pci-twin; Price: 74.99;
duplicate,Title: night owl security products wired color security camera with 60 of cable; Category: garden - general; Brand: night owl; ModelNo: cam-cm01-245; Price: 49.71;,Title: night owl security products cam-cm01-245 wired color security camera with 60 of cable; Category: bullet cameras; Brand: night owl optics; ModelNo: cam-cm01-245; Price: 39.99;
duplicate,Title: arrowmounts cantilever retractable wall mount for flat panel tvs up to 27; Category: tv accessories; Brand: arrowmounts; ModelNo: am-p16b; Price: 39.99;,Title: arrowmounts am-p16b cantilever retractable wall mount for flat panel televisions up to 27-inch black; Category: tv mounts; Brand: arrowmounts; ModelNo: am-p16b; Price: 37.26;
not duplicate,Title: lexmark 26 color print cartridge 10n0026; Category: printers; Brand: lexmark; ModelNo: 10n0026; Price: 34.97;,Title: lexmark 43 high yield color print cartridge 18y0143; Category: inkjet printer ink; Brand: lexmark; ModelNo: 18y0143; Price: 21.95;
not duplicate,Title: wintec filemate 4gb sdhc secure digital flash memory card; Category: usb drives; Brand: wintec; ModelNo: 3fmsd4gb-r; Price: 7.99;,Title: wintec filemate 8 gb compactflash card; Category: memory cards; Brand: wintec; ModelNo: 3fmcf8gb-r; Price: 21.99;
not duplicate,Title: belkin 3 cat-5e snagless patch cable blue; Category: electronics - general; Brand: belkin; ModelNo: a3l791-03-blu-s; Price: 4.35;,Title: belkin cat-6 snagless patch cable blue 7 feet; Category: ethernet cables; Brand: belkin; ModelNo: a3l980-07-blu-s; Price: 0.01;
not duplicate,Title: 3m 98-0440-4809-2 pf27 .0 w privacy screen filter for lcd monitor; Category: electronics - general; Brand: 3m; ModelNo: 98-0440-4809-2; Price: 199.88;,Title: 3m privacy filter - 3m pf22 .0 w widescreen monitor privacy screen; Category: screen filters; Brand: 3m; ModelNo: pf22 .0 w; Price: 88.55;
not duplicate,Title: rolodex covered tray card file black; Category: stationery & office machinery; Brand: rolodex; ModelNo: 67011; Price: 27.94;,Title: new-rolodex 67093 - petite covered tray card file holds 250 2 1 4 x 4 cards black - rol67093; Category: laminating supplies; Brand: rolodex; ModelNo: nan; Price: nan;
not duplicate,Title: western digital 750gb my passport essential se usb 3.0 silver portable hard drive; Category: hard drives; Brand: western digital; ModelNo: wdbacx7500asl-nesn; Price: 96.98;,Title: western digital my passport studio 500 gb firewire 800 400 usb 2.0 portable external hard drive silver; Category: external hard drives; Brand: western digital; ModelNo: wdmt5000tn; Price: 128.98;
not duplicate,Title: da-lite mahogany veneer model b manual screen with high power fabric - 60 x 60 av format; Category: electronics - general; Brand: da-lite; ModelNo: 99735; Price: 310.99;,Title: medium oak veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: nan;
not duplicate,Title: da-lite dual vision tensioned advantage deluxe electrol - hdtv format 92 diagonal; Category: electronics - general; Brand: da-lite; ModelNo: 88285; Price: 4242.99;,Title: da-lite tensioned advantage deluxe electrol - projection screen motorized - 92 in - 16 9 - high contrast da-mat; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 4000.0;
not duplicate,Title: oki 43502001 type 9 black toner cartridge; Category: printers; Brand: oki; ModelNo: 4.3502001 e7; Price: 98.0;,Title: brother tn540 black toner cartridge; Category: laser printer toner; Brand: brother; ModelNo: tn540; Price: 51.49;
not duplicate,Title: startech.com dp2dvi displayport to dvi video converter cable; Category: electronics - general; Brand: startech; ModelNo: dp2dvi; Price: 18.88;,Title: displayport to hdmi video adapter converter; Category: nan; Brand: startech; ModelNo: dp2hdmiadap; Price: 10.99;
not duplicate,Title: v7 5 cat6 snagless molded network patch cable red; Category: electronics - general; Brand: v7; ModelNo: v7n2c6-05f-reds; Price: 4.88;,Title: v7 cat5e snagless molded network patch cable rj45 male to male yellow 14-feet v7n3c5e-14f-ylws; Category: ethernet cables; Brand: v7; ModelNo: v7n3c5e-14f-ylws; Price: 4.15;
not duplicate,Title: vantec nexstar 2.5 sata to usb 2.0 hard drive dock; Category: electronics - general; Brand: vantec; ModelNo: nst-d100s2; Price: 24.2;,Title: vantec nexstar se dual 2.5-inch sata hard drive rack mrk-525st black; Category: computers accessories; Brand: vantec; ModelNo: mrk-525st; Price: 13.57;
not duplicate,Title: sony cyber-shot dsc-t110 16mp digital camera violet w 4x optical zoom hd movie capture 3.0 touchscreen lcd w 50 bonus prints; Category: digital cameras; Brand: sony; ModelNo: dsc-t110 / v; Price: 219.99;,Title: sony cyber-shot dsc-t110 16.1 mp digital still camera with carl zeiss vario-tessar 4x optical zoom lens and 3.0-inch touchscreen black; Category: point shoot digital cameras; Brand: sony; ModelNo: dsct110/b; Price: 189.99;
duplicate,Title: xantech sllc1 speaker level to line converter; Category: stereos/audio; Brand: xantech; ModelNo: sllc1; Price: 40.88;,Title: xantech sllc1 speaker level to line converter; Category: audio video accessories; Brand: xantech; ModelNo: sllc1; Price: 28.42;
not duplicate,Title: logitech m305 wireless mouse black; Category: mice; Brand: logitech; ModelNo: 910-001752; Price: 29.73;,Title: logitech m100 usb optical wired mouse 910-001601 black; Category: mice; Brand: logitech; ModelNo: 910-001601; Price: 11.1;
not duplicate,Title: da-lite da-plex deluxe rear projection screen - 96 x 96 av format; Category: electronics - general; Brand: da-lite; ModelNo: 27557; Price: 6426.99;,Title: da-glas base rear projection screen - 43 1 4 x 57 3 4 video format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 1519.99;
not duplicate,Title: da-lite da-glas deluxe rear projection screen - 84 x 84 av format; Category: electronics - general; Brand: da-lite; ModelNo: 27650; Price: 4958.99;,Title: da-lite da-plex standard rear projection screen - 94 1 2 x 168 hdtv format; Category: projection screens; Brand: da-lite; ModelNo: 27149; Price: 7864.0;
not duplicate,Title: logitech wireless mouse m315 silver; Category: mice; Brand: logitech; ModelNo: 910002537; Price: 19.88;,Title: logitech wireless mouse m310 blue shards 910-002483; Category: mice; Brand: logitech; ModelNo: 910-002483; Price: 19.95;
not duplicate,Title: sharpie retractable permanent markers fine point assorted 3pk; Category: stationery & office machinery; Brand: sharpie; ModelNo: 32726pp; Price: 8.18;,Title: sharpie 1735794 - retractable ultra fine tip permanent marker black blue red 3 set; Category: computers accessories; Brand: sharpie; ModelNo: nan; Price: 24.6;
not duplicate,Title: inland pro usb keyboard and mouse combo set black; Category: electronics - general; Brand: inland; ModelNo: 70126; Price: 12.0;,Title: inland usb optical mouse black; Category: mice; Brand: inland; ModelNo: 7233; Price: 8.84;
not duplicate,Title: da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal; Category: electronics - general; Brand: da-lite; ModelNo: 87062; Price: 343.99;,Title: high power black carpeted picture king w keystone eliminator - av format size 50 x 50; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 319.95;
not duplicate,Title: hp 56 black inkjet cartridge c6656an; Category: printers; Brand: hp; ModelNo: c6656an; Price: 23.97;,Title: hp 20 black ink cartridge c6614dn; Category: inkjet printer ink; Brand: hp; ModelNo: c6614dn; Price: nan;
duplicate,Title: griffin powerblock dual universal black; Category: mp3 accessories; Brand: griffin; ModelNo: na23061; Price: 27.88;,Title: griffin powerblock dual universal charger for mp3 players and usb devices black; Category: chargers; Brand: griffin technology; ModelNo: 7263-pblkun2b; Price: 10.99;
not duplicate,Title: v7 10 cat5e snagless network patch cable blue; Category: electronics - general; Brand: v7; ModelNo: v7n3c5e-10f-blus; Price: 4.88;,Title: v7 cat5e snagless molded network patch cable rj45 male to male grey 2-feet v7n3c5e-02f-grys; Category: ethernet cables; Brand: v7; ModelNo: v7n3c5e-02f-grys; Price: 1.37;
duplicate,Title: plustek bookreader v100 - b66-bbe21-a; Category: computers; Brand: plustek; ModelNo: b66-bbe21-a; Price: 539.88;,Title: plustek book reader v100; Category: scanners; Brand: plustek; ModelNo: b66-bbe21-a; Price: 476.7;
not duplicate,Title: da-lite hc cinema vision tensioned cosmopolitan electrol - av format 7 x 9 diagonal; Category: electronics - general; Brand: da-lite; ModelNo: 89892; Price: 2240.0;,Title: da-lite 97989 da-tex rear tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: nan;
not duplicate,Title: sandisk 8gb cruzer usb flash drive pink; Category: usb drives; Brand: sandisk; ModelNo: sdcz36z008gaw11p; Price: 12.88;,Title: sandisk cruzer 16 gb cruzer usb 2.0 flash drive sdcz36-016g-a11; Category: usb flash drives; Brand: sandisk; ModelNo: sdcz36-016g-a11; Price: 15.07;
not duplicate,Title: corsair hx3x12g1333c9 12 gb xms3 6 x 2 gb pc3-10600 1333mhz 240-pin ddr3 core i7 triple channel memory kit desktop memory module; Category: memory; Brand: corsair; ModelNo: hx3x12g1333c9; Price: 163.82;,Title: corsair xms3 6gb 3 x 2gb 2000mhz pc3-16000 240-pin ddr3 triple channel memory kit for core i7 platforms 6 triple channel kit ddr3 2000 pc3 16000 240-pin ddr3 sdram cmx6gx3m3b2000c9; Category: memory; Brand: corsair; ModelNo: cmx6gx3m3b2000c9; Price: 90.44;
not duplicate,Title: brother tn450 black toner cartridge high yield toner; Category: printers; Brand: brother; ModelNo: tn450; Price: 48.88;,Title: ld compatible high yield black laser toner cartridge for lexmark 12a5845; Category: laser printer toner; Brand: 4inkjets; ModelNo: nan; Price: 74.99;
not duplicate,Title: netgear powerline av 500 adapter; Category: networking; Brand: netgear; ModelNo: xav5001100nas; Price: 79.82;,Title: netgear xe104 85 mbps powerline 4-port ethernet adapter; Category: powerline network adapters; Brand: netgear; ModelNo: xe104na; Price: 69.99;
not duplicate,Title: lexmark t650h11a black high-yield toner print cartridge; Category: printers; Brand: lexmark; ModelNo: t650h11a; Price: 565.2;,Title: compatible dell 1815dn laser printer high yield black toner cartridge; Category: inkjet printer ink; Brand: dell; ModelNo: nan; Price: 26.82;
not duplicate,Title: case logic 16 laptop backpack; Category: electronics - general; Brand: case logic; ModelNo: 154710; Price: 39.99;,Title: case logic dlbp-114 14-inch laptop backpack red; Category: bags cases; Brand: case logic; ModelNo: dlbp-114red; Price: 39.99;
