description,label,llm_labeled_successfully,llm_label
i feel an angel steal me from the greedy jaws of death and chance and pull me in with steady hands theyve given me a second chance the artist in the ambulance can we pick you off the ground more than flashing lights and sound,anger,yes,surprise
i save recipes to springpad and when im feeling adventurous i might try something new,joy,yes,surprise
i also feel stubborn,anger,yes,anger
i don t expect you to feel sorry for me,sadness,yes,sadness
i couldnt help feeling a little envious of what treats the body power people might have in store for them demonstrations of super strength perfect specimens glistening with accentuating oil exercise gear to be seen in,anger,yes,surprise
im feeling less like a woman and more like an embarrassed girl,sadness,yes,sadness
i dont know if i feel this way because i live in la and id rather be somewhere else or if its because im stressed about money work or if im just in need of a hug,sadness,yes,sadness
i stand here i feel empty a class post count link href http mooshilu,sadness,yes,surprise
i feel like ive got a handle on trusting my instincts,joy,yes,surprise
i set off to drive back to derbyshire on friday afternoon i felt so emotional and suddenly didnt want to leave its a funny feeling being homesick for a place before youre even out of the county borders but it does make going back all the more special,sadness,yes,love
i feel so idiotic all the sudden,sadness,yes,sadness
i have played a great set i feel really hesitant to ask,fear,yes,fear
i feel a peaceful calm come over me,joy,yes,joy
i guess only my wife can really know for sure but i feel at least a little bit less selfish since being married,anger,yes,joy
im sure this silly little blog is ridiculous but sometimes i just feel so aggravated,anger,yes,anger
when my last years second semester results came through i was ecstatic,joy,yes,joy
i feel like ive been held back a lot this summer with soccer and my mom not trusting me,joy,yes,anger
i feel satisfied and happy with my choices today,joy,yes,joy
i feel helpless here with no car no cash no say,sadness,yes,fear
i had a quarrel with my father,anger,yes,anger
i even feel it is a game that i am a part of some strange reality swarming with violent carnivores adding to the bare landscape of the place i now know,surprise,yes,fear
i am having really badly cannot wear anything without causing spasms diarrhea or eat more than a few of mouthfuls i am feeling very miserable,sadness,yes,sadness
i feel spiteful for typing this but the first hand knowledge and statistics ive gone over regarding mormons and anti depressants is startling,anger,yes,surprise
i feel kind of reluctant and depressed when you told me that it s over i respected your decision,fear,yes,sadness
i wonder how many people are against my do it only when you feel like it perspective but i think if you do it for the sake of doing it without wanting to do it then it will turn out to be the result of crappy work,sadness,yes,fear
i haven t yet experienced the totality of this is that i am getting to use my gifts again without feeling like someone is threatened jealous or competing against me,fear,yes,surprise
i have been feeling restless lately,fear,yes,fear
i feel that i have contributed in a positive way to seven,joy,yes,joy
i hurt and feel suspicious and definitely get angry,fear,yes,anger
i get an anxious feeling i feel xox soon itll be the real thing already so i need to be flawless,joy,yes,fear
ive been feeling passionate about local business lately and i do like to walk through consignment stores and second hand shops just as much as i enjoy goodwill,love,yes,joy
i take a look as i try to get used to the feeling of his touch innocent as it is,joy,yes,surprise
i feel rude about going to the bathroom when she s in there,anger,yes,surprise
i could feel blake more sharply and i felt a little more delicate i guess you could say,love,yes,surprise
i seem to remember feeling very contented,joy,yes,joy
i feel very triumphant another personal mini goal accomplished,joy,yes,joy
i have noticed my body has not been to happy when i eat red meat and last week i was feeling lethargic and a little seedy nothing i put in seem,sadness,yes,fear
i get the feeling that hes not impressed with me,surprise,yes,fear
i said quietly too tired to feel anguished anything but resigned,sadness,yes,sadness
i could definitely feel the effects as my mouth went pleasantly numb and relaxed feeling spread throughout my body,sadness,yes,surprise
im about to go look for him again when i start to feel calm and think that his phone probably died,joy,yes,surprise
im already feeling emotional before i had a chance to say anything at all she turns to me says i love you,sadness,yes,love
i believe that what was displayed is a deep emotional yearning for semblance of normality peace since it appears the dancing arabs did not feel threatened by a fully armed soldier,fear,yes,surprise
i am writing this feeling hopeless hopeless about the people around me this is a crazy absurd world with absurd people in it,sadness,yes,fear
im kinda exhausted today and you might be feeling exhausted reading this post too,sadness,yes,sadness
i feel like i missed out when i was younger but i was very active and would be much more content to go outside and ride a bike,sadness,yes,sadness
i feel im like a bird flying in the air in a very carefree manner,joy,yes,joy
i feel like i am being punished for something that i didn t even do,sadness,yes,anger
i feel like its at times like these when things seem a little more uncertain that i thank god more for the small things,fear,yes,gratitude
i feel valued scores tracking terribly low,joy,yes,sadness
i feel bad calling it mere book or story is six individual stories nestled together,sadness,yes,sadness
i like keeping a record of my life in written form and pictures and i feel like that is even more important now that i have baby,joy,yes,love
i feel i have no hope of supporting a family and purchasing a house in vancouver,love,yes,fear
i feel strong style color black line height,joy,no,NO_LABEL
im feeling pretty good now and ignoring the fact that ill probably feel worse before i feel better a href https lh,joy,yes,surprise
i sometimes feel hated but i am not it is all in my head,anger,yes,fear
i find myself feeling passionate about,love,yes,love
im drunk for example i feel a lot less shy about speaking in a foreign language that i havent yet totally mastered,fear,yes,surprise
i feel like i need to be some tortured soul in order to create words or whatever,fear,yes,fear
i think writing like this will be more fun and fulfilling and i think that when i do decide to introduce b to my blog it will feel positive and overall more balanced,joy,yes,joy
i love love it and feel lethargic if i do not sweat for more than three days,sadness,yes,joy
i didnt feel especially nervous in finland but when we landed in paris i was a little unsure about what would be ahead of us thought st grade student janne suominen,fear,yes,fear
i forgot to take my meds this morning and i am predictably feeling irritable but less predictably i have been sitting here all day thinking ima kill a bitch if i dont get my hands on a chocolate cupcake,anger,yes,anger
i feel valuable a href http idreamculture,joy,yes,surprise
i suppose in some ways i should feel irritated that if she knew why didn t she do anything to help me with this lone cause i was feeling,anger,yes,anger
i feel petty moaning about it but its annoying me so from now on im keeping my stuff in a bag in my room if they ask i can always say im keeping it there to stop the bathroom getting cluttered,anger,yes,anger
i feel thrilled i feel blessed i feel honored light who s boss,joy,yes,joy
i don t get it you ate because you wanted the good sensation that eating provided the full feeling the delicious soporific effect that luscious hazy dreamy state that ice cream gave you and now you re going to put yourself through torture,joy,yes,surprise
i am not sure if anyone at all can understand how i feel toward them but i almost feel like one of those troubled teens they often have on maury,sadness,yes,anger
i began the day feeling intimidated courthouses are designed to intimidate but ended the day cheerfully chatting with the judge in his chambers,fear,yes,surprise
i feel like every once in a while i should stop trying to do the smart thing and really go for my dreams,joy,yes,surprise
i can feel accepted,joy,yes,joy
ive ever written although im not gonna reproduce it here because it is full of boring academic references and also it specifically analyses several prominent bloggers and their treatment of romantic relationships and id feel weird about putting that on the internet,surprise,yes,surprise
i am feeling a little skeptical today,fear,yes,fear
i feel super bad because i miss the blogging world miss reading everyones blogs miss documenti,joy,yes,sadness
i understand that every memory is something precious and that i should cherish it but at the moment i feel disgusted at how i had become during that time of my life,anger,yes,anger
i feel like i don t have any useful powerful or special gifts,joy,yes,sadness
i spent my days crying with the newborn throwing him in the carseat running kids everywhere dealing with a naughty toddler getting little sleep and generally feeling crappy,sadness,yes,sadness
i feel a gentle tap on my shoulder,love,yes,surprise
i currently have it sitting in a bowl of rice in the sun in the hope it will dry out but im not feeling optimistic,joy,yes,fear
i feel all depressed,sadness,yes,sadness
i feel honored that you would think of me as inspiring,joy,yes,joy
i feel terribly like cassandra locking myself in attics and barns to write in beloved journals warmed by my ginger cat mine huckleberry and hers abelard,joy,yes,joy
i feel that your prince charming will come through sooner than you expected,joy,yes,surprise
i was feeling extremely agitated after coming home from china,fear,yes,anger
i want to stop feeling so worthless,sadness,yes,sadness
i wanted to upgrade the characters i was creating and engage them in battles of a similar setting transformations the raising of energy flashy colors chaotic explosions feelings of desperation when the adversary has you beaten etc,sadness,yes,surprise
i am feeling rather overwhelmed with all that is on my to do list,surprise,yes,fear
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger,yes,anger
im feeling so pissed off that i wanna scream and shout at the wall facing me right now,anger,yes,anger
i was healthy then this mild but annoying cold ad now a new cold which made me feel just awful for he past day,sadness,yes,fear
i feel my desire to learn or explore the truth as they say in spirituality leads me to useful sources,joy,yes,surprise
i need to act cool act unconcern to him so that he wont feel he is special he is appreciated so that i feel safe that he couldnt see the truth sides of me im so tired of covering all the real feelings,joy,yes,fear
i feel content without knowing the rest of their story,joy,yes,contentment
i feel irritated by everything,anger,yes,anger
i want to do is talk talk talk and i feel like thats the only way anything is going to get resolved but im afraid that im going to just have to let it go all on my own,joy,yes,fear
i feel ecstatic when youre with me mr mrs lightning rod,joy,yes,love
i was constantly complaining of not feeling so hot,love,yes,sadness
i feel so unwelcome there but not because of her or gary i just feel that i shouldnt be moving back in with them,sadness,yes,fear
i have quite amount of friends here but yet how can i feel so lonely,sadness,yes,sadness
i havent been measuring out food drinking nearly enough water tracking any fitness and overall i feel completely shaken and unfocused because i dont feel like my foundation is steady at the moment,fear,yes,fear
i feel a bit foolish now because in the last years they havent come back to my home town and i have had to travel to england to see them,sadness,yes,sadness
i was taunted by the ability of feeling threatened from weakness of frailty beneath this exterior of human existance lies a woman wanting nothing but a man needing his warmth and masculinity,fear,yes,fear
i would have left that exam feeling humiliated and reevaluating everything i know about myself,sadness,yes,sadness
i function best with a lot on my plate and feel very uncomfortable with my life if i have nothing to do,fear,yes,surprise
i set my mind to wanting a specific item needing it for a specific event or at a specific time i find ill end up spending more than i want to because i feel pressured by constraints,fear,yes,fear
i can do to that would truly express the utter gratitude and thankfulness i feel for your sincere gesture and i am very grateful,joy,yes,love
i hang out i leave feeling energized and happy,joy,yes,joy
i feel hateful sometimes,anger,yes,anger
i feel like ive been reading lisas blogs for ever and it was lovely to finally meet her and her boys who i recognised immediately,love,yes,surprise
im feeling rather hostile over the whole hostel situation,anger,yes,anger
i do feel slighted when some people use their piece of the cyber world to be rude towards me,anger,yes,anger
i have my best most productive happiest days when i m feeling inspired,joy,yes,joy
im feeling especially keen,joy,yes,surprise
i suddenly feel that this is more than a sweet love song that every girls could sing in front of their boyfriends,love,yes,surprise
i feel distraught worried panicked sick scared sad,fear,yes,fear
i feel depressed moody and just lethargic and tired,sadness,yes,sadness
i feel so rejected and unwanted,sadness,yes,sadness
i do not feel comfortable staying in my house i feel relentless when im asked to do something tired almost all the time and bored without my own money,joy,yes,sadness
i am thankful that i feel well emotionally,joy,yes,joy
i hope my condescending attitude will allow present me to feel offended and as such remember that the amount of sunlight affects plant growth,anger,yes,surprise
i feel like when nikolas gets here im going to have such a rude wake up call,anger,yes,fear
i guess i was feeling a little too smug because when we got off in acco i led her out of the train station and outside and we started walking down the sidewalk to the bus that would take us to nahariya,joy,yes,surprise
i feel as if im in some strange catholic vortex,surprise,yes,surprise
i feel guilty that i dont have the need to constantly check in on her,sadness,yes,sadness
i laced my shoes and pounded out those feelings on the hot black pavement before me,love,yes,anger
i don t care what sort of bs lifestyle you think you live everyone wants to fit in and feel accepted,joy,yes,fear
i was feeling frustrated at work wondering if i am living a life with meaning and purpose,anger,yes,sadness
i an asylum seeker who i don t know how they live in this country without feeling assaulted,fear,yes,fear
i didnt get a wink of sleep that night and continued feeling not so fabulous the next morning,joy,yes,fear
i went with one of those because honestly i was feeling very sentimental about family that morning,sadness,yes,sentiment
i actually just feel really eager,joy,yes,surprise
i get the feeling that after today and yesterday ive gained back every pound ive lost,sadness,yes,surprise
i feel relieved because finally i can move on without a single tear shed,joy,yes,joy
i feel like there has been way too much products on the blog lately and i miss the amazing home,joy,yes,sadness
i feel an eager anticipation,joy,yes,surprise
i feel like a snow globe that has been all shaken up and i m still waiting for the dust to settle,fear,yes,surprise
i think that on today of all days it is april fools day after all that i have been made to feel very foolish for sharing the results of my extensive research with other people,sadness,yes,surprise
i and was feeling nostalgic about that time in their lives,love,yes,nostalgia
i am skinny look at me i am thin i love myself but i am feeling ignored i am thinner now i try to disappear,sadness,yes,sadness
i feared would happen with a amp a after last weeks ep is now playing out just as i had pictured it in a way that makes every scene with annie and auggie just make me feel miserable,sadness,yes,sadness
i feel a little bit more vital,joy,yes,joy
i was feeling the shake shack love this day i guess because i look like a hamburger with dirty clothes and hair because my luggage hadnt come yet,sadness,yes,surprise
i passed out last night at the late hour of and am still feeling a bit groggy this morning,sadness,yes,surprise
im just feeling sort of lame and lonely,sadness,yes,sadness
i feel humiliated i choose to believe that somehow janis sanders will see these words and know that he cannot get away with abusing others,sadness,yes,anger
i feel that everyone has the ability to be artistic in his or her own special way and find that the most attractive art is unleashed fromthe virgin artists,joy,yes,surprise
im feeling really excited about my new placement,joy,yes,joy
i feel like this because i start being naughty in order to validate my existance,love,yes,fear
i didn t walk the whole distance just sampled four or five stretches but i came home feel charmed by the experience,joy,yes,surprise
i feel as though i broke the plane if he is there then ill be aware and use my faith to wish him gone,sadness,yes,fear
i feel highly honored to have been given this special glimpse into the relationship between you and your little nugget,joy,yes,love
i among other things it was one of those days when i got up feeling low,sadness,yes,sadness
im feeling rebellious amp ive missed the last couple of ffs on twitter so i thought id share two blogs that ive been loving recently,anger,yes,surprise
i feel as if i have had enough sleep and have much more vital energy than i have ever had before taking it,joy,yes,surprise
ive not been back to the doctor in a year and it feels so fabulous,joy,yes,joy
i would maybe come to feel special about the person given time,joy,yes,love
i potter around my one bed flat i feel a little bit more like an unfortunate version of bridget jones,sadness,yes,sadness
i was admiring and envying the figures of the twentysomething set ahead of me in class and feeling ugly jealous,sadness,yes,anger
i can feel the longing and care and love too,love,yes,love
i made the stupid mistake of saying i was fine the next day the last time my headmaster punished me and it only served to make him feel he had not punished me hard enough,sadness,yes,anger
i want to be able to have someone stop by on a whim and not have to feel ashamed of the and a half inches of dust on my shelves and tv stand,sadness,yes,sadness
i feel now its simply wonderful,joy,yes,joy
i know both of them feel threatened by the job i do even after long years but i get really tired of the ganging up i get from them,fear,yes,anger
when i heard the news of the death of my father it was in the evening and i was alone all night in my room trying to remember the face of my father,sadness,yes,sadness
i feel that positive vibe just bashing its way slowly but surely through this door of negativity and yet i feel like its not nearly close enough,joy,yes,hope
i feel like federer is more talented player for sure,joy,yes,surprise
i feel less intelligent after watching this,joy,yes,sadness
im also feeling overwhelmed by how often im saying im too old for that shit,surprise,yes,fear
i feel and bring him and coming against a savage the wax doll in the clouds blown across to tak my own feeling that be the bare feet were they were moving fast as i brought it as i love in a time for he yet i made him,anger,yes,surprise
i feel greedy part comes in,anger,yes,anger
ive planned and there are still days when i feel stressed to the point of tears and helpless but the good far outweighs the bad and i can honestly say that im happy in this moment,anger,yes,joy
i feel like in a way i kinda shocked my body by changing my calorie intake,surprise,yes,surprise
i am currently but i can t even do that right now without feeling indecisive and tied to school and writing and assignments,fear,yes,fear
i am friendly and so easy to talk to if only you are open to knowing me as a friend and not from a top down approach cos i feel intimidated and when i only know i do not want to offend somebody i shut up,fear,yes,fear
im days post op and i am feeling fantastic,joy,yes,joy
i do have to say that at first listen yunhos raps gave me that wtf feeling but after listening a couple times im determined to learn them,joy,yes,surprise
i started feeling ugly and started all over again,sadness,yes,sadness
i feel selfish but she would insist,anger,yes,fear
im told by horsey people that they are a rare find so i feel quite lucky,joy,yes,surprise
i cant even remember what it feels like to be loved,love,yes,sadness
i started to feel crappy,sadness,yes,sadness
i feel like a lousy person because i really cant think of anything profound to say,sadness,yes,sadness
i feel inhibited by not having an outlet to deal with my sexual tensions,sadness,yes,fear
i am saying that i am feeling helpless now that i have to walk on toes,fear,yes,fear
i always feel like im entirely pathetic and needy but those people usually tell me that i was neither just quieter than usual,sadness,yes,sadness
i feel horrible most of the time,sadness,yes,sadness
i was feeling very unsure as to whether or not i should continue to blog at all,fear,yes,fear
i wonder sometimes how it must feel to be rich,joy,yes,surprise
i also mention marriage living in that he also feel the wronged me but at home so high the price is scary an ordinary rural family really difficult to afford the high price of the house,anger,yes,fear
i kept waiting to feel the water and when i did i was surprised at the velocity i gained,surprise,yes,surprise
i was asked to comment about how i feel about receiving this award and all i said was i feel very embarrassed to be here right now,sadness,yes,surprise
i feel so accepted,love,yes,joy
i spritz a little bit of this brush it through and it feels moisturized and less damaged,sadness,yes,surprise
i almost feel like he was trying to be awkward,sadness,yes,anger
i generally don t eat a lot of junk it is mostly stress eating but as i become more comfortable with the child care i am feeling less stressed and eating less junk,anger,yes,joy
i am feeling called to show up in a more faithful way,love,yes,surprise
i no longer a chiuv that is one a man with have an obligation to say kaddish and daven from the amud lead prayers i feel more relaxed,joy,yes,surprise
ive found it has made a huge difference especially on the finger with my ring and the my skin feels so much softer and less irritated,anger,yes,surprise
i just want him to see how it feels when he does something that i feel is obnoxious,anger,yes,anger
i feel like i get easily distracted in making things and switch around to many different projects throughout a week,anger,yes,surprise
i really feel devastated seeing him witness these things around him,sadness,yes,sadness
i sense this is wat has let you feeling unsure,fear,yes,fear
im starting to feel like you my faithful reader are my wife or something ie the one i bitch to while everyone else gets to see the better angel of my nature haha,love,yes,surprise
i ran upon it while looking for a cute saying to add to address change cards planning ahead and feeling positive,joy,yes,joy
i was feeling nervous sure just like anyone else would be in my position,fear,yes,fear
i suppose i was moping in my own misery feeling extremely agitated by a lot of people,fear,yes,anger
i feel suspicious but i cant walk a way i like him i always had a thing for football players i know ive been m,fear,yes,surprise
i feel so blessed to be yoked to a man so willing to work so hard to provide for us,love,yes,love
im not going to lie sometimes hearing myself say some of the things on my recordings makes me feel weird and insecure but just like the quote states above its a good thing,fear,yes,surprise
i feel sort of foolish it was actually very easy and what she was asking made complete sense once i got there you have to bind off the neck and work with the shoulders separately hence the need for two balls of yarn,sadness,yes,surprise
i lived with someone living a lie to keep me in the dark feeding me lies and faking feelings so that id be ignorantly complacent until it was no longer convenient for her to have me there,joy,yes,anger
i seriously feel uncomfortable,fear,yes,fear
i legitimately feel less intelligent at the end of the day because of how worthless and stupid it all is like how you feel after sitting through a michael bay movie,joy,yes,sadness
i cant totally defend her the woman wanted to be famous and nobody around her seems to be able to tell her how to handle fame britney leave los angeles when you can for starters but i am starting to feel a lot more sympathetic toward her,love,yes,surprise
i feel like im living my life through all the romantic teen movies i watch,love,yes,surprise
i feel burdened and guilted by the weight of a decision gone bad,sadness,yes,sadness
i feel sad about it,sadness,yes,sadness
i feel like sometimes i am not important at all,joy,yes,sadness
i so badly needed and had been missing to make the sewing time i do find feel productive,joy,yes,joy
im just nosy or i like to see the process or behind the scenes of a peice but i feel like i should at least provide a little treat to everyone who is curious like me,surprise,yes,surprise
i feel i feel fantastic,joy,yes,joy
i feel better i dont for a little bit,joy,yes,joy
im not going to lie i feel a little insulted,anger,yes,anger
i feel like being distracted,anger,yes,surprise
i really like how the special edition really does feel special with songs on it,joy,yes,joy
i can honestly say that while i havent enjoyed learning the lessons we have learned i do feel as though we have come out stronger and tougher and more loving and more appreciative,love,yes,joy
i appreciate the convenience and peace of mind this program affords young struggling families i feel like its abused on both ends,sadness,yes,surprise
i feel so thankful i have been able to figure out ways to get around or deal with most of these minor side effects and that i have not dealt with anything too serious,joy,yes,joy
i feel like there needs to be a disclaimer that i am in no way romanticising the shitty aspects of this pairing okay it is fucked up beyond belief summary castiel holds the world in the palm of his hand,sadness,yes,surprise
im having trouble coming with words to describe the way i feel im so devoted to it,love,yes,love
i want to be swept off my feet and feel special rather than just being told i am,joy,yes,joy
i feel more in control and less frightened about my headaches and migraine attacks excellent service,fear,yes,joy
i also feel that no one in the music school is really being very supportive of me on this,love,yes,sadness
i am not working out the amount i would like to i feel like my lifestyle change has been successful so far,joy,yes,surprise
i diss a bag only when i m feeling grouchy because of the lack of any inspiration whatsoever when it comes to fug bags but today i m not grouchy and it still sets me of which means this is a big deal,anger,yes,surprise
im feeling somewhat verbally lame as i listen for the eighth time to suzanne vegas nine objects of desire,sadness,yes,surprise
i didnt respond because i feel that some days i cant just put on a fake smile and pretend like life is great and not let the negativity creep in,sadness,yes,sadness
i don t know if i ll continue to feel a dull ache in my leg going forward or not,sadness,yes,fear
i feel ashamed when i log out and leave these problems behind,sadness,yes,sadness
i feel like the most innocent statements can be twisted into something sinister and inaccurate,joy,yes,fear
i feel like i m in some weird limbo between childhood and adulthood,fear,yes,surprise
i like to throw in a habanero if i m feeling brave and spring onions,joy,yes,surprise
i remember consistently feeling dissatisfied with my progress,anger,yes,sadness
i do love life and i do love to laugh and i enjoy the funny side of things because honestly if i dont look at the funny side of things i would spend the majority of my life feeling pissed off over the stupid things that people do,anger,yes,joy
i am feeling rebellious which is often i suppose,anger,yes,anger
i might have left you feeling disappointed especially if you were anticipating for pics videos,sadness,yes,sadness
i continue to add more so please feel free to explore and let me know what you think,joy,yes,surprise
i sat silent and open mouthed as he rattled off the reasons why he loved me the special times we had shared which had confirmed his feelings and was amazed that they were the same reasons and times together that made me realize how much i loved him,surprise,yes,surprise
i feel that because pencil skirts are so elegant they look their best paired simply with minimal colours to complement the chic structured design,joy,yes,surprise
i feel completely lost,sadness,yes,sadness
i feel a bit dumb,sadness,yes,sadness
i have no idea why but i get gastric pain when i feel stressed up,anger,yes,fear
im feeling scared im going to treat this as sacred something valuable to venerate and pretend im like a cat,fear,yes,fear
i left the hospital that night feeling helpless,sadness,yes,fear
i feel so numb f,sadness,yes,sadness
i feel a bit stressed so i get up and take two rescue tablets,sadness,yes,fear
i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,joy,yes,joy
i still wake up every morning feeling so blessed to be here and unable to believe im lucky enough to be able to call this amazing family mine for life,joy,yes,love
i began training in january or at least mentally preparing myself to train and can remember specifically feeling apprehensive about the running a spring marathon,fear,yes,fear
i guess im feeling better,joy,yes,joy
i feel fine im stepping away from my travelogue for this post because this video is worth watching and i wanted to recommend it to all my readers here on the blog,joy,yes,surprise
i am no longer red it feels weird,fear,yes,surprise
i hope you don t run around irrationally killing people when you feel threatened like animals do,fear,yes,fear
i feel angry at him for being so selfish and giving me absolutely nothing to go on,anger,yes,anger
i want to feel amazed a little more often,surprise,yes,surprise
i feel intimidated like i just want to turn around and head back into the safety of my yoga class or hop on the tried and trusty treadmill,fear,yes,fear
i noticed several months ago that i d start feeling resentful as i walked toward a pedestrian crossing with the intention of course of crossing the road,anger,yes,anger
i once knew a quaker who announced quite excitedly that he was feeling absolutely wonderful because for a period of about a fortnight nothing much had been happening in his brain,joy,yes,surprise
i feel like i want to stop i think of my wimpy muscle less sister who did the tough mudder,fear,yes,surprise
i didn t feel smug as i added the hardships of the last five years and rounded off the sum to a nice even number,joy,yes,sadness
i still feel like a tragic waste,sadness,yes,sadness
i am feeling nostalgic more than anything,love,yes,nostalgia
i don t really feel all that bothered by it to be honest,anger,yes,surprise
i feel we forget just how fearless we truly are,joy,yes,surprise
ill feel a little more sympathetic towards them but until that day,love,yes,surprise
i feel very frustrated and very sad,anger,yes,sadness
i was feeling so carefree and wanted to go and have some fun,joy,yes,joy
i feel what the law states suggestions is optimistic and beneficial for employees specially all those who wish to rapidly through ramadan he or she said,joy,yes,joy
i feel like i was abused raped defiled,sadness,yes,fear
i feel like a child who got one lick of the most delicious lollypop ever,joy,yes,joy
i feel a strong sense of relief,joy,yes,surprise
im feeling hopelessly restless,fear,yes,sadness
i trust you enough to share a pretty humiliating experience remember this and feel honoured as you guffaw at whats to come,joy,yes,surprise
i dont really have any details to share but i feel like blogging and letting all of you know that i am ecstatic,joy,yes,joy
i just have a general feeling of this unpleasant heaviness from my stomach up,sadness,yes,fear
i didn t feel alarmed at all,fear,yes,surprise
i visited her this morning they had her up on her feet and she was sounding quite cheerful so im feeling very pleased,joy,yes,joy
i had to change after several months due to the fact that i didnt feel my daughter was being helped or my daughter convinced me how rotten the therapists were,joy,yes,fear
im not feeling real strong lately,joy,yes,sadness
i feel like i just want to be smart because i dont want to be seen as stupid,joy,yes,fear
i feel like the saddest most pathetic piece of shit on this planet,sadness,yes,sadness
i friends helping them to dress up and practise their thai introduction session while i sat there feeling helpless,fear,yes,fear
i tend to have a discomforting feeling or maybe get disturbed but that sense of emotion only plays out the way the book is being interpreted,sadness,yes,fear
i can stop relying on the views of others for my self worth and thus not feel so threatened by their behaviors,fear,yes,fear
i got a feeling by the look in her eyes that she was sincere,joy,yes,surprise
i feel greedy about my work img height src http forums,anger,no,NO_LABEL
i sort of feel a bit unsure now as to what to touch upon next,fear,yes,fear
i feel a little more sociable today,joy,yes,joy
i have never been the type of person to feel homesick when i am away,sadness,yes,surprise
i feel like a divorcee we were together so long and our separation was so messy,sadness,yes,sadness
i wasnt sure if i could be concerned when there were people around me feeling incredibly apprehensive some turning back while i may as well have been dancing up the cliff face,fear,yes,surprise
i feel like an ass when i have to ask someone what their delicious looking dessert is made of,joy,yes,embarrassment
i can go on not saying anything and feeling petty but it seems that this load is gettin heavy,anger,yes,anger
i feel slightly snobbish,anger,yes,surprise
i feel so blessed to have both lisa and god as friends in this life,joy,yes,joy
i feel quite fearful about her future other times i wonder how this happened to her or even if i did something to cause abbigail to have apraxia,fear,yes,fear
i also feel contented and humbled by this experience and will always be thankful for this opportunity,joy,yes,joy
i got lots o crazy shit going on but i am loved and feel hopeful about the future,joy,yes,joy
i feel too rushed,anger,yes,fear
