example,label
A waiver by the Employer of a breach of any provision of this Release by Executive shall not operate or be construed as a waiver or estoppel of any subsequent breach by Executive.  No waiver shall be valid unless in writing and signed by an authorized officer of the Employer.,Waivers
"Loan B Final Payment . Co-Borrowers shall pay to Horizon a payment in the amount of One Hundred Fifty Thousand Dollars ($150,000) (the “ Loan B Final Payment ”) upon the earlier of (A) payment in full of the principal balance of Term Loan B, (B) an Event of Default and demand by Horizon in writing of payment in full of Term Loan B or (C) the Term Loan Maturity Date, as applicable.",Terms
"Although the Guarantors party hereto have been informed of the matters set forth herein and have agreed to the same, each such Guarantor understands, acknowledges and agrees that none of the Secured Parties has any obligations to inform such Guarantor of such matters in the future or to seek such Guarantor’s acknowledgment or agreement to future amendments, restatements, supplements, changes, modifications, waivers or consents, and nothing herein shall create such a duty.",Agreements
"There are no actions or proceedings pending by or against Borrower or any Subsidiary before any court, arbitral tribunal, regulatory organization, administrative agency or similar body which could have a Material Adverse Effect. Borrower does not have knowledge of any such pending or threatened actions or proceedings.",Litigations
"This Agreement may be executed in one or more counterparts, each of which shall for all purposes be deemed to be an original but all of which together shall constitute one and the same Agreement. This Agreement may also be executed and delivered by facsimile signature and in counterparts, each of which shall for all purposes be deemed to be an original but all of which together shall constitute one and the same Agreement. Only one such counterpart signed by the party against whom enforceability is sought needs to be produced to evidence the existence of this Agreement.",Counterparts
This Amendment shall be governed by the internal law of the State of New York.,Governing Laws
"Nothing in this Agreement or in the Plan will confer on the Participant any right to continue in employment or service for any period of specific duration or interfere with or otherwise restrict in any way the rights of the Company (or Affiliate employing or retaining the Participant) to terminate the Participant’s employment or service at any time for any reason, with or without cause.",Employment
"Notwithstanding any provision in this Certificate of Designations to the contrary, any provision contained herein and any right of the Holders of Series B Preferred Stock granted hereunder may be waived as to all shares of Series B Preferred Stock (and the Holders thereof) upon the vote or written consent of the Holders of a majority of the shares of Series B Preferred Stock then outstanding.",Waivers
"The Investor shall be responsible for its own costs and expenses in connection herewith, including the fees and expenses, if any, of its advisors and its counsel.",Expenses
"UNLESS EXPRESSLY PROVIDED IN ANY LOAN DOCUMENT, THIS AGREEMENT, THE OTHER LOAN DOCUMENTS AND ALL CLAIMS SHALL BE GOVERNED BY THE LAWS OF THE STATE OF NEW YORK, WITHOUT GIVING EFFECT TO ANY CONFLICT OF LAW PRINCIPLES EXCEPT FEDERAL LAWS RELATING TO NATIONAL BANKS.",Governing Laws
"The Executive further agrees that he will cooperate fully with the Company and its counsel with respect to any matter (including litigation, investigations, or governmental proceedings) in which the Executive was in any way involved during his employment with the Company. The Executive shall render such cooperation in a timely manner on reasonable notice from the Company.",Cooperation
"No event has occurred and no condition exists which would, upon or after the execution and delivery of this Agreement or each Credit Party’s performance hereunder, constitute a Default or an Event of Default. Neither US Company nor any other Credit Party is in default in (and no event has occurred and no condition exists which constitutes, or which the passage of time or the giving of notice or both would constitute, a default in) the payment of any Indebtedness to any Person in excess of the lesser of $35,000,000 or the Equivalent Amount thereof or that amount which would have a Material Adverse Effect. All Obligations are permitted under the Senior Note Indentures and the other Senior Note Documents and the Permitted Additional Financing Documents, in each case that are in effect on any date on which this representation is made.",No Defaults
"The Buyer’s annual audited consolidated financial statements (Exhibit A) for the fiscal year ending August 31, 2018: (i) have been prepared in accordance with generally accepted accounting principles on a basis consistent with prior fiscal periods; (ii) are complete and accurate; and (iii) present fairly the assets, liabilities (whether accrued, absolute, contingent or otherwise) and financial condition of the Buyer at the applicable balance sheet date, and the results of operations of the Buyer. Except to the extent reflected or reserved against in the balance sheet (including the notes thereto) forming part of the Buyer’s annual audited consolidated financial statements for the fiscal year ending August 31, 2018 or incurred subsequent to the date thereof and disclosed in Buyer’s Disclosure Schedule, and except in respect of normal trade payables arising in the ordinary course of the Business, the Buyers do not have any outstanding indebtedness or any liabilities (whether accrued, absolute, contingent or otherwise) nor any outstanding commitments or obligations of any kind.",Financial Statements
The Depositor will pay the expenses to perform its obligations under this Agreement and the Issuer’s and the Indenture Trustee’s reasonable expenses to perfect the Issuer’s interest in the Sold Property and to enforce the Depositor’s obligations under this Agreement.,Expenses
"The headings of the sections hereof are provided for convenience only and are not to serve as a basis for interpretation or construction, and shall not constitute a part, of this Award Agreement.",Headings
"This Agreement, the other Loan Documents and the agreements regarding certain fees referred to herein constitute the entire contract between the parties relative to the subject matter hereof.  Any previous agreement among or representations from the parties or their Affiliates with respect to the subject matter hereof is superseded by this Agreement and the other Loan Documents.  Notwithstanding the foregoing, the Fee Letters shall survive the execution and delivery of this Agreement and remain in full force and effect.  Nothing in this Agreement or in the other Loan Documents, expressed or implied, is intended to confer upon any party other than the parties hereto and thereto any rights, remedies, obligations or liabilities under or by reason of this Agreement or the other Loan Documents, except as set forth under Section 9.05(b).",Entire Agreements
"The Company has one subsidiary, Relmada Therapeutics, Inc., a Delaware corporation.",Subsidiaries
The headings used herein are provided for convenience only and are not to be considered in construing this Amendment.,Headings
The Company is a duly organized and validly existing corporation in good standing under the laws of the State of Nevada.,Organizations
"Except as shown on Schedule 5.14 to the Disclosure Letter, there are no proceedings or investigations pending or, to the Borrower’s knowledge, threatened in writing against the Borrower or any Subsidiary, or any of their businesses, operations or Properties, that (a) relate to any Loan Documents or transactions contemplated thereby; or (b) could reasonably be expected to have a Material Adverse Effect. Neither the Borrower nor any Subsidiary is in default with respect to any order, injunction or judgment of any Governmental Authority binding on it.",Litigations
"Each Purchaser, severally and not jointly with the other Purchasers, covenants that neither it, nor any Affiliate acting on its behalf or pursuant to any understanding with it will execute any purchases or sales, including Short Sales, of any of the Company’s securities (other than the purchases of shares pursuant to this Agreement) during the period commencing with the execution of this Agreement and ending at such time that the transactions contemplated by this Agreement are first publicly announced as described in Section 5.6 . Each Purchaser, severally and not jointly with the other Purchasers, covenants that until such time as the transactions contemplated by this Agreement are publicly disclosed by the Company as described in Section 5.6 , such Purchaser will maintain the confidentiality of the existence and terms of this transaction and the information included in the Transaction Documents and the Disclosure Schedules. Notwithstanding the foregoing, and notwithstanding anything contained in this Agreement to the contrary, the Company expressly acknowledges and agrees that (i) no Purchaser makes any representation, warranty or covenant hereby that it will not engage in effecting transactions in any securities of the Company after the time that the transactions contemplated by this Agreement are first publicly announced as described in Section 5.6 , (ii) no Purchaser will be restricted or prohibited from effecting any transactions in any securities of the Company in accordance with applicable securities laws from and after the time that the transactions contemplated by this Agreement are first publicly announced as described in Section 5.6 and (iii) no Purchaser will have any duty of confidentiality to the Company or its Subsidiaries after the disclosure as described in Section 5.6 . Notwithstanding the foregoing, in the case of a Purchaser that is a multi-managed investment vehicle whereby separate portfolio managers manage separate portions of such Purchaser’s assets and the portfolio managers have no direct knowledge of the investment decisions made by the portfolio managers managing other portions of such Purchaser’s assets, the covenant set forth above will only apply with respect to the portion of assets managed by the portfolio manager that made the investment decision to purchase the Shares covered by this Agreement.",Confidentiality
"You will serve as President and Chief Executive Officer of the Corporation, reporting directly to the Board.",Positions
"You agree that upon the Company’s reasonable notice to you, you shall cooperate with the Company and its counsel (including, if necessary, preparation for and appearance at depositions, hearings, trials or other proceedings) with regard to any past, present or future legal or regulatory matters that relate to or arise out of matters you have knowledge about or have been involved with during your employment with the Company.  In the event that such cooperation is required, you will be reimbursed for reasonable out-of-pocket expenses incurred in connection therewith, not including any attorneys’ fees or costs.",Cooperation
"At the time any Award is made under this Article X, the Company and the Holder shall enter into a Restricted Stock Unit Agreement setting forth each of the matters contemplated thereby and such other matters as the Committee may determine to be appropriate. The Restricted Stock Unit Agreement shall set forth the individual service-based vesting requirement which the Holder would be required to satisfy before the Holder would become entitled to distribution pursuant to Section 10.3 and the number of Units awarded to the Holder. Such conditions shall be sufficient to constitute a “substantial risk of forfeiture” as such term is defined under Section 409A of the Code. At the time of such Award, the Committee may, in its sole discretion, prescribe additional terms and conditions or restrictions relating to Restricted Stock Unit Awards in the Restricted Stock Unit Agreement, including, but not limited to, rules pertaining to the effect of Termination of Service prior to expiration of the applicable vesting period. The terms and conditions of the respective Restricted Stock Unit Agreements need not be identical.",Terms
"The provisions of this Guarantee are severable, and if any clause or provision shall be held invalid or unenforceable in whole or in part in any jurisdiction, then such invalidity or unenforceability shall affect in that jurisdiction only such clause or provision, or part thereof, and shall not in any manner affect such clause or provision in any other jurisdiction, or any other clause or provision of this Guarantee in any jurisdiction.",Severability
"During the Transition Period, Executive will remain eligible to participate in all benefits of employment, including without limitation the accrual of any vacation and paid time off (but excluding bonuses as described in Section 1.a.i above), subject to the terms of the plan, program or policy as determined by the Company and as may be in effect from time to time.",Benefits
The term of this Agreement shall commence on the Effective Date and continue thereafter on a month to month basis unless and until either party provides the other party thirty (30) days’ notice of termination (the “ Term ”).,Terms
"(a) The Parent will, and will cause each of the Subsidiaries to comply, in all material respects, with all applicable laws, rules, regulations and orders (including ERISA and environmental laws), except, in any case, where the failure so to comply, either individually or in the aggregate, could not be reasonably expected to have a Material Adverse Effect.",Compliance With Laws
"The Plan shall be administered by the Corporation’s Human Resources Officer and the Compensation Division of the Corporation’s Human Resources Department, subject to the powers and responsibilities delegated pursuant to Sections 4.3 and 4.4 of this Plan; provided , however , that the Plan shall be administered by the Committee with respect to the Human Resources Officer and any “executive officer” of Northern Trust, within the meaning of Section 16 of the Exchange Act. Subject to the provisions of the Plan, the Human Resources Officer shall be authorized to interpret the Plan, to establish, amend, and rescind rules and regulations relating to the Plan, and to make all other determinations necessary or advisable for the administration of the Plan. The determination of the Human Resources Officer in the administration of the Plan, as described herein, shall, upon consultation with members of the Management Group, be final and conclusive. The Authorized Senior Manager shall be responsible for final approval of all awards to be paid under the Plan, subject to any necessary Committee or Board approval required by applicable law or as specified herein.",General
"This Agreement shall be governed by, enforced and construed under and in accordance with the laws of the State of Nevada.",Governing Laws
"I acknowledge and agree that my execution of, and compliance with, this Agreement are material factors in the Company’s decision to hire me and to provide me with access to Confidential Information that is not provided to other employees of the Company, which constitutes good and valuable consideration for the covenants set forth in this Agreement.",Employment
For all purposes of this Security Agreement the terms used herein in capitalized form but not defined herein are used as defined in the Credit Agreement.,Definitions
"Section headings used herein are for convenience of reference only, are not part of this Amendment and shall not affect the construction of, or to be taken into consideration in interpreting, this Amendment.",Headings
"Any term or provision of this Lender Joinder Agreement which is invalid or unenforceable in any jurisdiction shall, as to that jurisdiction, be ineffective to the extent of such invalidity or unenforceability without rendering invalid or unenforceable the remaining terms and provisions of this Lender Joinder Agreement or affecting the validity or enforceability of any of the terms or provisions of this Lender Joinder Agreement in any other jurisdiction. If any provision of this Lender Joinder Agreement is so broad as to be unenforceable, the provision shall be interpreted to be only so broad as would be enforceable.",Severability
This Agreement embodies the entire agreement between the parties with respect to the subject matter hereof and supersedes all prior agreements and understandings relating to the subject matter hereof.,Amendments
"Any dispute regarding the reasonableness of the covenants and agreements set forth in this Article IV or the territorial scope or duration thereof or the remedies available to the Company upon any breach of such covenants and agreements, shall be governed by and interpreted in accordance with the laws of the State of Colorado. The parties mutually agree that any such disputes shall be resolved in the United States District Court for the District of Colorado or the state District Court for the 2 nd Judicial District, Denver County, Colorado. The parties agree that it is their mutual intent that the provisions of this Agreement be enforced to the fullest extent permitted under applicable law, whether now or hereafter in effect, and, to the extent permitted by applicable law, the parties waive any provision of applicable law that would render any provision of Article IV invalid or unenforceable.",Consent To Jurisdiction
"This Agreement, including its attached Exhibit A, constitutes the entire employment agreement between Executive and the Company regarding the terms and conditions of his employment. This Agreement supersedes all prior negotiations, representations or agreements between Executive and the Company, whether written or oral, concerning Executive’s employment.",Entire Agreements
The descriptive headings of this Agreement are inserted for convenience only and do not constitute a substantive part of this Agreement. The use of the word “including” in this Agreement shall be by way of example rather than by limitation.,Interpretations
"This Agreement shall be interpreted and administered in a manner so that any amount or benefit payable hereunder shall be paid or provided in a manner that is either exempt from or compliant with the requirements of Section 409A of the Code and applicable Internal Revenue Service guidance and Treasury Regulations issued thereunder. Nevertheless, the tax treatment of the benefits provided under the Agreement is not warranted or guaranteed.  Neither the Company, nor its directors, officers, employees or advisers shall be held liable for any taxes, interest, penalties or other monetary amounts owed by Employee as a result of the application of Section 409A of the Code.",General
"Directly or indirectly use the proceeds of any Loan for any purpose which would breach the United States Foreign Corrupt Practices Act of 1977, the UK Bribery Act 2010, and other similar anti-corruption legislation in other jurisdictions.",Anti-Corruption Laws
"Subject to Section 5 and Section 6(b), payment for Vested PRSUs will be made in cash or Common Shares (as determined by the Committee) between January 1 and March 15 of the year following the year in which the Performance Period ends.",General
"THIS AGREEMENT AND THE RIGHTS AND OBLIGATIONS OF THE PARTIES UNDER THIS AGREEMENT SHALL BE GOVERNED BY, AND CONSTRUED AND INTERPRETED IN ACCORDANCE WITH, THE LAWS OF THE STATE OF NEW YORK WITHOUT REGARD TO PRINCIPLES OF CONFLICTS OF LAWS TO THE EXTENT THAT THE SAME ARE NOT MANDATORILY APPLICABLE BY STATUTE AND THE APPLICATION OF THE LAWS OF ANOTHER JURISDICTION WOULD BE REQUIRED THEREBY.",Governing Laws
"The Company shall not, nor shall it permit any Subsidiary to, enter into any Sale and Leaseback Transaction, other than Sale and Leaseback Transactions in respect of which the Attributable Debt arising therefrom, together with all Indebtedness in respect of Capitalized Lease Obligations permitted under Section 6.01(e), shall not exceed, at the time of incurrence of such Attributable Debt, the greater of (x) $75,000,000 and (y) 5% of Consolidated Total Assets of the Company and its Subsidiaries (measured as of the end of the most recently ended fiscal quarter of the Company for which Financials are available at the time of incurrence).",Sales
"The Bank hereby agrees to employ Executive as Chairman of the Northwest Louisiana Region of the Bank, and Executive hereby accepts employment, on the terms and conditions set forth in this Agreement.",Positions
"No Governmental Authorizations or other authorization, consent or approval from governmental bodies, regulatory authorities or other Governmental Authorities is required for the execution, delivery and performance of this Agreement or any of the other Loan Documents by Borrower or Guarantor, except as set forth in Schedule 5.9.",Consents
"In the event of any event described in Section 3(h) of the Plan occurring after the Date of Grant, the adjustment provisions as provided for under Section 3(h) of the Plan shall apply to the Option.",Adjustments
"The execution and delivery of this Agreement and the consummation of the transactions contemplated hereby has been duly authorized by all necessary corporate action on the part of the Company, including, without limitation, the approval by the directors and stockholders of the Company. This Agreement constitutes the valid and binding obligation of the Company and is enforceable in accordance with its terms.",Authorizations
All capitalized terms when used herein shall have the same respective meanings as are given such terms in the Lease unless expressly provided otherwise in this First Amendment.,Terms
"Each Award under this Plan shall be evidenced by an Agreement setting forth the terms and conditions, as determined by the Committee, that shall apply to such Award, in addition to the terms and conditions specified in this Plan.",Agreements
"Mr. Wardinski shall devote a substantial majority of his business time, attention, skill, and effort to the performance of his duties under this Agreement. Mr. Wardinski may, to the extent such activities do not impair the performance of his duties to Playa, Playa Resorts or the Playa Affiliates: (i) engage in personal investments and charitable, professional, and civic activities; (ii) serve on boards of directors (or other governing bodies) of non-competitive corporations (or other entities) other than Playa Resorts and the Playa Affiliates; and (iii) engage in such additional activities and serve on such additional boards of directors (or other governing bodies) as the Playa Board shall approve; provided , however , that Mr. Wardinski shall resign promptly from any additional boards of directors (or other governing bodies) if directed to do so by the Playa Resorts Board or the Playa Board in its sole and absolute discretion. Mr. Wardinski shall not serve on the board of directors (or other governing body) of any corporation (or any other entity) that engages in activities in competition with those of Playa, Playa Resorts or the Playa Affiliates. Mr. Wardinski shall perform his duties to the best of his ability, shall adhere to Playa Resorts’ published policies and procedures, and shall use his best efforts to promote the interests, reputation, business, and welfare of both Playa and Playa Resorts.",General
"Landlord and Tenant each hereby represents and warrants to the other that it has had no dealings with any real estate broker or agent in connection with the negotiation of this Amendment, except for CBRE, Inc., representing Landlord (the "" Broker ""), and that it knows of no other real estate broker or agent who is entitled to a commission in connection with this Amendment.  Each party agrees to indemnify and defend the other party against and hold the other party harmless from any and all claims, demands, losses, liabilities, lawsuits, judgments, and costs and expenses (including, without limitation, reasonable attorneys' fees) with respect to any leasing commission or equivalent compensation alleged to be owing on account of any breach of the foregoing representation and warranty by the indemnifying party in connection with this Amendment.",Brokers
"As soon as administratively practicable after a Vesting Date, or, if vesting occurs upon a Change of Control as provided in Section 5(e) of the Plan, as soon as administratively practicable on or following such Change of Control, but in all events not later than 2½ months following the vesting of the Award, you shall be paid the portion of the Award that vested on such date.",Payments
"Each Party shall deliver all notices, requests, consents, claims, demands, waivers and other communications under this Agreement in writing and addressed to the other Party at its address set forth below (or to such other address that the receiving Party may designate from time to time in accordance with this section). Each Party shall deliver all notices by personal delivery, nationally recognized overnight courier, or certified or registered mail (in each case, return receipt requested, postage prepaid). Notwithstanding the foregoing, for the purposes of SECTION 7.1 , SECTION 7.2 , SECTION 7.3 , and ARTICLE 1 , notice given by facsimile or e-mail (with confirmation of transmission) will satisfy the requirements of this SECTION 13.5 . Except as otherwise provided in this Agreement, a notice is effective only (a) on receipt by the receiving Party, and (b) if the Party giving the notice has complied with the requirements of this SECTION 13.5 .",Notices
"The closing of the transactions contemplated hereby (the “ Closing ”) along with the delivery of the Exchange Shares to Lender shall occur on the date that is mutually agreed to by Borrower and Lender by means of the exchange by email of .pdf documents, but shall be deemed to have occurred at the offices of Hansen Black Anderson Ashcraft PLLC in Lehi, Utah.",Closings
"No modification, amendment or waiver of any provision of this Agreement or any other FAL LC Document nor consent to any departure by the Bank or the Borrower therefrom shall in any event be effective unless the same shall be in writing and signed by the Bank and the Borrower, and then such waiver or consent shall be effective only in the specific instance and for the specific purpose for which given.",Modifications
"This Amendment is governed by federal law, including without limitation the Electronic Signatures in Global and National Commerce Act (15 U.S.C. §§ 7001 et seq.) and, to the extent that state law applies, the laws of the State of California without regard to its conflicts of law rules.",Governing Laws
"Executive represents that Executive's employment by the Company and the performance by Executive of her obligations under this Agreement do not, and shall not, breach any agreement, including, but not limited to, any agreement that obligates him to keep in confidence any trade secrets or confidential or proprietary information of her or of any other party, to perform services for any other party or to refrain from competing, directly or indirectly, with the business of any other party. Executive shall not disclose to the Company or use any trade secrets or confidential or proprietary information of any other party.",Representations
"The execution, delivery and performance of this Agreement by the Company and the consummation by the Company of the transactions contemplated hereby do not and will not constitute a default under any of the terms, conditions or provisions of the Certificate of Incorporation or Bylaws of the Company, or any material contract, agreement or arrangement to which the Company is a party or by which it is bound.",No Defaults
"Controls and Procedures . The Corporation has established and maintains “disclosure controls and procedures” (as is defined in Rule 13a-15(e) under the Exchange Act); and (a) such disclosure controls and procedures are designed to ensure that the information required to be disclosed by the Corporation in the reports it files or will file or submit under the Exchange Act, as applicable, is accumulated and communicated to management of the Corporation, including its principal executive officer and principal financial officer, as appropriate, to allow timely decisions regarding required disclosure to be made and (b) such disclosure controls and procedures are effective in all material respects to perform the functions for which they were established to the extent required by Rule 13a-15 of the Exchange Act. Since the date of the Annual Report, there have been no significant changes in the Corporation’s internal control over financial reporting or in other factors that could significantly affect internal controls, including any corrective actions with regard to significant deficiencies and material weaknesses.",Disclosures
"Following any termination of employment, the Executive agrees to reasonably cooperate (taking into account his other business and personal commitments) with any investigation, suit or claim involving the Company and of which the Executive has knowledge, provided any such cooperation is not adverse to his legal interests. The Company agrees to reimburse the Executive for any costs incurred by him in connection with such cooperation, including payment of separate counsel for the Executive if he reasonably determines such separate representation is warranted by the circumstances.",Cooperation
"If Tenant requests the consent of Landlord under any provision of this Lease for any act that Tenant proposes to do hereunder, including, without limitation, assignment or subletting of the Premises, Tenant shall, as a condition to doing any such act and the receipt of such consent, reimburse Landlord promptly for any and all reasonable costs and expenses incurred by Landlord in connection therewith, including, without limitation, reasonable attorneys’ fees.",Costs
"The Participant agrees to remit to the Company any foreign, Federal, state and/or local taxes (including the Participant’s FICA tax obligation) required by law to be withheld with respect to the issuance of Shares under this Award, the vesting of this Award or the payment of cash under this Award. Notwithstanding anything to the contrary in this Award, if the Company or any Affiliate of the Company is required to withhold any Federal, state or local taxes or other amounts in connection with the Award, then the Company may require the Participant to pay to the Company, in cash, promptly on demand, amounts sufficient to satisfy such tax obligations or make other arrangements satisfactory to the Company regarding the payment to the Company of the aggregate amount of any such taxes and other amounts. Alternatively, the Company can withhold Shares no longer restricted, or can withhold from cash or property, including cash or Shares under this Award, payable or issuable to the Participant, in the amount needed to satisfy any withholding obligations; provided that, to the extent Shares are withheld to satisfy taxes, the amount to be withheld may not exceed the total maximum statutory tax withholding obligations associated with the transaction. Notwithstanding the foregoing, with respect to a Participant who is a Reporting Person, if the payment hereunder is to be made in the form of Shares, then any withholding obligations shall be satisfied by the Company withholding Shares otherwise issuable under this Award unless the Committee approves an alternative method by which the Participant shall pay such withholding taxes.",Withholdings
"If the Executive dies while an employee of the Employer and during the term of this Agreement, the Employer shall continue to pay the Base Salary and to pay or provide medical, dental and other insurance and welfare type benefits, on the basis described in Section 5(a)(i), to the Executive's family members who were covered for such benefits immediately prior to the Executive's death, for a period of one year following Executive’s death.",Benefits
"To the extent allowable pursuant to applicable law, each member of the Committee or of the Board shall be indemnified and held harmless by the Company from any loss, cost, liability, or expense that may be imposed upon or reasonably incurred by such member in connection with or resulting from any claim, action, suit, or proceeding to which he or she may be a party or in which he or she may be involved by reason of any action or failure to act pursuant to the Plan and against and from any and all amounts paid by him or her in satisfaction of judgment in such action, suit, or proceeding against him or her; provided he or she gives the Company an opportunity, at its own expense, to handle and defend the same before he or she undertakes to handle and defend it on his or her own behalf. The foregoing right of indemnification shall not be exclusive of any other rights of indemnification to which such persons may be entitled pursuant to the Company’s Certificate of Incorporation or Bylaws, as a matter of law, or otherwise, or any power that the Company may have to indemnify them or hold them harmless.",Indemnifications
"The terms that follow, when used in this Agreement and any Terms Agreement, shall have the meanings indicated.",Definitions
