label,entity1,entity2,Title_entity1,Category_entity1,Brand_entity1,ModelNo_entity1,Price_entity1,Title_entity2,Category_entity2,Brand_entity2,ModelNo_entity2,Price_entity2
not duplicate,Title: optoma bl-fp230c replacement projector lamp for optoma ep749 projector; Category: monitors; Brand: optoma; ModelNo: bl-fp230c; Price: 294.84;,Title: optoma bl-fu220a replacement lamp for hd72 hd73 home theater projector; Category: lamps; Brand: optoma; ModelNo: bl-fu220a; Price: 304.76;,optoma bl-fp230c replacement projector lamp for optoma ep749 projector,monitors,optoma,bl-fp230c,294.84,optoma bl-fu220a replacement lamp for hd72 hd73 home theater projector,lamps,optoma,bl-fu220a,304.76
duplicate,Title: zyxel desktop gigabit switch gs-108b; Category: computers; Brand: zyxel; ModelNo: gs108b; Price: 34.99;,Title: zyxel gs108b 8 port gigabit ethernet switch with metal housing green energy saving technology; Category: kvm switches; Brand: zyxel; ModelNo: gs108b; Price: 33.68;,zyxel desktop gigabit switch gs-108b,computers,zyxel,gs108b,34.99,zyxel gs108b 8 port gigabit ethernet switch with metal housing green energy saving technology,kvm switches,zyxel,gs108b,33.68
not duplicate,Title: case logic 48 capacity heavy duty cd wallet; Category: electronics - general; Brand: case logic; ModelNo: 56352; Price: 15.99;,Title: case logic cde-72 72 capacity heavy duty cd wallet blue; Category: disc storage wallets; Brand: case logic; ModelNo: cde-72blue; Price: 14.71;,case logic 48 capacity heavy duty cd wallet,electronics - general,case logic,56352,15.99,case logic cde-72 72 capacity heavy duty cd wallet blue,disc storage wallets,case logic,cde-72blue,14.71
not duplicate,Title: edge 8gb 4x2gb pc38500 ecc unbuffered 240 pin ddr3 kit apple; Category: memory; Brand: edge; ModelNo: pe22177504; Price: 139.82;,Title: 2gb kit 2x1gb pc3200 ecc unbuffered 184 pin ddr; Category: computer components; Brand: edge; ModelNo: x8006a-pe; Price: 115.05;,edge 8gb 4x2gb pc38500 ecc unbuffered 240 pin ddr3 kit apple,memory,edge,pe22177504,139.82,2gb kit 2x1gb pc3200 ecc unbuffered 184 pin ddr,computer components,edge,x8006a-pe,115.05
not duplicate,Title: zebra sarasa retractable gel roller ball pen bonus box black ink 24 pk; Category: stationery & office machinery; Brand: zebra; ModelNo: 14680; Price: 24.94;,Title: uni-ball 65940 - signo gel rt roller ball retractable gel pen black ink medium dozen; Category: microphones accessories; Brand: uniball; ModelNo: nan; Price: nan;,zebra sarasa retractable gel roller ball pen bonus box black ink 24 pk,stationery & office machinery,zebra,14680,24.94,uni-ball 65940 - signo gel rt roller ball retractable gel pen black ink medium dozen,microphones accessories,uniball,nan,nan
not duplicate,Title: da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format; Category: electronics - general; Brand: da-lite; ModelNo: 23077; Price: 11385.99;,Title: da-lite 27514 da-plex unframed rear projection screen - 108 x 144 video format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: nan;,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-lite 27514 da-plex unframed rear projection screen - 108 x 144 video format,projection screens,da-lite,nan,nan
not duplicate,Title: ibm 28p2010 black toner cartridge; Category: printers; Brand: ibm; ModelNo: 28p2010; Price: 425.0;,Title: canon 104 black toner cartridge; Category: laser printer toner; Brand: canon; ModelNo: 0263b001a; Price: 64.06;,ibm 28p2010 black toner cartridge,printers,ibm,28p2010,425.0,canon 104 black toner cartridge,laser printer toner,canon,0263b001a,64.06
duplicate,Title: samsung ht-d5300 3d wi-fi ready home theater system; Category: home theater; Brand: samsung; ModelNo: ht-d5300; Price: 298.0;,Title: samsung electronics ht-d5300 home theater system; Category: dvd home theater; Brand: samsung; ModelNo: htd5300; Price: nan;,samsung ht-d5300 3d wi-fi ready home theater system,home theater,samsung,ht-d5300,298.0,samsung electronics ht-d5300 home theater system,dvd home theater,samsung,htd5300,nan
not duplicate,Title: uniden d2998 dect 6.0 loud and clear digital answering system with cordless handset; Category: electronics - general; Brand: uniden; ModelNo: d2998; Price: 79.93;,Title: ge dect 6.0 black corded base phone with caller id digital answering system and 2 cordless accessory handsets 28871fe3; Category: corded telephones; Brand: general electric; ModelNo: 28871fe3; Price: nan;,uniden d2998 dect 6.0 loud and clear digital answering system with cordless handset,electronics - general,uniden,d2998,79.93,ge dect 6.0 black corded base phone with caller id digital answering system and 2 cordless accessory handsets 28871fe3,corded telephones,general electric,28871fe3,nan
not duplicate,Title: case logic universal mp3 sport case - medium; Category: mp3 accessories; Brand: case logic; ModelNo: 120579; Price: 11.99;,Title: caselogic uma-103gray large universal mp3 sport case gray; Category: armbands; Brand: case logic; ModelNo: uma-103gray; Price: 12.99;,case logic universal mp3 sport case - medium,mp3 accessories,case logic,120579,11.99,caselogic uma-103gray large universal mp3 sport case gray,armbands,case logic,uma-103gray,12.99
duplicate,Title: cobra mobile cb radio with nightwatch illuminated display and swr antenna calibration; Category: automotive - general; Brand: cobra; ModelNo: 29-wxnwst; Price: 150.0;,Title: cobra 29wxnwst nightwatch 40 channel cb radio; Category: cb radios; Brand: cobra; ModelNo: 29 wx nw st; Price: 132.28;,cobra mobile cb radio with nightwatch illuminated display and swr antenna calibration,automotive - general,cobra,29-wxnwst,150.0,cobra 29wxnwst nightwatch 40 channel cb radio,cb radios,cobra,29 wx nw st,132.28
not duplicate,Title: green onions supply 10.1 anti-glare screen protector; Category: electronics - general; Brand: green onions supply; ModelNo: rt-spfg101w / m; Price: 22.88;,Title: green onions supply rt-spf1017w m anti-glare screen protector for 17-inch wide laptop lcd screen -1 piece transparent; Category: bags cases; Brand: green; ModelNo: rt-spf1017w / m; Price: 29.54;,green onions supply 10.1 anti-glare screen protector,electronics - general,green onions supply,rt-spfg101w / m,22.88,green onions supply rt-spf1017w m anti-glare screen protector for 17-inch wide laptop lcd screen -1 piece transparent,bags cases,green,rt-spf1017w / m,29.54
not duplicate,Title: chicago bears ipod touch 4g hard case; Category: electronics - general; Brand: tribeca; ModelNo: fva4587; Price: 29.99;,Title: washington redskins ipod touch 4g hard case; Category: computers accessories; Brand: tribeca; ModelNo: nan; Price: 29.99;,chicago bears ipod touch 4g hard case,electronics - general,tribeca,fva4587,29.99,washington redskins ipod touch 4g hard case,computers accessories,tribeca,nan,29.99
not duplicate,Title: buffalo technology linkstation duo dual-bay 1.0 tb 1 x 1tb network attatched storage ls-wx1 .0 tl 1d; Category: networking; Brand: buffalo technology; ModelNo: lswx10tl1d; Price: 179.82;,Title: buffalo technology linkstation duo 2 tb 2 x 1 tb network attached storage ls-wx2 .0 tl r1; Category: network attached storage; Brand: buffalo technology; ModelNo: ls-wx2 .0 tl/r1; Price: 190.86;,buffalo technology linkstation duo dual-bay 1.0 tb 1 x 1tb network attatched storage ls-wx1 .0 tl 1d,networking,buffalo technology,lswx10tl1d,179.82,buffalo technology linkstation duo 2 tb 2 x 1 tb network attached storage ls-wx2 .0 tl r1,network attached storage,buffalo technology,ls-wx2 .0 tl/r1,190.86
not duplicate,Title: case logic 10 tablet sleeve black; Category: electronics - general; Brand: case logic; ModelNo: lapst110black; Price: 16.0;,Title: case logic compact portable hard drive case black; Category: hard drive bags; Brand: case logic; ModelNo: phdc-1; Price: 10.24;,case logic 10 tablet sleeve black,electronics - general,case logic,lapst110black,16.0,case logic compact portable hard drive case black,hard drive bags,case logic,phdc-1,10.24
duplicate,Title: lexar 32gb twistturn jumpdrive; Category: usb drives; Brand: lexar media; ModelNo: ljdtt32gasbna; Price: 61.8;,Title: lexar ljdtt32gasbna jump drive twistturn 32 gb usb 2.0 flash drive gray; Category: computer accessories; Brand: lexar; ModelNo: ljdtt32gasbna; Price: 39.99;,lexar 32gb twistturn jumpdrive,usb drives,lexar media,ljdtt32gasbna,61.8,lexar ljdtt32gasbna jump drive twistturn 32 gb usb 2.0 flash drive gray,computer accessories,lexar,ljdtt32gasbna,39.99
not duplicate,Title: filemate imagine series k2010 usb standard keyboard; Category: computers; Brand: nan; ModelNo: nan; Price: 15.12;,Title: wintec filemate imagine series k2010 usb standard keyboard - light green 3fmnk2010ugn-r; Category: keyboards; Brand: wintec; ModelNo: 3fmnk2010ugn-r; Price: 15.99;,filemate imagine series k2010 usb standard keyboard,computers,nan,nan,15.12,wintec filemate imagine series k2010 usb standard keyboard - light green 3fmnk2010ugn-r,keyboards,wintec,3fmnk2010ugn-r,15.99
duplicate,Title: buffalo technology 2tb usb 3.0 drivestation duo; Category: hard drives; Brand: buffalo technology; ModelNo: hdwl2tu3r1; Price: 239.82;,Title: buffalo technology drivestation duo 2 tb 2 x 1 tb usb 3.0 external raid hard drive array hd-wl2tu3r1 black; Category: computers accessories; Brand: buffalo technology; ModelNo: hd-wl2tu3r1; Price: 249.68;,buffalo technology 2tb usb 3.0 drivestation duo,hard drives,buffalo technology,hdwl2tu3r1,239.82,buffalo technology drivestation duo 2 tb 2 x 1 tb usb 3.0 external raid hard drive array hd-wl2tu3r1 black,computers accessories,buffalo technology,hd-wl2tu3r1,249.68
not duplicate,Title: nikon d3000 black 10.2 mp dslr camera kit with af-s dx nikkor 18-55mm f 3.5-5 .6 g vr lens w 50 bonus prints; Category: digital cameras; Brand: nikon; ModelNo: d3000 kit; Price: 443.99;,Title: nikon d300s 12.3 mp cmos digital slr camera with af-s dx nikkor 18-200mm f 3.5-5 .6 g ed vr ii lens; Category: digital slr cameras; Brand: nikon; ModelNo: d300s 18-200mm kit; Price: nan;,nikon d3000 black 10.2 mp dslr camera kit with af-s dx nikkor 18-55mm f 3.5-5 .6 g vr lens w 50 bonus prints,digital cameras,nikon,d3000 kit,443.99,nikon d300s 12.3 mp cmos digital slr camera with af-s dx nikkor 18-200mm f 3.5-5 .6 g ed vr ii lens,digital slr cameras,nikon,d300s 18-200mm kit,nan
not duplicate,Title: da-lite da-plex self trimming rear projection screen - 58 x 104 hdtv format; Category: electronics - general; Brand: da-lite; ModelNo: 27590; Price: 4635.99;,Title: da-glas base rear projection screen - 70 x 70 av format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 2622.99;,da-lite da-plex self trimming rear projection screen - 58 x 104 hdtv format,electronics - general,da-lite,27590,4635.99,da-glas base rear projection screen - 70 x 70 av format,projection screens,da-lite,nan,2622.99
not duplicate,Title: western digital 1tb my passport essential se usb 3.0 portable external hard drive; Category: hard drives; Brand: western digital; ModelNo: wdbacx0010bbksn; Price: 98.92;,Title: western digital my book for mac 1 tb usb 2.0 desktop external hard drive; Category: external hard drives; Brand: western digital; ModelNo: wdbaag0010hch-nesn; Price: 89.99;,western digital 1tb my passport essential se usb 3.0 portable external hard drive,hard drives,western digital,wdbacx0010bbksn,98.92,western digital my book for mac 1 tb usb 2.0 desktop external hard drive,external hard drives,western digital,wdbaag0010hch-nesn,89.99
not duplicate,Title: startech 20 displayport cable with latches m m; Category: electronics - general; Brand: startech; ModelNo: displport20l; Price: 44.0;,Title: startech.com 15-feet displayport cable with latches - m m displport15l; Category: cables interconnects; Brand: startech; ModelNo: displport15l; Price: 23.48;,startech 20 displayport cable with latches m m,electronics - general,startech,displport20l,44.0,startech.com 15-feet displayport cable with latches - m m displport15l,cables interconnects,startech,displport15l,23.48
not duplicate,Title: logitech wireless mouse dark fleur; Category: mice; Brand: logitech; ModelNo: 910001898; Price: 27.82;,Title: logitech wireless mouse m310 dark aces 910-002087; Category: mice; Brand: logitech; ModelNo: 910-002087; Price: 24.45;,logitech wireless mouse dark fleur,mice,logitech,910001898,27.82,logitech wireless mouse m310 dark aces 910-002087,mice,logitech,910-002087,24.45
not duplicate,Title: da-lite matte white model c with csr manual screen - 50 x 67 video format; Category: electronics - general; Brand: da-lite; ModelNo: 91841; Price: 397.99;,Title: honey maple veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: nan;,da-lite matte white model c with csr manual screen - 50 x 67 video format,electronics - general,da-lite,91841,397.99,honey maple veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal,projection screens,da-lite,nan,nan
not duplicate,Title: c-line top-load poly sheet protectors heavy gauge letter 200ct; Category: stationery & office machinery; Brand: nan; ModelNo: 62097; Price: 28.94;,Title: avery 74171 - multi-page top-load sheet protectors heavy gauge letter clear 25 pack; Category: storage presentation materials; Brand: avery; ModelNo: nan; Price: nan;,c-line top-load poly sheet protectors heavy gauge letter 200ct,stationery & office machinery,nan,62097,28.94,avery 74171 - multi-page top-load sheet protectors heavy gauge letter clear 25 pack,storage presentation materials,avery,nan,nan
not duplicate,Title: plantronics h91cis encore h91 headset; Category: electronics - general; Brand: plantronics; ModelNo: h91cis; Price: 119.88;,"Title: plantronics . audio 626 dsp pc headset; Category: headsets microphones; Brand: plantronics; ModelNo: plantronics . audio 626 , dsp pc headset; Price: 28.99;",plantronics h91cis encore h91 headset,electronics - general,plantronics,h91cis,119.88,plantronics . audio 626 dsp pc headset,headsets microphones,plantronics,"plantronics . audio 626 , dsp pc headset",28.99
not duplicate,Title: da-lite matte white model c with csr manual screen - 72 x 72 av format; Category: electronics - general; Brand: da-lite; ModelNo: 33403; Price: 563.99;,Title: da-lite model b with csr high contrast matte white - projection screen - 84 in; Category: home audio theater; Brand: da-lite; ModelNo: high contrast matte white; Price: 214.5;,da-lite matte white model c with csr manual screen - 72 x 72 av format,electronics - general,da-lite,33403,563.99,da-lite model b with csr high contrast matte white - projection screen - 84 in,home audio theater,da-lite,high contrast matte white,214.5
not duplicate,Title: startech 430w atx12v 2.3 80 plus computer power supply active pfc; Category: electronics - general; Brand: startech; ModelNo: atx2power430; Price: 60.0;,Title: startech.com professional 630 watt atx12v 2.3 80 plus computer modular power supply atx atx2pw630pro; Category: power supplies; Brand: startech; ModelNo: atx2pw630pro; Price: 104.75;,startech 430w atx12v 2.3 80 plus computer power supply active pfc,electronics - general,startech,atx2power430,60.0,startech.com professional 630 watt atx12v 2.3 80 plus computer modular power supply atx atx2pw630pro,power supplies,startech,atx2pw630pro,104.75
not duplicate,Title: logitech wireless mouse m310 bundle; Category: computers; Brand: nan; ModelNo: nan; Price: 29.88;,Title: logitech wireless mouse m305 silver filament 910-002463; Category: mice; Brand: logitech; ModelNo: 910-002463; Price: 20.95;,logitech wireless mouse m310 bundle,computers,nan,nan,29.88,logitech wireless mouse m305 silver filament 910-002463,mice,logitech,910-002463,20.95
not duplicate,Title: da-lite cherry veneer model b manual screen with matte white fabric - 96 x 96 video format; Category: electronics - general; Brand: da-lite; ModelNo: 73263; Price: 446.99;,Title: da-lite manual 120 diagonal video format home theater wall screen with concord veneer case and matte white fabric; Category: home audio theater; Brand: da-lite; ModelNo: nan; Price: nan;,da-lite cherry veneer model b manual screen with matte white fabric - 96 x 96 video format,electronics - general,da-lite,73263,446.99,da-lite manual 120 diagonal video format home theater wall screen with concord veneer case and matte white fabric,home audio theater,da-lite,nan,nan
not duplicate,Title: michigan wolverines iphone 4 case silicone cover; Category: electronics - general; Brand: tribeca; ModelNo: fva3437; Price: 24.99;,Title: alabama crimson tide iphone 4 case silicone cover; Category: computers accessories; Brand: tribeca; ModelNo: nan; Price: 17.74;,michigan wolverines iphone 4 case silicone cover,electronics - general,tribeca,fva3437,24.99,alabama crimson tide iphone 4 case silicone cover,computers accessories,tribeca,nan,17.74
not duplicate,Title: st. louis cardinals ipod touch 4g hard case; Category: electronics - general; Brand: tribeca; ModelNo: fva4549; Price: 29.99;,Title: baltimore ravens ipod touch 4g hard case; Category: computers accessories; Brand: tribeca; ModelNo: nan; Price: 29.99;,st. louis cardinals ipod touch 4g hard case,electronics - general,tribeca,fva4549,29.99,baltimore ravens ipod touch 4g hard case,computers accessories,tribeca,nan,29.99
not duplicate,Title: birdhouse tony hawk 2gb full skull skatedrive usb flash drive; Category: usb drives; Brand: ep memory; ModelNo: bh-skthfs/2g; Price: 9.84;,Title: action sport skatedrive birdhouse - tony hawk - birdman crest - usb flash drive - 4 gb - usb 2.0; Category: usb flash drives; Brand: add on; ModelNo: birdhouse - tony hawk - birdman crest; Price: 11.5;,birdhouse tony hawk 2gb full skull skatedrive usb flash drive,usb drives,ep memory,bh-skthfs/2g,9.84,action sport skatedrive birdhouse - tony hawk - birdman crest - usb flash drive - 4 gb - usb 2.0,usb flash drives,add on,birdhouse - tony hawk - birdman crest,11.5
